; Candidate 11046
; ADRP+ADD at VM 0xfffffff008e28a34 (fileoff 0x1e24a34): page=0x1fe5a4000 add_imm=0xd15

0xfffffff008e289b4: 11093fd7  blraa	x8, x17
0xfffffff008e289b8: f5178152  mov	w21, #0x8bf
0xfffffff008e289bc: 362dff90  adrp	x22, #0xfffffff0073cc000
0xfffffff008e289c0: d6223591  add	x22, x22, #0xd48
0xfffffff008e289c4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008e289c8: e05300a9  stp	x0, x20, [sp]
0xfffffff008e289cc: 002dfff0  adrp	x0, #0xfffffff0073cb000
0xfffffff008e289d0: 00001991  add	x0, x0, #0x640
0xfffffff008e289d4: 8166ffd0  adrp	x1, #0xfffffff007afa000
0xfffffff008e289d8: 213041f9  ldr	x1, [x1, #0x260]
0xfffffff008e289dc: 232dffd0  adrp	x3, #0xfffffff0073ce000
0xfffffff008e289e0: 63702d91  add	x3, x3, #0xb5c
0xfffffff008e289e4: 02028052  mov	w2, #0x10
0xfffffff008e289e8: d229d497  bl	#0xfffffff008333130
0xfffffff008e289ec: 900240f9  ldr	x16, [x20]
0xfffffff008e289f0: f10314aa  mov	x17, x20
0xfffffff008e289f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e289f8: 301ac1da  autda	x16, x17
0xfffffff008e289fc: f10310aa  mov	x17, x16
0xfffffff008e28a00: f147c1da  xpacd	x17
0xfffffff008e28a04: 1f0211eb  cmp	x16, x17
0xfffffff008e28a08: 40000054  b.eq	#0xfffffff008e28a10
0xfffffff008e28a0c: 408e38d4  brk	#0xc472
0xfffffff008e28a10: 08a20791  add	x8, x16, #0x1e8
0xfffffff008e28a14: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008e28a18: e00314aa  mov	x0, x20
0xfffffff008e28a1c: 010080d2  mov	x1, #0
0xfffffff008e28a20: f10308aa  mov	x17, x8
0xfffffff008e28a24: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008e28a28: 31093fd7  blraa	x9, x17
0xfffffff008e28a2c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008e28a30: e05300a9  stp	x0, x20, [sp]
0xfffffff008e28a34: 202dff90  adrp	x0, #0xfffffff0073cc000
0xfffffff008e28a38: 00543491  add	x0, x0, #0xd15
0xfffffff008e28a3c: 79b9d497  bl	#0xfffffff008357020
0xfffffff008e28a40: 7fc20371  cmp	w19, #0xf0
0xfffffff008e28a44: e0179f1a  cset	w0, eq
0xfffffff008e28a48: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008e28a4c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008e28a50: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008e28a54: ff430191  add	sp, sp, #0x50
0xfffffff008e28a58: ff0f5fd6  retab	
0xfffffff008e28a5c: 7f2303d5  pacibsp	
0xfffffff008e28a60: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e28a64: fd030091  mov	x29, sp
0xfffffff008e28a68: 8966ffd0  adrp	x9, #0xfffffff007afa000
0xfffffff008e28a6c: 294541f9  ldr	x9, [x9, #0x288]
0xfffffff008e28a70: 290140b9  ldr	w9, [x9]
0xfffffff008e28a74: 3f791c72  tst	w9, #0xfffffff7
0xfffffff008e28a78: 20010054  b.eq	#0xfffffff008e28a9c
0xfffffff008e28a7c: e80300aa  mov	x8, x0
0xfffffff008e28a80: e203012a  mov	w2, w1
0xfffffff008e28a84: 808e9952  mov	w0, #0xcc74
0xfffffff008e28a88: 80a4a072  movk	w0, #0x524, lsl #16
0xfffffff008e28a8c: e10308aa  mov	x1, x8
0xfffffff008e28a90: 040080d2  mov	x4, #0
0xfffffff008e28a94: 050080d2  mov	x5, #0
0xfffffff008e28a98: 1b55cd97  bl	#0xfffffff00817df04
0xfffffff008e28a9c: 00008052  mov	w0, #0
0xfffffff008e28aa0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e28aa4: ff0f5fd6  retab	
0xfffffff008e28aa8: 7f2303d5  pacibsp	
0xfffffff008e28aac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e28ab0: fd030091  mov	x29, sp
