; Candidate 4180
; ADRP+ADD at VM 0xfffffff0087952b0 (fileoff 0x17912b0): page=0x1fe99c000 add_imm=0xd90

0xfffffff008795230: 63040691  add	x3, x3, #0x181
0xfffffff008795234: 02008052  mov	w2, #0
0xfffffff008795238: be77ee97  bl	#0xfffffff008333130
0xfffffff00879523c: e00313aa  mov	x0, x19
0xfffffff008795240: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008795244: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008795248: ff030191  add	sp, sp, #0x40
0xfffffff00879524c: ff0f5fd6  retab	
0xfffffff008795250: 2b010a2b  adds	w11, w9, w10
0xfffffff008795254: e3010054  b.lo	#0xfffffff008795290
0xfffffff008795258: 53588052  mov	w19, #0x2c2
0xfffffff00879525c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008795260: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff008795264: 08750b91  add	x8, x8, #0x2dd
0xfffffff008795268: e80300f9  str	x8, [sp]
0xfffffff00879526c: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795270: 00403691  add	x0, x0, #0xd90
0xfffffff008795274: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795278: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879527c: 834dfff0  adrp	x3, #0xfffffff007148000
0xfffffff008795280: 63f00891  add	x3, x3, #0x23c
0xfffffff008795284: 02008052  mov	w2, #0
0xfffffff008795288: aa77ee97  bl	#0xfffffff008333130
0xfffffff00879528c: ecffff17  b	#0xfffffff00879523c
0xfffffff008795290: 7f01086b  cmp	w11, w8
0xfffffff008795294: 09020054  b.ls	#0xfffffff0087952d4
0xfffffff008795298: 53588052  mov	w19, #0x2c2
0xfffffff00879529c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087952a0: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff0087952a4: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087952a8: 08750b91  add	x8, x8, #0x2dd
0xfffffff0087952ac: e82700a9  stp	x8, x9, [sp]
0xfffffff0087952b0: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087952b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087952b8: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087952bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087952c0: 834dfff0  adrp	x3, #0xfffffff007148000
0xfffffff0087952c4: 63b00991  add	x3, x3, #0x26c
0xfffffff0087952c8: 02008052  mov	w2, #0
0xfffffff0087952cc: 9977ee97  bl	#0xfffffff008333130
0xfffffff0087952d0: dbffff17  b	#0xfffffff00879523c
0xfffffff0087952d4: 087855f9  ldr	x8, [x0, #0x2af0]
0xfffffff0087952d8: 680000b4  cbz	x8, #0xfffffff0087952e4
0xfffffff0087952dc: 13008052  mov	w19, #0
0xfffffff0087952e0: d7ffff17  b	#0xfffffff00879523c
0xfffffff0087952e4: 53588052  mov	w19, #0x2c2
0xfffffff0087952e8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087952ec: 284effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087952f0: 08750b91  add	x8, x8, #0x2dd
0xfffffff0087952f4: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087952f8: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087952fc: 00403691  add	x0, x0, #0xd90
0xfffffff008795300: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795304: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795308: 834dfff0  adrp	x3, #0xfffffff007148000
0xfffffff00879530c: 63880b91  add	x3, x3, #0x2e2
0xfffffff008795310: 02008052  mov	w2, #0
0xfffffff008795314: 8777ee97  bl	#0xfffffff008333130
0xfffffff008795318: c9ffff17  b	#0xfffffff00879523c
0xfffffff00879531c: 7f2303d5  pacibsp	
0xfffffff008795320: ff4301d1  sub	sp, sp, #0x50
0xfffffff008795324: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008795328: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00879532c: fd7b04a9  stp	x29, x30, [sp, #0x40]
