; Candidate 13933
; ADRP+ADD at VM 0xfffffff00962e4f0 (fileoff 0x262a4f0): page=0xd5b000 add_imm=0xda8

0xfffffff00962e470: e90310aa  mov	x9, x16
0xfffffff00962e474: c1f9fef0  adrp	x1, #0xfffffff007569000
0xfffffff00962e478: 21181891  add	x1, x1, #0x606
0xfffffff00962e47c: e00313aa  mov	x0, x19
0xfffffff00962e480: f10309aa  mov	x17, x9
0xfffffff00962e484: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff00962e488: 11093fd7  blraa	x8, x17
0xfffffff00962e48c: e00314aa  mov	x0, x20
0xfffffff00962e490: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00962e494: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00962e498: ff0f5fd6  retab	
0xfffffff00962e49c: 5f2403d5  bti	c
0xfffffff00962e4a0: 018800b9  str	w1, [x0, #0x88]
0xfffffff00962e4a4: e203012a  mov	w2, w1
0xfffffff00962e4a8: 100040f9  ldr	x16, [x0]
0xfffffff00962e4ac: f10300aa  mov	x17, x0
0xfffffff00962e4b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00962e4b4: 301ac1da  autda	x16, x17
0xfffffff00962e4b8: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00962e4bc: e40310aa  mov	x4, x16
0xfffffff00962e4c0: e1f9feb0  adrp	x1, #0xfffffff00756b000
0xfffffff00962e4c4: 21300691  add	x1, x1, #0x18c
0xfffffff00962e4c8: f00308aa  mov	x16, x8
0xfffffff00962e4cc: 03048052  mov	w3, #0x20
0xfffffff00962e4d0: f10304aa  mov	x17, x4
0xfffffff00962e4d4: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff00962e4d8: 110a1fd7  braa	x16, x17
0xfffffff00962e4dc: 5f2403d5  bti	c
0xfffffff00962e4e0: 85d8b217  b	#0xfffffff0082e46f4
0xfffffff00962e4e4: 7f2303d5  pacibsp	
0xfffffff00962e4e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00962e4ec: fd030091  mov	x29, sp
0xfffffff00962e4f0: c06a00f0  adrp	x0, #0xfffffff00a389000
0xfffffff00962e4f4: 00a03691  add	x0, x0, #0xda8
0xfffffff00962e4f8: e1f9feb0  adrp	x1, #0xfffffff00756b000
0xfffffff00962e4fc: 21180591  add	x1, x1, #0x146
0xfffffff00962e500: 822effb0  adrp	x2, #0xfffffff007bff000
0xfffffff00962e504: 425446f9  ldr	x2, [x2, #0xca8]
0xfffffff00962e508: 03128052  mov	w3, #0x90
0xfffffff00962e50c: 8bd5b297  bl	#0xfffffff0082e3b38
0xfffffff00962e510: d02eff90  adrp	x16, #0xfffffff007c06000
0xfffffff00962e514: 10023991  add	x16, x16, #0xe40
0xfffffff00962e518: 10420091  add	x16, x16, #0x10
0xfffffff00962e51c: f10300aa  mov	x17, x0
0xfffffff00962e520: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00962e524: 300ac1da  pacda	x16, x17
0xfffffff00962e528: 100000f9  str	x16, [x0]
0xfffffff00962e52c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00962e530: ff0f5fd6  retab	
0xfffffff00962e534: 5f2403d5  bti	c
0xfffffff00962e538: c06a00f0  adrp	x0, #0xfffffff00a389000
0xfffffff00962e53c: 00a03691  add	x0, x0, #0xda8
0xfffffff00962e540: 6dd8b217  b	#0xfffffff0082e46f4
0xfffffff00962e544: 7f2303d5  pacibsp	
0xfffffff00962e548: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00962e54c: fd030091  mov	x29, sp
0xfffffff00962e550: e1f9feb0  adrp	x1, #0xfffffff00756b000
0xfffffff00962e554: 215c0691  add	x1, x1, #0x197
0xfffffff00962e558: 822effb0  adrp	x2, #0xfffffff007bff000
0xfffffff00962e55c: 424c46f9  ldr	x2, [x2, #0xc98]
0xfffffff00962e560: 030f8052  mov	w3, #0x78
0xfffffff00962e564: 75d5b297  bl	#0xfffffff0082e3b38
0xfffffff00962e568: d02eff90  adrp	x16, #0xfffffff007c06000
0xfffffff00962e56c: 10c23d91  add	x16, x16, #0xf70
