; Candidate 15255
; ADRP+ADD at VM 0xfffffff009b44668 (fileoff 0x2b40668): page=0x1fdae4000 add_imm=0xed0

0xfffffff009b445e8: 40000054  b.eq	#0xfffffff009b445f0
0xfffffff009b445ec: 408e38d4  brk	#0xc472
0xfffffff009b445f0: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b445f4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b445f8: e00313aa  mov	x0, x19
0xfffffff009b445fc: 010080d2  mov	x1, #0
0xfffffff009b44600: f10308aa  mov	x17, x8
0xfffffff009b44604: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b44608: 31093fd7  blraa	x9, x17
0xfffffff009b4460c: f50300aa  mov	x21, x0
0xfffffff009b44610: 700240f9  ldr	x16, [x19]
0xfffffff009b44614: f10313aa  mov	x17, x19
0xfffffff009b44618: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4461c: 301ac1da  autda	x16, x17
0xfffffff009b44620: f10310aa  mov	x17, x16
0xfffffff009b44624: f147c1da  xpacd	x17
0xfffffff009b44628: 1f0211eb  cmp	x16, x17
0xfffffff009b4462c: 40000054  b.eq	#0xfffffff009b44634
0xfffffff009b44630: 408e38d4  brk	#0xc472
0xfffffff009b44634: 08620891  add	x8, x16, #0x218
0xfffffff009b44638: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4463c: e00313aa  mov	x0, x19
0xfffffff009b44640: 010080d2  mov	x1, #0
0xfffffff009b44644: f10308aa  mov	x17, x8
0xfffffff009b44648: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4464c: 31093fd7  blraa	x9, x17
0xfffffff009b44650: 28d7feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b44654: 08611a91  add	x8, x8, #0x698
0xfffffff009b44658: 29d7feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b4465c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b44660: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b44664: f50300a9  stp	x21, x0, [sp]
0xfffffff009b44668: 20d7fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b4466c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b44670: 23d7fef0  adrp	x3, #0xfffffff00762b000
0xfffffff009b44674: 631c2f91  add	x3, x3, #0xbc7
0xfffffff009b44678: e10314aa  mov	x1, x20
0xfffffff009b4467c: 02028052  mov	w2, #0x10
0xfffffff009b44680: acba9f97  bl	#0xfffffff008333130
0xfffffff009b44684: 62feff17  b	#0xfffffff009b4400c
0xfffffff009b44688: 08e20a91  add	x8, x16, #0x2b8
0xfffffff009b4468c: 095e41f9  ldr	x9, [x16, #0x2b8]
0xfffffff009b44690: e00313aa  mov	x0, x19
0xfffffff009b44694: e10314aa  mov	x1, x20
0xfffffff009b44698: f10308aa  mov	x17, x8
0xfffffff009b4469c: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009b446a0: 31093fd7  blraa	x9, x17
0xfffffff009b446a4: 67feff17  b	#0xfffffff009b44040
0xfffffff009b446a8: 100080d2  mov	x16, #0
0xfffffff009b446ac: e00313aa  mov	x0, x19
0xfffffff009b446b0: e10310aa  mov	x1, x16
0xfffffff009b446b4: 60e3a197  bl	#0xfffffff0083bd434
0xfffffff009b446b8: 607201f9  str	x0, [x19, #0x2e0]
0xfffffff009b446bc: 400e00b4  cbz	x0, #0xfffffff009b44884
0xfffffff009b446c0: 100040f9  ldr	x16, [x0]
0xfffffff009b446c4: f10300aa  mov	x17, x0
0xfffffff009b446c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b446cc: 301ac1da  autda	x16, x17
0xfffffff009b446d0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff009b446d4: e90310aa  mov	x9, x16
0xfffffff009b446d8: f10309aa  mov	x17, x9
0xfffffff009b446dc: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff009b446e0: 11093fd7  blraa	x8, x17
0xfffffff009b446e4: 700240f9  ldr	x16, [x19]
