; Candidate 7249
; ADRP+ADD at VM 0xfffffff008862a34 (fileoff 0x185ea34): page=0x1fe987000 add_imm=0xe80

0xfffffff0088629b4: e90310aa  mov	x9, x16
0xfffffff0088629b8: e00313aa  mov	x0, x19
0xfffffff0088629bc: f10309aa  mov	x17, x9
0xfffffff0088629c0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088629c4: 11093fd7  blraa	x8, x17
0xfffffff0088629c8: 00008052  mov	w0, #0
0xfffffff0088629cc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088629d0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088629d4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088629d8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088629dc: ff830291  add	sp, sp, #0xa0
0xfffffff0088629e0: ff0f5fd6  retab	
0xfffffff0088629e4: f2450194  bl	#0xfffffff0088b41ac
0xfffffff0088629e8: f70300aa  mov	x23, x0
0xfffffff0088629ec: 80008052  mov	w0, #4
0xfffffff0088629f0: 98630094  bl	#0xfffffff00887b850
0xfffffff0088629f4: f6cf04a9  stp	x22, x19, [sp, #0x48]
0xfffffff0088629f8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088629fc: 284effd0  adrp	x8, #0xfffffff007228000
0xfffffff008862a00: 0a392b91  add	x10, x8, #0xace
0xfffffff008862a04: e8498052  mov	w8, #0x24f
0xfffffff008862a08: 294effd0  adrp	x9, #0xfffffff007228000
0xfffffff008862a0c: 29dd2a91  add	x9, x9, #0xab7
0xfffffff008862a10: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008862a14: 284effb0  adrp	x8, #0xfffffff007227000
0xfffffff008862a18: 08811191  add	x8, x8, #0x460
0xfffffff008862a1c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008862a20: 680c8052  mov	w8, #0x63
0xfffffff008862a24: a34fff90  adrp	x3, #0xfffffff007256000
0xfffffff008862a28: 63781491  add	x3, x3, #0x51e
0xfffffff008862a2c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008862a30: f70300f9  str	x23, [sp]
0xfffffff008862a34: 204cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008862a38: 00003a91  add	x0, x0, #0xe80
0xfffffff008862a3c: 218dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008862a40: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008862a44: 02008052  mov	w2, #0
0xfffffff008862a48: ba41eb97  bl	#0xfffffff008333130
0xfffffff008862a4c: b3faffb5  cbnz	x19, #0xfffffff0088629a0
0xfffffff008862a50: deffff17  b	#0xfffffff0088629c8
0xfffffff008862a54: 7f2303d5  pacibsp	
0xfffffff008862a58: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008862a5c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008862a60: fd430091  add	x29, sp, #0x10
0xfffffff008862a64: 016c40f9  ldr	x1, [x0, #0xd8]
0xfffffff008862a68: c10000b4  cbz	x1, #0xfffffff008862a80
0xfffffff008862a6c: f30300aa  mov	x19, x0
0xfffffff008862a70: 001c40f9  ldr	x0, [x0, #0x38]
0xfffffff008862a74: a6d50094  bl	#0xfffffff00889810c
0xfffffff008862a78: 7f6e00f9  str	xzr, [x19, #0xd8]
0xfffffff008862a7c: 02000014  b	#0xfffffff008862a84
0xfffffff008862a80: 00008052  mov	w0, #0
0xfffffff008862a84: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008862a88: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008862a8c: ff0f5fd6  retab	
0xfffffff008862a90: 7f2303d5  pacibsp	
0xfffffff008862a94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008862a98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008862a9c: fd430091  add	x29, sp, #0x10
0xfffffff008862aa0: f30300aa  mov	x19, x0
0xfffffff008862aa4: 005840f9  ldr	x0, [x0, #0xb0]
0xfffffff008862aa8: 600000b4  cbz	x0, #0xfffffff008862ab4
0xfffffff008862aac: d3420194  bl	#0xfffffff0088b35f8
0xfffffff008862ab0: 7f5a00f9  str	xzr, [x19, #0xb0]
