; Candidate 12897
; ADRP+ADD at VM 0xfffffff00917fc7c (fileoff 0x217bc7c): page=0x1fe313000 add_imm=0xd2d

0xfffffff00917fbfc: f10310aa  mov	x17, x16
0xfffffff00917fc00: f147c1da  xpacd	x17
0xfffffff00917fc04: 1f0211eb  cmp	x16, x17
0xfffffff00917fc08: 40000054  b.eq	#0xfffffff00917fc10
0xfffffff00917fc0c: 408e38d4  brk	#0xc472
0xfffffff00917fc10: 08221691  add	x8, x16, #0x588
0xfffffff00917fc14: 09c642f9  ldr	x9, [x16, #0x588]
0xfffffff00917fc18: e00313aa  mov	x0, x19
0xfffffff00917fc1c: f10308aa  mov	x17, x8
0xfffffff00917fc20: b18de9f2  movk	x17, #0x4c6d, lsl #48
0xfffffff00917fc24: 31093fd7  blraa	x9, x17
0xfffffff00917fc28: 61464179  ldrh	w1, [x19, #0xa2]
0xfffffff00917fc2c: f50316aa  mov	x21, x22
0xfffffff00917fc30: c1110034  cbz	w1, #0xfffffff00917fe68
0xfffffff00917fc34: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00917fc38: e0c3863c  stur	q0, [sp, #0x6c]
0xfffffff00917fc3c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00917fc40: 700240f9  ldr	x16, [x19]
0xfffffff00917fc44: f10313aa  mov	x17, x19
0xfffffff00917fc48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00917fc4c: 301ac1da  autda	x16, x17
0xfffffff00917fc50: 11b480d2  mov	x17, #0x5a0
0xfffffff00917fc54: 1002118b  add	x16, x16, x17
0xfffffff00917fc58: 080240f9  ldr	x8, [x16]
0xfffffff00917fc5c: e90310aa  mov	x9, x16
0xfffffff00917fc60: e2430191  add	x2, sp, #0x50
0xfffffff00917fc64: e00313aa  mov	x0, x19
0xfffffff00917fc68: 83058052  mov	w3, #0x2c
0xfffffff00917fc6c: f10309aa  mov	x17, x9
0xfffffff00917fc70: 1156fcf2  movk	x17, #0xe2b0, lsl #48
0xfffffff00917fc74: 11093fd7  blraa	x8, x17
0xfffffff00917fc78: a0000034  cbz	w0, #0xfffffff00917fc8c
0xfffffff00917fc7c: 8018fff0  adrp	x0, #0xfffffff007492000
0xfffffff00917fc80: 00b43491  add	x0, x0, #0xd2d
0xfffffff00917fc84: e75cc797  bl	#0xfffffff008357020
0xfffffff00917fc88: 78000014  b	#0xfffffff00917fe68
0xfffffff00917fc8c: f56b4a29  ldp	w21, w26, [sp, #0x50]
0xfffffff00917fc90: 88098a52  mov	w8, #0x504c
0xfffffff00917fc94: a8a8a972  movk	w8, #0x4d45, lsl #16
0xfffffff00917fc98: bf02086b  cmp	w21, w8
0xfffffff00917fc9c: 41000054  b.ne	#0xfffffff00917fca4
0xfffffff00917fca0: 3a010036  tbz	w26, #0, #0xfffffff00917fcc4
0xfffffff00917fca4: e0430191  add	x0, sp, #0x50
0xfffffff00917fca8: 01008052  mov	w1, #0
0xfffffff00917fcac: 82058052  mov	w2, #0x2c
0xfffffff00917fcb0: c433af97  bl	#0xfffffff007d4cbc0
0xfffffff00917fcb4: f56b00a9  stp	x21, x26, [sp]
0xfffffff00917fcb8: 8018fff0  adrp	x0, #0xfffffff007492000
0xfffffff00917fcbc: 00d83391  add	x0, x0, #0xcf6
0xfffffff00917fcc0: d85cc797  bl	#0xfffffff008357020
0xfffffff00917fcc4: e1430191  add	x1, sp, #0x50
0xfffffff00917fcc8: 76010094  bl	#0xfffffff0091802a0
0xfffffff00917fccc: 200300b4  cbz	x0, #0xfffffff00917fd30
0xfffffff00917fcd0: f90300aa  mov	x25, x0
0xfffffff00917fcd4: 700240f9  ldr	x16, [x19]
0xfffffff00917fcd8: f10313aa  mov	x17, x19
0xfffffff00917fcdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00917fce0: 301ac1da  autda	x16, x17
0xfffffff00917fce4: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00917fce8: e90310aa  mov	x9, x16
0xfffffff00917fcec: 8118fff0  adrp	x1, #0xfffffff007492000
0xfffffff00917fcf0: 21743491  add	x1, x1, #0xd1d
0xfffffff00917fcf4: e00313aa  mov	x0, x19
0xfffffff00917fcf8: e20319aa  mov	x2, x25
