; Candidate 9213
; ADRP+ADD at VM 0xfffffff008a0d1e0 (fileoff 0x1a091e0): page=0x1fe88c000 add_imm=0xe40

0xfffffff008a0d160: 800700b4  cbz	x0, #0xfffffff008a0d250
0xfffffff008a0d164: 100040f9  ldr	x16, [x0]
0xfffffff008a0d168: f10300aa  mov	x17, x0
0xfffffff008a0d16c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d170: 301ac1da  autda	x16, x17
0xfffffff008a0d174: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff008a0d178: e90310aa  mov	x9, x16
0xfffffff008a0d17c: 01008052  mov	w1, #0
0xfffffff008a0d180: 82008052  mov	w2, #4
0xfffffff008a0d184: f10309aa  mov	x17, x9
0xfffffff008a0d188: f1f2f5f2  movk	x17, #0xaf97, lsl #48
0xfffffff008a0d18c: 11093fd7  blraa	x8, x17
0xfffffff008a0d190: f40300aa  mov	x20, x0
0xfffffff008a0d194: 80c600b0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a0d198: 00a02391  add	x0, x0, #0x8e8
0xfffffff008a0d19c: 100040f9  ldr	x16, [x0]
0xfffffff008a0d1a0: f10300aa  mov	x17, x0
0xfffffff008a0d1a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d1a8: 301ac1da  autda	x16, x17
0xfffffff008a0d1ac: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008a0d1b0: e90310aa  mov	x9, x16
0xfffffff008a0d1b4: f10309aa  mov	x17, x9
0xfffffff008a0d1b8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008a0d1bc: 11093fd7  blraa	x8, x17
0xfffffff008a0d1c0: 600600b4  cbz	x0, #0xfffffff008a0d28c
0xfffffff008a0d1c4: f30300aa  mov	x19, x0
0xfffffff008a0d1c8: e10314aa  mov	x1, x20
0xfffffff008a0d1cc: 40000094  bl	#0xfffffff008a0d2cc
0xfffffff008a0d1d0: 60030037  tbnz	w0, #0, #0xfffffff008a0d23c
0xfffffff008a0d1d4: 7444ffd0  adrp	x20, #0xfffffff00729b000
0xfffffff008a0d1d8: 94461091  add	x20, x20, #0x411
0xfffffff008a0d1dc: f40300f9  str	x20, [sp]
0xfffffff008a0d1e0: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d1e4: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d1e8: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d1ec: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d1f0: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d1f4: 63880a91  add	x3, x3, #0x2a2
0xfffffff008a0d1f8: 02028052  mov	w2, #0x10
0xfffffff008a0d1fc: cd97e497  bl	#0xfffffff008333130
0xfffffff008a0d200: f40300f9  str	x20, [sp]
0xfffffff008a0d204: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d208: 00441391  add	x0, x0, #0x4d1
0xfffffff008a0d20c: 8527e597  bl	#0xfffffff008357020
0xfffffff008a0d210: 700240f9  ldr	x16, [x19]
0xfffffff008a0d214: f10313aa  mov	x17, x19
0xfffffff008a0d218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d21c: 301ac1da  autda	x16, x17
0xfffffff008a0d220: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a0d224: e90310aa  mov	x9, x16
0xfffffff008a0d228: e00313aa  mov	x0, x19
0xfffffff008a0d22c: f10309aa  mov	x17, x9
0xfffffff008a0d230: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a0d234: 11093fd7  blraa	x8, x17
0xfffffff008a0d238: 130080d2  mov	x19, #0
0xfffffff008a0d23c: e00313aa  mov	x0, x19
0xfffffff008a0d240: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008a0d244: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008a0d248: ffc30091  add	sp, sp, #0x30
0xfffffff008a0d24c: ff0f5fd6  retab	
0xfffffff008a0d250: 7344ffd0  adrp	x19, #0xfffffff00729b000
0xfffffff008a0d254: 73461091  add	x19, x19, #0x411
0xfffffff008a0d258: f30300f9  str	x19, [sp]
0xfffffff008a0d25c: 6044ff90  adrp	x0, #0xfffffff007299000
