; Candidate 3345
; ADRP+ADD at VM 0xfffffff008735498 (fileoff 0x1731498): page=0x1fe9fc000 add_imm=0xd90

0xfffffff008735418: 6a018052  mov	w10, #0xb
0xfffffff00873541c: 4b058a1a  cinc	w11, w10, ne
0xfffffff008735420: 8a008052  mov	w10, #4
0xfffffff008735424: 4a058a1a  cinc	w10, w10, ne
0xfffffff008735428: 03000014  b	#0xfffffff008735434
0xfffffff00873542c: 6b038052  mov	w11, #0x1b
0xfffffff008735430: ea030baa  mov	x10, x11
0xfffffff008735434: 0c168152  mov	w12, #0x8b0
0xfffffff008735438: ec620c9b  madd	x12, x23, x12, x24
0xfffffff00873543c: 8c114039  ldrb	w12, [x12, #4]
0xfffffff008735440: 9f010071  cmp	w12, #0
0xfffffff008735444: 2419407a  ccmp	w9, #0, #4, ne
0xfffffff008735448: 01410054  b.ne	#0xfffffff008735c68
0xfffffff00873544c: 88030034  cbz	w8, #0xfffffff0087354bc
0xfffffff008735450: 1f0d0071  cmp	w8, #3
0xfffffff008735454: 81000054  b.ne	#0xfffffff008735464
0xfffffff008735458: 4b250051  sub	w11, w10, #9
0xfffffff00873545c: 7f090071  cmp	w11, #2
0xfffffff008735460: 43010054  b.lo	#0xfffffff008735488
0xfffffff008735464: 5f690071  cmp	w10, #0x1a
0xfffffff008735468: a8020054  b.hi	#0xfffffff0087354bc
0xfffffff00873546c: 2b008052  mov	w11, #1
0xfffffff008735470: 6b21ca1a  lsl	w11, w11, w10
0xfffffff008735474: 0c98a052  mov	w12, #0x4c00000
0xfffffff008735478: 7f010c6a  tst	w11, w12
0xfffffff00873547c: 00020054  b.eq	#0xfffffff0087354bc
0xfffffff008735480: 1f090071  cmp	w8, #2
0xfffffff008735484: c8010054  b.hi	#0xfffffff0087354bc
0xfffffff008735488: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00873548c: c850ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff008735490: 08bd1991  add	x8, x8, #0x66f
0xfffffff008735494: e80300f9  str	x8, [sp]
0xfffffff008735498: e04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873549c: 00403691  add	x0, x0, #0xd90
0xfffffff0087354a0: 4196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087354a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087354a8: 2350ffd0  adrp	x3, #0xfffffff00713b000
0xfffffff0087354ac: 63b40191  add	x3, x3, #0x6d
0xfffffff0087354b0: 02008052  mov	w2, #0
0xfffffff0087354b4: 1ff7ef97  bl	#0xfffffff008333130
0xfffffff0087354b8: 01020014  b	#0xfffffff008735cbc
0xfffffff0087354bc: ed2300b9  str	w13, [sp, #0x20]
0xfffffff0087354c0: 0ab6a552  mov	w10, #0x2db00000
0xfffffff0087354c4: 4a3700b9  str	w10, [x26, #0x34]
0xfffffff0087354c8: 6b0e40f9  ldr	x11, [x19, #0x18]
0xfffffff0087354cc: 6bbd46f9  ldr	x11, [x11, #0xd78]
0xfffffff0087354d0: 6b0140b9  ldr	w11, [x11]
0xfffffff0087354d4: 7f150071  cmp	w11, #5
0xfffffff0087354d8: 0b008452  mov	w11, #0x2000
0xfffffff0087354dc: 0bb6a572  movk	w11, #0x2db0, lsl #16
0xfffffff0087354e0: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff0087354e4: df050071  cmp	w14, #1
0xfffffff0087354e8: eb179f1a  cset	w11, eq
0xfffffff0087354ec: ff010071  cmp	w15, #0
0xfffffff0087354f0: 0c568052  mov	w12, #0x2b0
0xfffffff0087354f4: 0d548052  mov	w13, #0x2a0
0xfffffff0087354f8: ac018c1a  csel	w12, w13, w12, eq
0xfffffff0087354fc: ee3f00b9  str	w14, [sp, #0x3c]
0xfffffff008735500: df010071  cmp	w14, #0
0xfffffff008735504: 0d088252  mov	w13, #0x1040
0xfffffff008735508: 0e088052  mov	w14, #0x40
0xfffffff00873550c: cd018d1a  csel	w13, w14, w13, eq
0xfffffff008735510: 6d011633  bfi	w13, w11, #0xa, #1
0xfffffff008735514: ab010c2a  orr	w11, w13, w12
