; Candidate 5793
; ADRP+ADD at VM 0xfffffff008804338 (fileoff 0x1800338): page=0x1fe9e5000 add_imm=0xe80

0xfffffff0088042b8: 20060034  cbz	w0, #0xfffffff00880437c
0xfffffff0088042bc: e00313aa  mov	x0, x19
0xfffffff0088042c0: 56dd0194  bl	#0xfffffff00887b818
0xfffffff0088042c4: f501f837  tbnz	w21, #0x1f, #0xfffffff008804300
0xfffffff0088042c8: b6021b12  and	w22, w21, #0x20
0xfffffff0088042cc: 18000052  eor	w24, w0, #1
0xfffffff0088042d0: b7bf0294  bl	#0xfffffff0088b41ac
0xfffffff0088042d4: f70300aa  mov	x23, x0
0xfffffff0088042d8: e00314aa  mov	x0, x20
0xfffffff0088042dc: 5ddd0194  bl	#0xfffffff00887b850
0xfffffff0088042e0: 0817562a  orr	w8, w24, w22, lsr #5
0xfffffff0088042e4: c8010037  tbnz	w8, #0, #0xfffffff00880431c
0xfffffff0088042e8: e80313aa  mov	x8, x19
0xfffffff0088042ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088042f0: f70300f9  str	x23, [sp]
0xfffffff0088042f4: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0088042f8: 005c0e91  add	x0, x0, #0x397
0xfffffff0088042fc: 06000014  b	#0xfffffff008804314
0xfffffff008804300: e0020034  cbz	w0, #0xfffffff00880435c
0xfffffff008804304: e803154b  neg	w8, w21
0xfffffff008804308: a8022837  tbnz	w8, #5, #0xfffffff00880435c
0xfffffff00880430c: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff008804310: 00540e91  add	x0, x0, #0x395
0xfffffff008804314: 53ccd697  bl	#0xfffffff007db7460
0xfffffff008804318: 19000014  b	#0xfffffff00880437c
0xfffffff00880431c: a4bf0294  bl	#0xfffffff0088b41ac
0xfffffff008804320: f70300aa  mov	x23, x0
0xfffffff008804324: e00314aa  mov	x0, x20
0xfffffff008804328: 4add0194  bl	#0xfffffff00887b850
0xfffffff00880432c: e80313aa  mov	x8, x19
0xfffffff008804330: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008804334: f70300f9  str	x23, [sp]
0xfffffff008804338: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880433c: 00003a91  add	x0, x0, #0xe80
0xfffffff008804340: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804344: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008804348: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff00880434c: 63580091  add	x3, x3, #0x16
0xfffffff008804350: 02008052  mov	w2, #0
0xfffffff008804354: 77bbec97  bl	#0xfffffff008333130
0xfffffff008804358: 09000014  b	#0xfffffff00880437c
0xfffffff00880435c: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008804360: 00003a91  add	x0, x0, #0xe80
0xfffffff008804364: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804368: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880436c: 0352ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008804370: 63540091  add	x3, x3, #0x15
0xfffffff008804374: 02008052  mov	w2, #0
0xfffffff008804378: 6ebbec97  bl	#0xfffffff008333130
0xfffffff00880437c: 68bf4391  add	x8, x27, #0xef, lsl #12
0xfffffff008804380: 17813191  add	x23, x8, #0xc60
0xfffffff008804384: e00317aa  mov	x0, x23
0xfffffff008804388: e10313aa  mov	x1, x19
0xfffffff00880438c: e20315aa  mov	x2, x21
0xfffffff008804390: 53330294  bl	#0xfffffff0088910dc
0xfffffff008804394: e00317aa  mov	x0, x23
0xfffffff008804398: e10313aa  mov	x1, x19
0xfffffff00880439c: e20315aa  mov	x2, x21
0xfffffff0088043a0: 853c0294  bl	#0xfffffff0088935b4
0xfffffff0088043a4: e00313aa  mov	x0, x19
0xfffffff0088043a8: e10314aa  mov	x1, x20
0xfffffff0088043ac: 09dd0194  bl	#0xfffffff00887b7d0
0xfffffff0088043b0: 20060034  cbz	w0, #0xfffffff008804474
0xfffffff0088043b4: e00313aa  mov	x0, x19
