; Candidate 7808
; ADRP+ADD at VM 0xfffffff0088807ac (fileoff 0x187c7ac): page=0x1ff18d000 add_imm=0xd98

0xfffffff00888072c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008880730: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008880734: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008880738: fd830091  add	x29, sp, #0x20
0xfffffff00888073c: f30301aa  mov	x19, x1
0xfffffff008880740: f40300aa  mov	x20, x0
0xfffffff008880744: 11befe97  bl	#0xfffffff00882ff88
0xfffffff008880748: f50300aa  mov	x21, x0
0xfffffff00888074c: e00314aa  mov	x0, x20
0xfffffff008880750: 23befe97  bl	#0xfffffff00882ffdc
0xfffffff008880754: bf0200eb  cmp	x21, x0
0xfffffff008880758: e0000054  b.eq	#0xfffffff008880774
0xfffffff00888075c: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff008880760: 1f0113eb  cmp	x8, x19
0xfffffff008880764: a0000054  b.eq	#0xfffffff008880778
0xfffffff008880768: e00315aa  mov	x0, x21
0xfffffff00888076c: dabbfe97  bl	#0xfffffff00882f6d4
0xfffffff008880770: f6ffff17  b	#0xfffffff008880748
0xfffffff008880774: 150080d2  mov	x21, #0
0xfffffff008880778: e00315aa  mov	x0, x21
0xfffffff00888077c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008880780: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008880784: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008880788: ff0f5fd6  retab	
0xfffffff00888078c: 7f2303d5  pacibsp	
0xfffffff008880790: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008880794: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008880798: fd430091  add	x29, sp, #0x10
0xfffffff00888079c: e3ffff97  bl	#0xfffffff008880728
0xfffffff0088807a0: 200100b4  cbz	x0, #0xfffffff0088807c4
0xfffffff0088807a4: f30300aa  mov	x19, x0
0xfffffff0088807a8: 62bcfe97  bl	#0xfffffff00882f930
0xfffffff0088807ac: 608cffb0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088807b0: 00603691  add	x0, x0, #0xd98
0xfffffff0088807b4: e10313aa  mov	x1, x19
0xfffffff0088807b8: d557eb97  bl	#0xfffffff00835670c
0xfffffff0088807bc: 00008052  mov	w0, #0
0xfffffff0088807c0: 02000014  b	#0xfffffff0088807c8
0xfffffff0088807c4: e07d8012  mov	w0, #-0x3f0
0xfffffff0088807c8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088807cc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088807d0: ff0f5fd6  retab	
0xfffffff0088807d4: 5f2403d5  bti	c
0xfffffff0088807d8: bf0000b9  str	wzr, [x5]
0xfffffff0088807dc: 10040051  sub	w16, w0, #1
0xfffffff0088807e0: 1f660071  cmp	w16, #0x19
0xfffffff0088807e4: e8060054  b.hi	#0xfffffff0088808c0
0xfffffff0088807e8: 1f6600f1  cmp	x16, #0x19
0xfffffff0088807ec: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0088807f0: 11000090  adrp	x17, #0xfffffff008880000
0xfffffff0088807f4: 31322491  add	x17, x17, #0x90c
0xfffffff0088807f8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0088807fc: 11000010  adr	x17, #0xfffffff0088807fc
0xfffffff008880800: 3002108b  add	x16, x17, x16
0xfffffff008880804: 00021fd6  br	x16
0xfffffff008880808: 9f2403d5  bti	j
0xfffffff00888080c: e3000034  cbz	w3, #0xfffffff008880828
0xfffffff008880810: 7f040071  cmp	w3, #1
0xfffffff008880814: 61050054  b.ne	#0xfffffff0088808c0
0xfffffff008880818: 494cffd0  adrp	x9, #0xfffffff00720a000
0xfffffff00888081c: 29411191  add	x9, x9, #0x450
0xfffffff008880820: 28098052  mov	w8, #0x49
0xfffffff008880824: 2c000014  b	#0xfffffff0088808d4
0xfffffff008880828: 494cffd0  adrp	x9, #0xfffffff00720a000
