; Candidate 1634
; ADRP+ADD at VM 0xfffffff0084da978 (fileoff 0x14d6978): page=0x1fec07000 add_imm=0xe39

0xfffffff0084da8f8: 838df297  bl	#0xfffffff00817df04
0xfffffff0084da8fc: 40b75ff9  ldr	x0, [x26, #0x3f68]
0xfffffff0084da900: 8f47e397  bl	#0xfffffff007dac73c
0xfffffff0084da904: 88fa40b9  ldr	w8, [x20, #0xf8]
0xfffffff0084da908: d6ffff17  b	#0xfffffff0084da860
0xfffffff0084da90c: 5f2403d5  bti	c
0xfffffff0084da910: c0035fd6  ret	
0xfffffff0084da914: 5f2403d5  bti	c
0xfffffff0084da918: 000080d2  mov	x0, #0
0xfffffff0084da91c: c0035fd6  ret	
0xfffffff0084da920: 5f2403d5  bti	c
0xfffffff0084da924: 7427f817  b	#0xfffffff0082e46f4
0xfffffff0084da928: 5f2403d5  bti	c
0xfffffff0084da92c: 7227f817  b	#0xfffffff0082e46f4
0xfffffff0084da930: 7f2303d5  pacibsp	
0xfffffff0084da934: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084da938: fd030091  mov	x29, sp
0xfffffff0084da93c: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da940: 00603791  add	x0, x0, #0xdd8
0xfffffff0084da944: 3d3af997  bl	#0xfffffff008329238
0xfffffff0084da948: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da94c: 008906f9  str	x0, [x8, #0xd10]
0xfffffff0084da950: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da954: 00083891  add	x0, x0, #0xe02
0xfffffff0084da958: 383af997  bl	#0xfffffff008329238
0xfffffff0084da95c: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da960: 008d06f9  str	x0, [x8, #0xd18]
0xfffffff0084da964: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da968: 00883891  add	x0, x0, #0xe22
0xfffffff0084da96c: 333af997  bl	#0xfffffff008329238
0xfffffff0084da970: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da974: 009106f9  str	x0, [x8, #0xd20]
0xfffffff0084da978: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da97c: 00e43891  add	x0, x0, #0xe39
0xfffffff0084da980: 2e3af997  bl	#0xfffffff008329238
0xfffffff0084da984: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da988: 009506f9  str	x0, [x8, #0xd28]
0xfffffff0084da98c: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da990: 004c3991  add	x0, x0, #0xe53
0xfffffff0084da994: 293af997  bl	#0xfffffff008329238
0xfffffff0084da998: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da99c: 009906f9  str	x0, [x8, #0xd30]
0xfffffff0084da9a0: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da9a4: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084da9a8: 243af997  bl	#0xfffffff008329238
0xfffffff0084da9ac: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da9b0: 009d06f9  str	x0, [x8, #0xd38]
0xfffffff0084da9b4: c0ef00d0  adrp	x0, #0xfffffff00a2d4000
0xfffffff0084da9b8: 00c03591  add	x0, x0, #0xd70
0xfffffff0084da9bc: e15fffd0  adrp	x1, #0xfffffff0070d8000
0xfffffff0084da9c0: 21502191  add	x1, x1, #0x854
0xfffffff0084da9c4: e2ef0090  adrp	x2, #0xfffffff00a2d6000
0xfffffff0084da9c8: 42601e91  add	x2, x2, #0x798
0xfffffff0084da9cc: 032d8052  mov	w3, #0x168
0xfffffff0084da9d0: 5a24f897  bl	#0xfffffff0082e3b38
0xfffffff0084da9d4: d0a5fff0  adrp	x16, #0xfffffff007995000
0xfffffff0084da9d8: 10e23f91  add	x16, x16, #0xff8
0xfffffff0084da9dc: 10420091  add	x16, x16, #0x10
0xfffffff0084da9e0: f10300aa  mov	x17, x0
0xfffffff0084da9e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084da9e8: 300ac1da  pacda	x16, x17
0xfffffff0084da9ec: 100000f9  str	x16, [x0]
0xfffffff0084da9f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0084da9f4: ff0f5fd6  retab	
