; Candidate 5873
; ADRP+ADD at VM 0xfffffff00880a10c (fileoff 0x180610c): page=0x1fea10000 add_imm=0xd46

0xfffffff00880a08c: e00a00b4  cbz	x0, #0xfffffff00880a1e8
0xfffffff00880a090: a80240f9  ldr	x8, [x21]
0xfffffff00880a094: 011840b9  ldr	w1, [x0, #0x18]
0xfffffff00880a098: 03e00091  add	x3, x0, #0x38
0xfffffff00880a09c: c20640b9  ldr	w2, [x22, #4]
0xfffffff00880a0a0: e00308aa  mov	x0, x8
0xfffffff00880a0a4: 22e30294  bl	#0xfffffff0088c2d2c
0xfffffff00880a0a8: f40300aa  mov	x20, x0
0xfffffff00880a0ac: 401e0034  cbz	w0, #0xfffffff00880a474
0xfffffff00880a0b0: 800e8052  mov	w0, #0x74
0xfffffff00880a0b4: 81008052  mov	w1, #4
0xfffffff00880a0b8: c6c50194  bl	#0xfffffff00887b7d0
0xfffffff00880a0bc: a01d0034  cbz	w0, #0xfffffff00880a470
0xfffffff00880a0c0: 800e8052  mov	w0, #0x74
0xfffffff00880a0c4: d5c50194  bl	#0xfffffff00887b818
0xfffffff00880a0c8: f60300aa  mov	x22, x0
0xfffffff00880a0cc: 38a80294  bl	#0xfffffff0088b41ac
0xfffffff00880a0d0: f50300aa  mov	x21, x0
0xfffffff00880a0d4: 80008052  mov	w0, #4
0xfffffff00880a0d8: dec50194  bl	#0xfffffff00887b850
0xfffffff00880a0dc: 16100034  cbz	w22, #0xfffffff00880a2dc
0xfffffff00880a0e0: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880a0e4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00880a0e8: 2850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880a0ec: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880a0f0: c9a48052  mov	w9, #0x526
0xfffffff00880a0f4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00880a0f8: 8850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff00880a0fc: 08f53591  add	x8, x8, #0xd7d
0xfffffff00880a100: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880a104: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880a108: 880e8052  mov	w8, #0x74
0xfffffff00880a10c: 8050ff90  adrp	x0, #0xfffffff00721a000
0xfffffff00880a110: 00183591  add	x0, x0, #0xd46
0xfffffff00880a114: 6f000014  b	#0xfffffff00880a2d0
0xfffffff00880a118: 682a4491  add	x8, x19, #0x10a, lsl #12
0xfffffff00880a11c: 084d0b91  add	x8, x8, #0x2d3
0xfffffff00880a120: 17014039  ldrb	w23, [x8]
0xfffffff00880a124: 57010034  cbz	w23, #0xfffffff00880a14c
0xfffffff00880a128: f8230191  add	x24, sp, #0x48
0xfffffff00880a12c: 00730791  add	x0, x24, #0x1dc
0xfffffff00880a130: 81223091  add	x1, x20, #0xc08
0xfffffff00880a134: 822d8052  mov	w2, #0x16c
0xfffffff00880a138: 160ad597  bl	#0xfffffff007d4c990
0xfffffff00880a13c: 00230d91  add	x0, x24, #0x348
0xfffffff00880a140: 81d23591  add	x1, x20, #0xd74
0xfffffff00880a144: 02358052  mov	w2, #0x1a8
0xfffffff00880a148: 120ad597  bl	#0xfffffff007d4c990
0xfffffff00880a14c: a00240f9  ldr	x0, [x21]
0xfffffff00880a150: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00880a154: 01211f91  add	x1, x8, #0x7c8
0xfffffff00880a158: c22a75b9  ldr	w2, [x22, #0x3528]
0xfffffff00880a15c: 832641b9  ldr	w3, [x20, #0x124]
0xfffffff00880a160: ff020071  cmp	w23, #0
0xfffffff00880a164: e4079f1a  cset	w4, ne
0xfffffff00880a168: e5230191  add	x5, sp, #0x48
0xfffffff00880a16c: 8fe20294  bl	#0xfffffff0088c2ba8
0xfffffff00880a170: 20070034  cbz	w0, #0xfffffff00880a254
0xfffffff00880a174: f40300aa  mov	x20, x0
0xfffffff00880a178: 800e8052  mov	w0, #0x74
0xfffffff00880a17c: 81008052  mov	w1, #4
0xfffffff00880a180: 94c50194  bl	#0xfffffff00887b7d0
0xfffffff00880a184: 80170034  cbz	w0, #0xfffffff00880a474
0xfffffff00880a188: 800e8052  mov	w0, #0x74
