; Candidate 12095
; ADRP+ADD at VM 0xfffffff008fd8f3c (fileoff 0x1fd4f3c): page=0x1fe45a000 add_imm=0xdef

0xfffffff008fd8ebc: 02000014  b	#0xfffffff008fd8ec4
0xfffffff008fd8ec0: 15008052  mov	w21, #0
0xfffffff008fd8ec4: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff008fd8ec8: c81100b4  cbz	x8, #0xfffffff008fd9100
0xfffffff008fd8ecc: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff008fd8ed0: 100040f9  ldr	x16, [x0]
0xfffffff008fd8ed4: f10300aa  mov	x17, x0
0xfffffff008fd8ed8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd8edc: 301ac1da  autda	x16, x17
0xfffffff008fd8ee0: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008fd8ee4: e90310aa  mov	x9, x16
0xfffffff008fd8ee8: e10314aa  mov	x1, x20
0xfffffff008fd8eec: f10309aa  mov	x17, x9
0xfffffff008fd8ef0: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff008fd8ef4: 11093fd7  blraa	x8, x17
0xfffffff008fd8ef8: 810a40f9  ldr	x1, [x20, #0x10]
0xfffffff008fd8efc: 821640f9  ldr	x2, [x20, #0x28]
0xfffffff008fd8f00: 700240f9  ldr	x16, [x19]
0xfffffff008fd8f04: f10313aa  mov	x17, x19
0xfffffff008fd8f08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd8f0c: 301ac1da  autda	x16, x17
0xfffffff008fd8f10: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008fd8f14: e90310aa  mov	x9, x16
0xfffffff008fd8f18: e00313aa  mov	x0, x19
0xfffffff008fd8f1c: f10309aa  mov	x17, x9
0xfffffff008fd8f20: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff008fd8f24: 11093fd7  blraa	x8, x17
0xfffffff008fd8f28: 88d64039  ldrb	w8, [x20, #0x35]
0xfffffff008fd8f2c: c80e0034  cbz	w8, #0xfffffff008fd9104
0xfffffff008fd8f30: 40008052  mov	w0, #2
0xfffffff008fd8f34: 7f60cc97  bl	#0xfffffff0082f1130
0xfffffff008fd8f38: f60300aa  mov	x22, x0
0xfffffff008fd8f3c: c022ffd0  adrp	x0, #0xfffffff007432000
0xfffffff008fd8f40: 00bc3791  add	x0, x0, #0xdef
0xfffffff008fd8f44: 1341cd97  bl	#0xfffffff008329390
0xfffffff008fd8f48: f70300aa  mov	x23, x0
0xfffffff008fd8f4c: 820e40f9  ldr	x2, [x20, #0x18]
0xfffffff008fd8f50: d00240f9  ldr	x16, [x22]
0xfffffff008fd8f54: f10316aa  mov	x17, x22
0xfffffff008fd8f58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd8f5c: 301ac1da  autda	x16, x17
0xfffffff008fd8f60: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008fd8f64: e90310aa  mov	x9, x16
0xfffffff008fd8f68: e00316aa  mov	x0, x22
0xfffffff008fd8f6c: e10317aa  mov	x1, x23
0xfffffff008fd8f70: f10309aa  mov	x17, x9
0xfffffff008fd8f74: d1b3f1f2  movk	x17, #0x8d9e, lsl #48
0xfffffff008fd8f78: 11093fd7  blraa	x8, x17
0xfffffff008fd8f7c: c022ffd0  adrp	x0, #0xfffffff007432000
0xfffffff008fd8f80: 00d83791  add	x0, x0, #0xdf6
0xfffffff008fd8f84: 0341cd97  bl	#0xfffffff008329390
0xfffffff008fd8f88: f80300aa  mov	x24, x0
0xfffffff008fd8f8c: 821240f9  ldr	x2, [x20, #0x20]
0xfffffff008fd8f90: d00240f9  ldr	x16, [x22]
0xfffffff008fd8f94: f10316aa  mov	x17, x22
0xfffffff008fd8f98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd8f9c: 301ac1da  autda	x16, x17
0xfffffff008fd8fa0: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008fd8fa4: e90310aa  mov	x9, x16
0xfffffff008fd8fa8: e00316aa  mov	x0, x22
0xfffffff008fd8fac: e10318aa  mov	x1, x24
0xfffffff008fd8fb0: f10309aa  mov	x17, x9
0xfffffff008fd8fb4: d1b3f1f2  movk	x17, #0x8d9e, lsl #48
0xfffffff008fd8fb8: 11093fd7  blraa	x8, x17
