; Candidate 9234
; ADRP+ADD at VM 0xfffffff008a11038 (fileoff 0x1a0d038): page=0x1fe888000 add_imm=0xe40

0xfffffff008a10fb8: 00b42f91  add	x0, x0, #0xbed
0xfffffff008a10fbc: 3c000014  b	#0xfffffff008a110ac
0xfffffff008a10fc0: 900240f9  ldr	x16, [x20]
0xfffffff008a10fc4: f10314aa  mov	x17, x20
0xfffffff008a10fc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10fcc: 301ac1da  autda	x16, x17
0xfffffff008a10fd0: 113d80d2  mov	x17, #0x1e8
0xfffffff008a10fd4: 1002118b  add	x16, x16, x17
0xfffffff008a10fd8: 080240f9  ldr	x8, [x16]
0xfffffff008a10fdc: e90310aa  mov	x9, x16
0xfffffff008a10fe0: e00314aa  mov	x0, x20
0xfffffff008a10fe4: 010080d2  mov	x1, #0
0xfffffff008a10fe8: f10309aa  mov	x17, x9
0xfffffff008a10fec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a10ff0: 11093fd7  blraa	x8, x17
0xfffffff008a10ff4: 900240f9  ldr	x16, [x20]
0xfffffff008a10ff8: f10314aa  mov	x17, x20
0xfffffff008a10ffc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a11000: 301ac1da  autda	x16, x17
0xfffffff008a11004: 113d80d2  mov	x17, #0x1e8
0xfffffff008a11008: 1002118b  add	x16, x16, x17
0xfffffff008a1100c: 080240f9  ldr	x8, [x16]
0xfffffff008a11010: e90310aa  mov	x9, x16
0xfffffff008a11014: e00314aa  mov	x0, x20
0xfffffff008a11018: 010080d2  mov	x1, #0
0xfffffff008a1101c: f10309aa  mov	x17, x9
0xfffffff008a11020: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a11024: 11093fd7  blraa	x8, x17
0xfffffff008a11028: f7e301a9  stp	x23, x24, [sp, #0x18]
0xfffffff008a1102c: 3b428052  mov	w27, #0x211
0xfffffff008a11030: fcef00a9  stp	x28, x27, [sp, #8]
0xfffffff008a11034: e00300f9  str	x0, [sp]
0xfffffff008a11038: 4044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a1103c: 00003991  add	x0, x0, #0xe40
0xfffffff008a11040: c181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a11044: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a11048: 02028052  mov	w2, #0x10
0xfffffff008a1104c: 6344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a11050: 63401691  add	x3, x3, #0x590
0xfffffff008a11054: 3788e497  bl	#0xfffffff008333130
0xfffffff008a11058: 900240f9  ldr	x16, [x20]
0xfffffff008a1105c: f10314aa  mov	x17, x20
0xfffffff008a11060: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a11064: 301ac1da  autda	x16, x17
0xfffffff008a11068: f10310aa  mov	x17, x16
0xfffffff008a1106c: f147c1da  xpacd	x17
0xfffffff008a11070: 1f0211eb  cmp	x16, x17
0xfffffff008a11074: 40000054  b.eq	#0xfffffff008a1107c
0xfffffff008a11078: 408e38d4  brk	#0xc472
0xfffffff008a1107c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a11080: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a11084: e00314aa  mov	x0, x20
0xfffffff008a11088: 010080d2  mov	x1, #0
0xfffffff008a1108c: f10308aa  mov	x17, x8
0xfffffff008a11090: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a11094: 31093fd7  blraa	x9, x17
0xfffffff008a11098: f7e301a9  stp	x23, x24, [sp, #0x18]
0xfffffff008a1109c: fcef00a9  stp	x28, x27, [sp, #8]
0xfffffff008a110a0: e00300f9  str	x0, [sp]
0xfffffff008a110a4: 4044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a110a8: 00b43091  add	x0, x0, #0xc2d
0xfffffff008a110ac: dd17e597  bl	#0xfffffff008357020
0xfffffff008a110b0: f7060091  add	x23, x23, #1
0xfffffff008a110b4: 1f0317eb  cmp	x24, x23
