; Candidate 10373
; ADRP+ADD at VM 0xfffffff008d22308 (fileoff 0x1d1e308): page=0x1fedad000 add_imm=0xd00

0xfffffff008d22288: 10223b91  add	x16, x16, #0xec8
0xfffffff008d2228c: 10620391  add	x16, x16, #0xd8
0xfffffff008d22290: f10308aa  mov	x17, x8
0xfffffff008d22294: 3115ecf2  movk	x17, #0x60a9, lsl #48
0xfffffff008d22298: 300ac1da  pacda	x16, x17
0xfffffff008d2229c: 100800f9  str	x16, [x0, #0x10]
0xfffffff008d222a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d222a4: ff0f5fd6  retab	
0xfffffff008d222a8: 5f2403d5  bti	c
0xfffffff008d222ac: a814d717  b	#0xfffffff0082e754c
0xfffffff008d222b0: 5f2403d5  bti	c
0xfffffff008d222b4: a614d717  b	#0xfffffff0082e754c
0xfffffff008d222b8: 7f2303d5  pacibsp	
0xfffffff008d222bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d222c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d222c4: fd430091  add	x29, sp, #0x10
0xfffffff008d222c8: f30300aa  mov	x19, x0
0xfffffff008d222cc: a014d797  bl	#0xfffffff0082e754c
0xfffffff008d222d0: 606dffb0  adrp	x0, #0xfffffff007acf000
0xfffffff008d222d4: 00003491  add	x0, x0, #0xd00
0xfffffff008d222d8: e10313aa  mov	x1, x19
0xfffffff008d222dc: 027d8052  mov	w2, #0x3e8
0xfffffff008d222e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008d222e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008d222e8: ff2303d5  autibsp	
0xfffffff008d222ec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d222f0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d222f8
0xfffffff008d222f4: 208e38d4  brk	#0xc471
0xfffffff008d222f8: e914d717  b	#0xfffffff0082e769c
0xfffffff008d222fc: 5f2403d5  bti	c
0xfffffff008d22300: e20301aa  mov	x2, x1
0xfffffff008d22304: e10300aa  mov	x1, x0
0xfffffff008d22308: 606dffb0  adrp	x0, #0xfffffff007acf000
0xfffffff008d2230c: 00003491  add	x0, x0, #0xd00
0xfffffff008d22310: e314d717  b	#0xfffffff0082e769c
0xfffffff008d22314: 5f2403d5  bti	c
0xfffffff008d22318: 20ae00b0  adrp	x0, #0xfffffff00a2e7000
0xfffffff008d2231c: 00203f91  add	x0, x0, #0xfc8
0xfffffff008d22320: c0035fd6  ret	
0xfffffff008d22324: 7f2303d5  pacibsp	
0xfffffff008d22328: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d2232c: fd030091  mov	x29, sp
0xfffffff008d22330: c132fff0  adrp	x1, #0xfffffff00737d000
0xfffffff008d22334: 214c3591  add	x1, x1, #0xd53
0xfffffff008d22338: 426dfff0  adrp	x2, #0xfffffff007acd000
0xfffffff008d2233c: 42d443f9  ldr	x2, [x2, #0x7a8]
0xfffffff008d22340: 037d8052  mov	w3, #0x3e8
0xfffffff008d22344: fd05d797  bl	#0xfffffff0082e3b38
0xfffffff008d22348: 706dff90  adrp	x16, #0xfffffff007ace000
0xfffffff008d2234c: 10a23f91  add	x16, x16, #0xfe8
0xfffffff008d22350: 10420091  add	x16, x16, #0x10
0xfffffff008d22354: f10300aa  mov	x17, x0
0xfffffff008d22358: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d2235c: 300ac1da  pacda	x16, x17
0xfffffff008d22360: 100000f9  str	x16, [x0]
0xfffffff008d22364: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d22368: ff0f5fd6  retab	
0xfffffff008d2236c: 7f2303d5  pacibsp	
0xfffffff008d22370: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d22374: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d22378: fd430091  add	x29, sp, #0x10
0xfffffff008d2237c: 606dffb0  adrp	x0, #0xfffffff007acf000
0xfffffff008d22380: 00003491  add	x0, x0, #0xd00
0xfffffff008d22384: 017d8052  mov	w1, #0x3e8
