; Candidate 9097
; ADRP+ADD at VM 0xfffffff0089f42bc (fileoff 0x19f02bc): page=0x1fe8a0000 add_imm=0xdf4

0xfffffff0089f423c: e90310aa  mov	x9, x16
0xfffffff0089f4240: e00314aa  mov	x0, x20
0xfffffff0089f4244: 01008052  mov	w1, #0
0xfffffff0089f4248: f10309aa  mov	x17, x9
0xfffffff0089f424c: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0089f4250: 11093fd7  blraa	x8, x17
0xfffffff0089f4254: 8882fff0  adrp	x8, #0xfffffff007a47000
0xfffffff0089f4258: 083947f9  ldr	x8, [x8, #0xe70]
0xfffffff0089f425c: 02010b91  add	x2, x8, #0x2c0
0xfffffff0089f4260: 106141f9  ldr	x16, [x8, #0x2c0]
0xfffffff0089f4264: e00314aa  mov	x0, x20
0xfffffff0089f4268: e10313aa  mov	x1, x19
0xfffffff0089f426c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0089f4270: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0089f4274: ff430191  add	sp, sp, #0x50
0xfffffff0089f4278: ff2303d5  autibsp	
0xfffffff0089f427c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0089f4280: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0089f4288
0xfffffff0089f4284: 208e38d4  brk	#0xc471
0xfffffff0089f4288: f10302aa  mov	x17, x2
0xfffffff0089f428c: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0089f4290: 110a1fd7  braa	x16, x17
0xfffffff0089f4294: 0845ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f4298: 08650b91  add	x8, x8, #0x2d9
0xfffffff0089f429c: c9138052  mov	w9, #0x9e
0xfffffff0089f42a0: 0a45ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f42a4: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f42a8: 0b45ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f42ac: 6b110b91  add	x11, x11, #0x2c4
0xfffffff0089f42b0: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f42b4: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f42b8: eb0300f9  str	x11, [sp]
0xfffffff0089f42bc: 0045ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f42c0: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f42c4: 670ccf97  bl	#0xfffffff007db7460
0xfffffff0089f42c8: 00008052  mov	w0, #0
0xfffffff0089f42cc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0089f42d0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0089f42d4: ff430191  add	sp, sp, #0x50
0xfffffff0089f42d8: ff0f5fd6  retab	
0xfffffff0089f42dc: 7f2303d5  pacibsp	
0xfffffff0089f42e0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0089f42e4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0089f42e8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0089f42ec: fdc30091  add	x29, sp, #0x30
0xfffffff0089f42f0: f30300aa  mov	x19, x0
0xfffffff0089f42f4: 000080d2  mov	x0, #0
0xfffffff0089f42f8: b415d597  bl	#0xfffffff007f399c8
0xfffffff0089f42fc: 000080d2  mov	x0, #0
0xfffffff0089f4300: b215d597  bl	#0xfffffff007f399c8
0xfffffff0089f4304: 49168052  mov	w9, #0xb2
0xfffffff0089f4308: 0845ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f430c: 08e90c91  add	x8, x8, #0x33a
0xfffffff0089f4310: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0089f4314: e00300f9  str	x0, [sp]
0xfffffff0089f4318: 0045ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f431c: 00400c91  add	x0, x0, #0x310
0xfffffff0089f4320: 8182fff0  adrp	x1, #0xfffffff007a47000
0xfffffff0089f4324: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089f4328: 0345ffd0  adrp	x3, #0xfffffff007296000
0xfffffff0089f432c: 63103b91  add	x3, x3, #0xec4
0xfffffff0089f4330: 02008052  mov	w2, #0
0xfffffff0089f4334: 7ffbe497  bl	#0xfffffff008333130
0xfffffff0089f4338: 604640f9  ldr	x0, [x19, #0x88]
