; Candidate 14162
; ADRP+ADD at VM 0xfffffff00973b9dc (fileoff 0x27379dc): page=0x1fde5b000 add_imm=0xe51

0xfffffff00973b95c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff00973b960: e00313aa  mov	x0, x19
0xfffffff00973b964: 010080d2  mov	x1, #0
0xfffffff00973b968: f10308aa  mov	x17, x8
0xfffffff00973b96c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00973b970: 31093fd7  blraa	x9, x17
0xfffffff00973b974: 1f0000f1  cmp	x0, #0
0xfffffff00973b978: 2803809a  csel	x8, x25, x0, eq
0xfffffff00973b97c: 697681b9  ldrsw	x9, [x19, #0x174]
0xfffffff00973b980: 3f090071  cmp	w9, #2
0xfffffff00973b984: a8000054  b.hi	#0xfffffff00973b998
0xfffffff00973b988: aa27ffd0  adrp	x10, #0xfffffff007c31000
0xfffffff00973b98c: 4ae10991  add	x10, x10, #0x278
0xfffffff00973b990: 4a7969f8  ldr	x10, [x10, x9, lsl #3]
0xfffffff00973b994: 03000014  b	#0xfffffff00973b9a0
0xfffffff00973b998: aaf2fe90  adrp	x10, #0xfffffff00758f000
0xfffffff00973b99c: 4a391f91  add	x10, x10, #0x7ce
0xfffffff00973b9a0: 9f0a0071  cmp	w20, #2
0xfffffff00973b9a4: a8000054  b.hi	#0xfffffff00973b9b8
0xfffffff00973b9a8: ab27ffd0  adrp	x11, #0xfffffff007c31000
0xfffffff00973b9ac: 6be10991  add	x11, x11, #0x278
0xfffffff00973b9b0: 6bd974f8  ldr	x11, [x11, w20, sxtw #3]
0xfffffff00973b9b4: 03000014  b	#0xfffffff00973b9c0
0xfffffff00973b9b8: abf2fe90  adrp	x11, #0xfffffff00758f000
0xfffffff00973b9bc: 6b391f91  add	x11, x11, #0x7ce
0xfffffff00973b9c0: f4af04a9  stp	x20, x11, [sp, #0x48]
0xfffffff00973b9c4: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff00973b9c8: faa302a9  stp	x26, x8, [sp, #0x28]
0xfffffff00973b9cc: f7e301a9  stp	x23, x24, [sp, #0x18]
0xfffffff00973b9d0: c8f2fef0  adrp	x8, #0xfffffff007596000
0xfffffff00973b9d4: 08253a91  add	x8, x8, #0xe89
0xfffffff00973b9d8: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff00973b9dc: c0f2fef0  adrp	x0, #0xfffffff007596000
0xfffffff00973b9e0: 00443991  add	x0, x0, #0xe51
0xfffffff00973b9e4: f50300f9  str	x21, [sp]
0xfffffff00973b9e8: 8e6db097  bl	#0xfffffff008357020
0xfffffff00973b9ec: 687641b9  ldr	w8, [x19, #0x174]
0xfffffff00973b9f0: 1f01146b  cmp	w8, w20
0xfffffff00973b9f4: 01010054  b.ne	#0xfffffff00973ba14
0xfffffff00973b9f8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00973b9fc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00973ba00: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00973ba04: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00973ba08: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00973ba0c: ffc30291  add	sp, sp, #0xb0
0xfffffff00973ba10: ff0f5fd6  retab	
0xfffffff00973ba14: 747601b9  str	w20, [x19, #0x174]
0xfffffff00973ba18: e203142a  mov	w2, w20
0xfffffff00973ba1c: 700240f9  ldr	x16, [x19]
0xfffffff00973ba20: f10313aa  mov	x17, x19
0xfffffff00973ba24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00973ba28: 301ac1da  autda	x16, x17
0xfffffff00973ba2c: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00973ba30: e90310aa  mov	x9, x16
0xfffffff00973ba34: c1f2fef0  adrp	x1, #0xfffffff007596000
0xfffffff00973ba38: 21543a91  add	x1, x1, #0xe95
0xfffffff00973ba3c: e00313aa  mov	x0, x19
0xfffffff00973ba40: 03048052  mov	w3, #0x20
0xfffffff00973ba44: f10309aa  mov	x17, x9
0xfffffff00973ba48: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff00973ba4c: 11093fd7  blraa	x8, x17
0xfffffff00973ba50: 687681b9  ldrsw	x8, [x19, #0x174]
0xfffffff00973ba54: 1f090071  cmp	w8, #2
0xfffffff00973ba58: a8000054  b.hi	#0xfffffff00973ba6c
