; Candidate 7105
; ADRP+ADD at VM 0xfffffff008857d80 (fileoff 0x1853d80): page=0x1fe992000 add_imm=0xe80

0xfffffff008857d00: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008857d04: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008857d08: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008857d0c: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008857d10: ff430391  add	sp, sp, #0xd0
0xfffffff008857d14: ff0f5fd6  retab	
0xfffffff008857d18: 25710194  bl	#0xfffffff0088b41ac
0xfffffff008857d1c: f60300aa  mov	x22, x0
0xfffffff008857d20: a0008052  mov	w0, #5
0xfffffff008857d24: cb8e0094  bl	#0xfffffff00887b850
0xfffffff008857d28: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008857d2c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008857d30: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008857d34: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008857d38: 8c2640b9  ldr	w12, [x20, #0x24]
0xfffffff008857d3c: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008857d40: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff008857d44: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008857d48: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008857d4c: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008857d50: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008857d54: 28198152  mov	w8, #0x8c9
0xfffffff008857d58: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff008857d5c: 29e93291  add	x9, x9, #0xcba
0xfffffff008857d60: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008857d64: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff008857d68: 08811191  add	x8, x8, #0x460
0xfffffff008857d6c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008857d70: 880c8052  mov	w8, #0x64
0xfffffff008857d74: e34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff008857d78: 63140791  add	x3, x3, #0x1c5
0xfffffff008857d7c: f62300a9  stp	x22, x8, [sp]
0xfffffff008857d80: 804cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008857d84: 00003a91  add	x0, x0, #0xe80
0xfffffff008857d88: 818dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008857d8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008857d90: 02008052  mov	w2, #0
0xfffffff008857d94: e76ceb97  bl	#0xfffffff008333130
0xfffffff008857d98: 9fffff17  b	#0xfffffff008857c14
0xfffffff008857d9c: 800c8052  mov	w0, #0x64
0xfffffff008857da0: 81008052  mov	w1, #4
0xfffffff008857da4: 8b8e0094  bl	#0xfffffff00887b7d0
0xfffffff008857da8: 40070034  cbz	w0, #0xfffffff008857e90
0xfffffff008857dac: 800c8052  mov	w0, #0x64
0xfffffff008857db0: 9a8e0094  bl	#0xfffffff00887b818
0xfffffff008857db4: f80300aa  mov	x24, x0
0xfffffff008857db8: fd700194  bl	#0xfffffff0088b41ac
0xfffffff008857dbc: f70300aa  mov	x23, x0
0xfffffff008857dc0: 80008052  mov	w0, #4
0xfffffff008857dc4: a38e0094  bl	#0xfffffff00887b850
0xfffffff008857dc8: b8020034  cbz	w24, #0xfffffff008857e1c
0xfffffff008857dcc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008857dd0: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008857dd4: 2a5b40b9  ldr	w10, [x25, #0x58]
0xfffffff008857dd8: f55b06a9  stp	x21, x22, [sp, #0x60]
0xfffffff008857ddc: f92b05a9  stp	x25, x10, [sp, #0x50]
0xfffffff008857de0: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff008857de4: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008857de8: 881b8152  mov	w8, #0x8dc
0xfffffff008857dec: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff008857df0: 29e93291  add	x9, x9, #0xcba
0xfffffff008857df4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008857df8: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff008857dfc: 08811191  add	x8, x8, #0x460
