; Candidate 14755
; ADRP+ADD at VM 0xfffffff0098eea9c (fileoff 0x28eaa9c): page=0x1fdcef000 add_imm=0xdb6

0xfffffff0098eea1c: 01008052  mov	w1, #0
0xfffffff0098eea20: f10309aa  mov	x17, x9
0xfffffff0098eea24: d1dae7f2  movk	x17, #0x3ed6, lsl #48
0xfffffff0098eea28: 11093fd7  blraa	x8, x17
0xfffffff0098eea2c: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff0098eea30: 001d00f9  str	x0, [x8, #0x38]
0xfffffff0098eea34: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098eea38: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098eea3c: ff2303d5  autibsp	
0xfffffff0098eea40: 00008052  mov	w0, #0
0xfffffff0098eea44: c0035fd6  ret	
0xfffffff0098eea48: 5f2403d5  bti	c
0xfffffff0098eea4c: 2ad7a717  b	#0xfffffff0082e46f4
0xfffffff0098eea50: 7f2303d5  pacibsp	
0xfffffff0098eea54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0098eea58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0098eea5c: fd430091  add	x29, sp, #0x10
0xfffffff0098eea60: 205500f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098eea64: 00602e91  add	x0, x0, #0xb98
0xfffffff0098eea68: 81e7fe90  adrp	x1, #0xfffffff0075de000
0xfffffff0098eea6c: 21780891  add	x1, x1, #0x21e
0xfffffff0098eea70: 021cfff0  adrp	x2, #0xfffffff007c71000
0xfffffff0098eea74: 425842f9  ldr	x2, [x2, #0x4b0]
0xfffffff0098eea78: 03218052  mov	w3, #0x108
0xfffffff0098eea7c: 2fd4a797  bl	#0xfffffff0082e3b38
0xfffffff0098eea80: 501cff90  adrp	x16, #0xfffffff007c76000
0xfffffff0098eea84: 10820491  add	x16, x16, #0x120
0xfffffff0098eea88: 10420091  add	x16, x16, #0x10
0xfffffff0098eea8c: f10300aa  mov	x17, x0
0xfffffff0098eea90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098eea94: 300ac1da  pacda	x16, x17
0xfffffff0098eea98: 100000f9  str	x16, [x0]
0xfffffff0098eea9c: 60e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098eeaa0: 00d83691  add	x0, x0, #0xdb6
0xfffffff0098eeaa4: e5e9a897  bl	#0xfffffff008329238
0xfffffff0098eeaa8: 53550090  adrp	x19, #0xfffffff00a396000
0xfffffff0098eeaac: 73420591  add	x19, x19, #0x150
0xfffffff0098eeab0: 600200f9  str	x0, [x19]
0xfffffff0098eeab4: 60e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098eeab8: 00403791  add	x0, x0, #0xdd0
0xfffffff0098eeabc: dfe9a897  bl	#0xfffffff008329238
0xfffffff0098eeac0: 600600f9  str	x0, [x19, #8]
0xfffffff0098eeac4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098eeac8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098eeacc: ff0f5fd6  retab	
0xfffffff0098eead0: 5f2403d5  bti	c
0xfffffff0098eead4: 205500f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098eead8: 00602e91  add	x0, x0, #0xb98
0xfffffff0098eeadc: 06d7a717  b	#0xfffffff0082e46f4
0xfffffff0098eeae0: 7f2303d5  pacibsp	
0xfffffff0098eeae4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098eeae8: fd030091  mov	x29, sp
0xfffffff0098eeaec: 61e7fef0  adrp	x1, #0xfffffff0075dd000
0xfffffff0098eeaf0: 21283a91  add	x1, x1, #0xe8a
0xfffffff0098eeaf4: 021cfff0  adrp	x2, #0xfffffff007c71000
0xfffffff0098eeaf8: 425842f9  ldr	x2, [x2, #0x4b0]
0xfffffff0098eeafc: 03198052  mov	w3, #0xc8
0xfffffff0098eeb00: 0ed4a797  bl	#0xfffffff0082e3b38
0xfffffff0098eeb04: 501cff90  adrp	x16, #0xfffffff007c76000
0xfffffff0098eeb08: 10022591  add	x16, x16, #0x940
0xfffffff0098eeb0c: 10420091  add	x16, x16, #0x10
0xfffffff0098eeb10: f10300aa  mov	x17, x0
0xfffffff0098eeb14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098eeb18: 300ac1da  pacda	x16, x17
