; Candidate 2480
; ADRP+ADD at VM 0xfffffff00869edec (fileoff 0x169adec): page=0x1fea87000 add_imm=0xd12

0xfffffff00869ed6c: 7ffe0ea9  stp	xzr, xzr, [x19, #0xe8]
0xfffffff00869ed70: 7ffa00b9  str	wzr, [x19, #0xf8]
0xfffffff00869ed74: 7f8a00f9  str	xzr, [x19, #0x110]
0xfffffff00869ed78: 20008052  mov	w0, #1
0xfffffff00869ed7c: 60e200b9  str	w0, [x19, #0xe0]
0xfffffff00869ed80: 33000014  b	#0xfffffff00869ee4c
0xfffffff00869ed84: 4054fff0  adrp	x0, #0xfffffff007129000
0xfffffff00869ed88: 00440f91  add	x0, x0, #0x3d1
0xfffffff00869ed8c: a5e0f297  bl	#0xfffffff008357020
0xfffffff00869ed90: 2e000014  b	#0xfffffff00869ee48
0xfffffff00869ed94: 100340f9  ldr	x16, [x24]
0xfffffff00869ed98: f10318aa  mov	x17, x24
0xfffffff00869ed9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869eda0: 301ac1da  autda	x16, x17
0xfffffff00869eda4: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff00869eda8: e90310aa  mov	x9, x16
0xfffffff00869edac: e00318aa  mov	x0, x24
0xfffffff00869edb0: f10309aa  mov	x17, x9
0xfffffff00869edb4: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff00869edb8: 11093fd7  blraa	x8, x17
0xfffffff00869edbc: e00300f9  str	x0, [sp]
0xfffffff00869edc0: 2054fff0  adrp	x0, #0xfffffff007125000
0xfffffff00869edc4: 00c83191  add	x0, x0, #0xc72
0xfffffff00869edc8: 96e0f297  bl	#0xfffffff008357020
0xfffffff00869edcc: 15000014  b	#0xfffffff00869ee20
0xfffffff00869edd0: 2854fff0  adrp	x8, #0xfffffff007125000
0xfffffff00869edd4: 08e93391  add	x8, x8, #0xcfa
0xfffffff00869edd8: e80300f9  str	x8, [sp]
0xfffffff00869eddc: 2054fff0  adrp	x0, #0xfffffff007125000
0xfffffff00869ede0: 00183391  add	x0, x0, #0xcc6
0xfffffff00869ede4: 04000014  b	#0xfffffff00869edf4
0xfffffff00869ede8: f90300f9  str	x25, [sp]
0xfffffff00869edec: 2054fff0  adrp	x0, #0xfffffff007125000
0xfffffff00869edf0: 00483491  add	x0, x0, #0xd12
0xfffffff00869edf4: 8be0f297  bl	#0xfffffff008357020
0xfffffff00869edf8: f00240f9  ldr	x16, [x23]
0xfffffff00869edfc: f10317aa  mov	x17, x23
0xfffffff00869ee00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869ee04: 301ac1da  autda	x16, x17
0xfffffff00869ee08: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00869ee0c: e90310aa  mov	x9, x16
0xfffffff00869ee10: e00317aa  mov	x0, x23
0xfffffff00869ee14: f10309aa  mov	x17, x9
0xfffffff00869ee18: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00869ee1c: 11093fd7  blraa	x8, x17
0xfffffff00869ee20: 100340f9  ldr	x16, [x24]
0xfffffff00869ee24: f10318aa  mov	x17, x24
0xfffffff00869ee28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869ee2c: 301ac1da  autda	x16, x17
0xfffffff00869ee30: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00869ee34: e90310aa  mov	x9, x16
0xfffffff00869ee38: e00318aa  mov	x0, x24
0xfffffff00869ee3c: f10309aa  mov	x17, x9
0xfffffff00869ee40: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00869ee44: 11093fd7  blraa	x8, x17
0xfffffff00869ee48: 00008052  mov	w0, #0
0xfffffff00869ee4c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00869ee50: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00869ee54: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00869ee58: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00869ee5c: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00869ee60: ff830191  add	sp, sp, #0x60
0xfffffff00869ee64: ff0f5fd6  retab	
0xfffffff00869ee68: 4054fff0  adrp	x0, #0xfffffff007129000
