; Candidate 7038
; ADRP+ADD at VM 0xfffffff00885263c (fileoff 0x184e63c): page=0x1fe997000 add_imm=0xe80

0xfffffff0088525bc: 035b40b9  ldr	w3, [x24, #0x58]
0xfffffff0088525c0: 80108052  mov	w0, #0x84
0xfffffff0088525c4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0088525c8: 61018052  mov	w1, #0xb
0xfffffff0088525cc: 04008012  mov	w4, #-1
0xfffffff0088525d0: 050080d2  mov	x5, #0
0xfffffff0088525d4: 4caee497  bl	#0xfffffff00817df04
0xfffffff0088525d8: cdfeff17  b	#0xfffffff00885210c
0xfffffff0088525dc: f4860194  bl	#0xfffffff0088b41ac
0xfffffff0088525e0: f70300aa  mov	x23, x0
0xfffffff0088525e4: 80008052  mov	w0, #4
0xfffffff0088525e8: 9aa40094  bl	#0xfffffff00887b850
0xfffffff0088525ec: e80316aa  mov	x8, x22
0xfffffff0088525f0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088525f4: e83300f9  str	x8, [sp, #0x60]
0xfffffff0088525f8: 68018052  mov	w8, #0xb
0xfffffff0088525fc: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff008852600: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008852604: e84dffd0  adrp	x8, #0xfffffff007210000
0xfffffff008852608: 08b92791  add	x8, x8, #0x9ee
0xfffffff00885260c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008852610: 08768052  mov	w8, #0x3b0
0xfffffff008852614: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff008852618: 29fd1891  add	x9, x9, #0x63f
0xfffffff00885261c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008852620: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff008852624: 08811191  add	x8, x8, #0x460
0xfffffff008852628: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885262c: e80d8052  mov	w8, #0x6f
0xfffffff008852630: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff008852634: 63640991  add	x3, x3, #0x259
0xfffffff008852638: f72300a9  stp	x23, x8, [sp]
0xfffffff00885263c: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008852640: 00003a91  add	x0, x0, #0xe80
0xfffffff008852644: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008852648: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885264c: 02008052  mov	w2, #0
0xfffffff008852650: b882eb97  bl	#0xfffffff008333130
0xfffffff008852654: a9feff17  b	#0xfffffff0088520f8
0xfffffff008852658: 7f2303d5  pacibsp	
0xfffffff00885265c: ff4304d1  sub	sp, sp, #0x110
0xfffffff008852660: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff008852664: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff008852668: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff00885266c: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff008852670: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff008852674: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff008852678: fd030491  add	x29, sp, #0x100
0xfffffff00885267c: f70304aa  mov	x23, x4
0xfffffff008852680: f60303aa  mov	x22, x3
0xfffffff008852684: f50302aa  mov	x21, x2
0xfffffff008852688: f40301aa  mov	x20, x1
0xfffffff00885268c: f30300aa  mov	x19, x0
0xfffffff008852690: bf7f39a9  stp	xzr, xzr, [x29, #-0x70]
0xfffffff008852694: bf8318f8  stur	xzr, [x29, #-0x78]
0xfffffff008852698: e00d8052  mov	w0, #0x6f
0xfffffff00885269c: 01018052  mov	w1, #8
0xfffffff0088526a0: 4ca40094  bl	#0xfffffff00887b7d0
0xfffffff0088526a4: 00030034  cbz	w0, #0xfffffff008852704
0xfffffff0088526a8: e00d8052  mov	w0, #0x6f
0xfffffff0088526ac: 5ba40094  bl	#0xfffffff00887b818
0xfffffff0088526b0: f90300aa  mov	x25, x0
0xfffffff0088526b4: be860194  bl	#0xfffffff0088b41ac
0xfffffff0088526b8: f80300aa  mov	x24, x0
