; Candidate 14434
; ADRP+ADD at VM 0xfffffff0097876f8 (fileoff 0x27836f8): page=0x1fde06000 add_imm=0xd31

0xfffffff009787678: 481040f9  ldr	x8, [x2, #0x20]
0xfffffff00978767c: 160140f9  ldr	x22, [x8]
0xfffffff009787680: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787684: 00600491  add	x0, x0, #0x118
0xfffffff009787688: b474ad97  bl	#0xfffffff0082e4958
0xfffffff00978768c: 807240f9  ldr	x0, [x20, #0xe0]
0xfffffff009787690: 400100b4  cbz	x0, #0xfffffff0097876b8
0xfffffff009787694: 100040f9  ldr	x16, [x0]
0xfffffff009787698: f10300aa  mov	x17, x0
0xfffffff00978769c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097876a0: 301ac1da  autda	x16, x17
0xfffffff0097876a4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097876a8: e90310aa  mov	x9, x16
0xfffffff0097876ac: f10309aa  mov	x17, x9
0xfffffff0097876b0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097876b4: 11093fd7  blraa	x8, x17
0xfffffff0097876b8: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff0097876bc: 00600491  add	x0, x0, #0x118
0xfffffff0097876c0: a674ad97  bl	#0xfffffff0082e4958
0xfffffff0097876c4: f70300aa  mov	x23, x0
0xfffffff0097876c8: 807240f9  ldr	x0, [x20, #0xe0]
0xfffffff0097876cc: 600100b4  cbz	x0, #0xfffffff0097876f8
0xfffffff0097876d0: 100040f9  ldr	x16, [x0]
0xfffffff0097876d4: f10300aa  mov	x17, x0
0xfffffff0097876d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097876dc: 301ac1da  autda	x16, x17
0xfffffff0097876e0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097876e4: e90310aa  mov	x9, x16
0xfffffff0097876e8: f10309aa  mov	x17, x9
0xfffffff0097876ec: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097876f0: 11093fd7  blraa	x8, x17
0xfffffff0097876f4: 03000014  b	#0xfffffff009787700
0xfffffff0097876f8: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0097876fc: 00c43491  add	x0, x0, #0xd31
0xfffffff009787700: 15588052  mov	w21, #0x2c0
0xfffffff009787704: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009787708: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff00978770c: 08a91791  add	x8, x8, #0x5ea
0xfffffff009787710: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009787714: f70300f9  str	x23, [sp]
0xfffffff009787718: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff00978771c: 00802191  add	x0, x0, #0x860
0xfffffff009787720: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787724: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009787728: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff00978772c: 63883691  add	x3, x3, #0xda2
0xfffffff009787730: 02008052  mov	w2, #0
0xfffffff009787734: 7faeae97  bl	#0xfffffff008333130
0xfffffff009787738: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff00978773c: c80b00b4  cbz	x8, #0xfffffff0097878b4
0xfffffff009787740: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff009787744: e80800b4  cbz	x8, #0xfffffff009787860
0xfffffff009787748: e00314aa  mov	x0, x20
0xfffffff00978774c: 42f5af97  bl	#0xfffffff008384c54
0xfffffff009787750: 80080037  tbnz	w0, #0, #0xfffffff009787860
0xfffffff009787754: 807640f9  ldr	x0, [x20, #0xe8]
0xfffffff009787758: 100040f9  ldr	x16, [x0]
0xfffffff00978775c: f10300aa  mov	x17, x0
0xfffffff009787760: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787764: 301ac1da  autda	x16, x17
0xfffffff009787768: 11b780d2  mov	x17, #0x5b8
0xfffffff00978776c: 1002118b  add	x16, x16, x17
0xfffffff009787770: 080240f9  ldr	x8, [x16]
0xfffffff009787774: e90310aa  mov	x9, x16
