; Candidate 3353
; ADRP+ADD at VM 0xfffffff0087368bc (fileoff 0x17328bc): page=0x1fe9fb000 add_imm=0xd90

0xfffffff00873683c: 68f20e11  add	w8, w19, #0x3bc
0xfffffff008736840: 1f011b6b  cmp	w8, w27
0xfffffff008736844: 480c0054  b.hi	#0xfffffff0087369cc
0xfffffff008736848: 480313ab  adds	x8, x26, x19
0xfffffff00873684c: ea379f1a  cset	w10, hs
0xfffffff008736850: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008736854: 2a010aca  eor	x10, x9, x10
0xfffffff008736858: 0a0c00b5  cbnz	x10, #0xfffffff0087369d8
0xfffffff00873685c: e90bf8b7  tbnz	x9, #0x3f, #0xfffffff0087369d8
0xfffffff008736860: 16a943b9  ldr	w22, [x8, #0x3a8]
0xfffffff008736864: 800e40f9  ldr	x0, [x20, #0x18]
0xfffffff008736868: e2a30091  add	x2, sp, #0x28
0xfffffff00873686c: e3830091  add	x3, sp, #0x20
0xfffffff008736870: e10315aa  mov	x1, x21
0xfffffff008736874: a0fe0194  bl	#0xfffffff0087b62f4
0xfffffff008736878: a0080034  cbz	w0, #0xfffffff00873698c
0xfffffff00873687c: 00cb400d  ld1r	{v0.2s}, [x24]
0xfffffff008736880: 20a300fc  stur	d0, [x25, #0xa]
0xfffffff008736884: 3f2301b8  stur	wzr, [x25, #0x12]
0xfffffff008736888: bf0200f1  cmp	x21, #0
0xfffffff00873688c: e8018052  mov	w8, #0xf
0xfffffff008736890: 08019f1a  csel	w8, w8, wzr, eq
0xfffffff008736894: 28831f78  sturh	w8, [x25, #-8]
0xfffffff008736898: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00873689c: 170940f9  ldr	x23, [x8, #0x10]
0xfffffff0087368a0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff0087368a4: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087368a8: c90100b4  cbz	x9, #0xfffffff0087368e0
0xfffffff0087368ac: a9eb8052  mov	w9, #0x75d
0xfffffff0087368b0: c850ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0087368b4: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087368b8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087368bc: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087368c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087368c4: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087368c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087368cc: 02008052  mov	w2, #0
0xfffffff0087368d0: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff0087368d4: 63580c91  add	x3, x3, #0x316
0xfffffff0087368d8: 16f2ef97  bl	#0xfffffff008333130
0xfffffff0087368dc: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff0087368e0: e94228ab  adds	x9, x23, w8, uxtw
0xfffffff0087368e4: 42050054  b.hs	#0xfffffff00873698c
0xfffffff0087368e8: 29a560d3  ubfx	x9, x9, #0x20, #0xa
0xfffffff0087368ec: 29030079  strh	w9, [x25]
0xfffffff0087368f0: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff0087368f4: 370940f9  ldr	x23, [x9, #0x10]
0xfffffff0087368f8: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087368fc: 690000b5  cbnz	x9, #0xfffffff008736908
0xfffffff008736900: 087d4092  and	x8, x8, #0xffffffff
0xfffffff008736904: 0e000014  b	#0xfffffff00873693c
0xfffffff008736908: c9eb8052  mov	w9, #0x75e
0xfffffff00873690c: c850ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff008736910: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008736914: e82700a9  stp	x8, x9, [sp]
0xfffffff008736918: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873691c: 00403691  add	x0, x0, #0xd90
0xfffffff008736920: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008736924: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008736928: 02008052  mov	w2, #0
0xfffffff00873692c: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff008736930: 63280d91  add	x3, x3, #0x34a
0xfffffff008736934: fff1ef97  bl	#0xfffffff008333130
0xfffffff008736938: e82340b9  ldr	w8, [sp, #0x20]
