; Candidate 8689
; ADRP+ADD at VM 0xfffffff0088be02c (fileoff 0x18ba02c): page=0x1fe92b000 add_imm=0xe80

0xfffffff0088bdfac: 00050034  cbz	w0, #0xfffffff0088be04c
0xfffffff0088bdfb0: c0088052  mov	w0, #0x46
0xfffffff0088bdfb4: 19f6fe97  bl	#0xfffffff00887b818
0xfffffff0088bdfb8: f80300aa  mov	x24, x0
0xfffffff0088bdfbc: 7cd8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bdfc0: f60300aa  mov	x22, x0
0xfffffff0088bdfc4: e0008052  mov	w0, #7
0xfffffff0088bdfc8: 22f6fe97  bl	#0xfffffff00887b850
0xfffffff0088bdfcc: f8010034  cbz	w24, #0xfffffff0088be008
0xfffffff0088bdfd0: a8a64129  ldp	w8, w9, [x21, #0xc]
0xfffffff0088bdfd4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088bdfd8: c8088052  mov	w8, #0x46
0xfffffff0088bdfdc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088bdfe0: f60300f9  str	x22, [sp]
0xfffffff0088bdfe4: c04bffb0  adrp	x0, #0xfffffff007236000
0xfffffff0088bdfe8: 00700891  add	x0, x0, #0x21c
0xfffffff0088bdfec: 1de5d397  bl	#0xfffffff007db7460
0xfffffff0088bdff0: 17000014  b	#0xfffffff0088be04c
0xfffffff0088bdff4: a89e61b9  ldr	w8, [x21, #0x219c]
0xfffffff0088bdff8: 68fcff34  cbz	w8, #0xfffffff0088bdf84
0xfffffff0088bdffc: 16008052  mov	w22, #0
0xfffffff0088be000: b30b00b5  cbnz	x19, #0xfffffff0088be174
0xfffffff0088be004: 66000014  b	#0xfffffff0088be19c
0xfffffff0088be008: 69d8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be00c: f60300aa  mov	x22, x0
0xfffffff0088be010: e0008052  mov	w0, #7
0xfffffff0088be014: 0ff6fe97  bl	#0xfffffff00887b850
0xfffffff0088be018: a8a64129  ldp	w8, w9, [x21, #0xc]
0xfffffff0088be01c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088be020: c8088052  mov	w8, #0x46
0xfffffff0088be024: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088be028: f60300f9  str	x22, [sp]
0xfffffff0088be02c: 4049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088be030: 00003a91  add	x0, x0, #0xe80
0xfffffff0088be034: 418affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088be038: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088be03c: 434dff90  adrp	x3, #0xfffffff007266000
0xfffffff0088be040: 636c0591  add	x3, x3, #0x15b
0xfffffff0088be044: 02008052  mov	w2, #0
0xfffffff0088be048: 3ad4e997  bl	#0xfffffff008333130
0xfffffff0088be04c: e00315aa  mov	x0, x21
0xfffffff0088be050: e10313aa  mov	x1, x19
0xfffffff0088be054: e20317aa  mov	x2, x23
0xfffffff0088be058: 2ffeff97  bl	#0xfffffff0088bd914
0xfffffff0088be05c: f60300aa  mov	x22, x0
0xfffffff0088be060: 60050035  cbnz	w0, #0xfffffff0088be10c
0xfffffff0088be064: c0088052  mov	w0, #0x46
0xfffffff0088be068: e1008052  mov	w1, #7
0xfffffff0088be06c: d9f5fe97  bl	#0xfffffff00887b7d0
0xfffffff0088be070: 60040034  cbz	w0, #0xfffffff0088be0fc
0xfffffff0088be074: c0088052  mov	w0, #0x46
0xfffffff0088be078: e8f5fe97  bl	#0xfffffff00887b818
0xfffffff0088be07c: f70300aa  mov	x23, x0
0xfffffff0088be080: 4bd8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be084: f60300aa  mov	x22, x0
0xfffffff0088be088: e0008052  mov	w0, #7
0xfffffff0088be08c: f1f5fe97  bl	#0xfffffff00887b850
0xfffffff0088be090: 57010034  cbz	w23, #0xfffffff0088be0b8
0xfffffff0088be094: a8264429  ldp	w8, w9, [x21, #0x20]
0xfffffff0088be098: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088be09c: c8088052  mov	w8, #0x46
0xfffffff0088be0a0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088be0a4: f60300f9  str	x22, [sp]
0xfffffff0088be0a8: c04bff90  adrp	x0, #0xfffffff007236000
