; Candidate 4067
; ADRP+ADD at VM 0xfffffff00878f6ec (fileoff 0x178b6ec): page=0x1fe9a2000 add_imm=0xd90

0xfffffff00878f66c: 09f900b9  str	w9, [x8, #0xf8]
0xfffffff00878f670: 53000014  b	#0xfffffff00878f7bc
0xfffffff00878f674: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f678: 88ea8552  mov	w8, #0x2f54
0xfffffff00878f67c: 6202088b  add	x2, x19, x8
0xfffffff00878f680: 100040f9  ldr	x16, [x0]
0xfffffff00878f684: f10300aa  mov	x17, x0
0xfffffff00878f688: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f68c: 301ac1da  autda	x16, x17
0xfffffff00878f690: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00878f694: e90310aa  mov	x9, x16
0xfffffff00878f698: 21048052  mov	w1, #0x21
0xfffffff00878f69c: f10309aa  mov	x17, x9
0xfffffff00878f6a0: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff00878f6a4: 11093fd7  blraa	x8, x17
0xfffffff00878f6a8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f6ac: 08eb8552  mov	w8, #0x2f58
0xfffffff00878f6b0: 6202088b  add	x2, x19, x8
0xfffffff00878f6b4: 100040f9  ldr	x16, [x0]
0xfffffff00878f6b8: f10300aa  mov	x17, x0
0xfffffff00878f6bc: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f6c0: 301ac1da  autda	x16, x17
0xfffffff00878f6c4: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00878f6c8: e90310aa  mov	x9, x16
0xfffffff00878f6cc: 41048052  mov	w1, #0x22
0xfffffff00878f6d0: f10309aa  mov	x17, x9
0xfffffff00878f6d4: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff00878f6d8: 11093fd7  blraa	x8, x17
0xfffffff00878f6dc: 883640b9  ldr	w8, [x20, #0x34]
0xfffffff00878f6e0: 494efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00878f6e4: 29d12591  add	x9, x9, #0x974
0xfffffff00878f6e8: e92300a9  stp	x9, x8, [sp]
0xfffffff00878f6ec: 004dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00878f6f0: 00403691  add	x0, x0, #0xd90
0xfffffff00878f6f4: 6193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878f6f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878f6fc: a34dfff0  adrp	x3, #0xfffffff007146000
0xfffffff00878f700: 63680991  add	x3, x3, #0x25a
0xfffffff00878f704: 02008052  mov	w2, #0
0xfffffff00878f708: 8a8eee97  bl	#0xfffffff008333130
0xfffffff00878f70c: 813640b9  ldr	w1, [x20, #0x34]
0xfffffff00878f710: e00313aa  mov	x0, x19
0xfffffff00878f714: d9feff97  bl	#0xfffffff00878f278
0xfffffff00878f718: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f71c: 08f98552  mov	w8, #0x2fc8
0xfffffff00878f720: 6202088b  add	x2, x19, x8
0xfffffff00878f724: 100040f9  ldr	x16, [x0]
0xfffffff00878f728: f10300aa  mov	x17, x0
0xfffffff00878f72c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f730: 301ac1da  autda	x16, x17
0xfffffff00878f734: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00878f738: e90310aa  mov	x9, x16
0xfffffff00878f73c: 81048052  mov	w1, #0x24
0xfffffff00878f740: f10309aa  mov	x17, x9
0xfffffff00878f744: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff00878f748: 11093fd7  blraa	x8, x17
0xfffffff00878f74c: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f750: 88fc8552  mov	w8, #0x2fe4
0xfffffff00878f754: 6202088b  add	x2, x19, x8
0xfffffff00878f758: 100040f9  ldr	x16, [x0]
0xfffffff00878f75c: f10300aa  mov	x17, x0
0xfffffff00878f760: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f764: 301ac1da  autda	x16, x17
0xfffffff00878f768: 080e46f8  ldr	x8, [x16, #0x60]!
