; Candidate 9749
; ADRP+ADD at VM 0xfffffff008afe020 (fileoff 0x1afa020): page=0x1fe7ea000 add_imm=0xdbc

0xfffffff008afdfa0: 48000034  cbz	w8, #0xfffffff008afdfa8
0xfffffff008afdfa4: eadce217  b	#0xfffffff0083b534c
0xfffffff008afdfa8: c0035fd6  ret	
0xfffffff008afdfac: 7f2303d5  pacibsp	
0xfffffff008afdfb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008afdfb4: fd030091  mov	x29, sp
0xfffffff008afdfb8: 08a04039  ldrb	w8, [x0, #0x28]
0xfffffff008afdfbc: 68000034  cbz	w8, #0xfffffff008afdfc8
0xfffffff008afdfc0: 002440f9  ldr	x0, [x0, #0x48]
0xfffffff008afdfc4: 0ac8ff97  bl	#0xfffffff008aeffec
0xfffffff008afdfc8: 00008052  mov	w0, #0
0xfffffff008afdfcc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008afdfd0: ff0f5fd6  retab	
0xfffffff008afdfd4: 5f2403d5  bti	c
0xfffffff008afdfd8: c799df17  b	#0xfffffff0082e46f4
0xfffffff008afdfdc: 5f2403d5  bti	c
0xfffffff008afdfe0: c599df17  b	#0xfffffff0082e46f4
0xfffffff008afdfe4: 7f2303d5  pacibsp	
0xfffffff008afdfe8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008afdfec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008afdff0: fd830091  add	x29, sp, #0x20
0xfffffff008afdff4: a8068052  mov	w8, #0x35
0xfffffff008afdff8: 693fff90  adrp	x9, #0xfffffff0072e9000
0xfffffff008afdffc: 29550091  add	x9, x9, #0x15
0xfffffff008afe000: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008afe004: e00300f9  str	x0, [sp]
0xfffffff008afe008: 403ffff0  adrp	x0, #0xfffffff0072e9000
0xfffffff008afe00c: 00240091  add	x0, x0, #9
0xfffffff008afe010: 3f59e697  bl	#0xfffffff00849450c
0xfffffff008afe014: 7f2303d5  pacibsp	
0xfffffff008afe018: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008afe01c: fd030091  mov	x29, sp
0xfffffff008afe020: 403fffd0  adrp	x0, #0xfffffff0072e8000
0xfffffff008afe024: 00f03691  add	x0, x0, #0xdbc
0xfffffff008afe028: 84ace097  bl	#0xfffffff008329238
0xfffffff008afe02c: 08bf00f0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008afe030: 004d06f9  str	x0, [x8, #0xc98]
0xfffffff008afe034: 403fffd0  adrp	x0, #0xfffffff0072e8000
0xfffffff008afe038: 008c3791  add	x0, x0, #0xde3
0xfffffff008afe03c: 7face097  bl	#0xfffffff008329238
0xfffffff008afe040: 08bf00f0  adrp	x8, #0xfffffff00a2e1000
0xfffffff008afe044: 005106f9  str	x0, [x8, #0xca0]
0xfffffff008afe048: 00bf00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008afe04c: 00402c91  add	x0, x0, #0xb10
0xfffffff008afe050: 413ffff0  adrp	x1, #0xfffffff0072e9000
0xfffffff008afe054: 21941791  add	x1, x1, #0x5e5
0xfffffff008afe058: 027cff90  adrp	x2, #0xfffffff007a7e000
0xfffffff008afe05c: 42b045f9  ldr	x2, [x2, #0xb60]
0xfffffff008afe060: 03a18052  mov	w3, #0x508
0xfffffff008afe064: b596df97  bl	#0xfffffff0082e3b38
0xfffffff008afe068: 107cffb0  adrp	x16, #0xfffffff007a7f000
0xfffffff008afe06c: 10223e91  add	x16, x16, #0xf88
0xfffffff008afe070: 10420091  add	x16, x16, #0x10
0xfffffff008afe074: f10300aa  mov	x17, x0
0xfffffff008afe078: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008afe07c: 300ac1da  pacda	x16, x17
0xfffffff008afe080: 100000f9  str	x16, [x0]
0xfffffff008afe084: 00bf00f0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008afe088: 00e02c91  add	x0, x0, #0xb38
0xfffffff008afe08c: 613fff90  adrp	x1, #0xfffffff0072ea000
0xfffffff008afe090: 219c2f91  add	x1, x1, #0xbe7
0xfffffff008afe094: 027cff90  adrp	x2, #0xfffffff007a7e000
0xfffffff008afe098: 428445f9  ldr	x2, [x2, #0xb08]
0xfffffff008afe09c: 030a8052  mov	w3, #0x50
