; Candidate 841
; ADRP+ADD at VM 0xfffffff0080dbe44 (fileoff 0x10d7e44): page=0x1fef9c000 add_imm=0xdb3

0xfffffff0080dbdc4: 00030054  b.eq	#0xfffffff0080dbe24
0xfffffff0080dbdc8: ff7a0071  cmp	w23, #0x1e
0xfffffff0080dbdcc: c1070054  b.ne	#0xfffffff0080dbec4
0xfffffff0080dbdd0: 280b01d0  adrp	x8, #0xfffffff00a241000
0xfffffff0080dbdd4: 08c12691  add	x8, x8, #0x9b0
0xfffffff0080dbdd8: 15000014  b	#0xfffffff0080dbe2c
0xfffffff0080dbddc: 8804c0d2  mov	x8, #0x2400000000
0xfffffff0080dbde0: a802088b  add	x8, x21, x8
0xfffffff0080dbde4: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff0080dbde8: 880000b5  cbnz	x8, #0xfffffff0080dbdf8
0xfffffff0080dbdec: 88c4fff0  adrp	x8, #0xfffffff00796e000
0xfffffff0080dbdf0: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff0080dbdf4: 1501158b  add	x21, x8, x21
0xfffffff0080dbdf8: f5e700a9  stp	x21, x25, [sp, #8]
0xfffffff0080dbdfc: c87cfff0  adrp	x8, #0xfffffff007076000
0xfffffff0080dbe00: 08d53c91  add	x8, x8, #0xf35
0xfffffff0080dbe04: e80300f9  str	x8, [sp]
0xfffffff0080dbe08: 8079ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff0080dbe0c: 00000091  add	x0, x0, #0
0xfffffff0080dbe10: 037fffd0  adrp	x3, #0xfffffff0070bd000
0xfffffff0080dbe14: 634c3491  add	x3, x3, #0xd13
0xfffffff0080dbe18: 02028052  mov	w2, #0x10
0xfffffff0080dbe1c: c55c0994  bl	#0xfffffff008333130
0xfffffff0080dbe20: 1affff17  b	#0xfffffff0080dba88
0xfffffff0080dbe24: 280b01d0  adrp	x8, #0xfffffff00a241000
0xfffffff0080dbe28: 08a12091  add	x8, x8, #0x828
0xfffffff0080dbe2c: c90240f9  ldr	x9, [x22]
0xfffffff0080dbe30: 280d00f9  str	x8, [x9, #0x18]
0xfffffff0080dbe34: e00314aa  mov	x0, x20
0xfffffff0080dbe38: 558f0394  bl	#0xfffffff0081bfb8c
0xfffffff0080dbe3c: 19008052  mov	w25, #0
0xfffffff0080dbe40: c5ffff17  b	#0xfffffff0080dbd54
0xfffffff0080dbe44: e07cff90  adrp	x0, #0xfffffff007077000
0xfffffff0080dbe48: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080dbe4c: e17cff90  adrp	x1, #0xfffffff007077000
0xfffffff0080dbe50: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080dbe54: e2088052  mov	w2, #0x47
0xfffffff0080dbe58: 6f0e0f94  bl	#0xfffffff00849f814
0xfffffff0080dbe5c: e00319aa  mov	x0, x25
0xfffffff0080dbe60: e1031aaa  mov	x1, x26
0xfffffff0080dbe64: 02008052  mov	w2, #0
0xfffffff0080dbe68: 243ff397  bl	#0xfffffff007dabaf8
0xfffffff0080dbe6c: b3fdff17  b	#0xfffffff0080db538
0xfffffff0080dbe70: e00319aa  mov	x0, x25
0xfffffff0080dbe74: e1031aaa  mov	x1, x26
0xfffffff0080dbe78: 3b42f397  bl	#0xfffffff007dac764
0xfffffff0080dbe7c: d7fdff17  b	#0xfffffff0080db5d8
0xfffffff0080dbe80: c07cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080dbe84: 00002291  add	x0, x0, #0x880
0xfffffff0080dbe88: c17cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080dbe8c: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dbe90: c29d8052  mov	w2, #0x4ee
0xfffffff0080dbe94: 600e0f94  bl	#0xfffffff00849f814
0xfffffff0080dbe98: 01000014  b	#0xfffffff0080dbe9c
0xfffffff0080dbe9c: 48a78052  mov	w8, #0x53a
0xfffffff0080dbea0: c97cfff0  adrp	x9, #0xfffffff007076000
0xfffffff0080dbea4: 29052391  add	x9, x9, #0x8c1
0xfffffff0080dbea8: ea7cff90  adrp	x10, #0xfffffff007077000
0xfffffff0080dbeac: 4a3d0291  add	x10, x10, #0x8f
0xfffffff0080dbeb0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080dbeb4: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0080dbeb8: e07cff90  adrp	x0, #0xfffffff007077000
0xfffffff0080dbebc: 00a80191  add	x0, x0, #0x6a
0xfffffff0080dbec0: 93e10e94  bl	#0xfffffff00849450c
