; Candidate 14686
; ADRP+ADD at VM 0xfffffff009877a98 (fileoff 0x2873a98): page=0xb1c000 add_imm=0xe88

0xfffffff009877a18: 200200b4  cbz	x0, #0xfffffff009877a5c
0xfffffff009877a1c: f30300aa  mov	x19, x0
0xfffffff009877a20: e10314aa  mov	x1, x20
0xfffffff009877a24: 15faff97  bl	#0xfffffff009876278
0xfffffff009877a28: f40300aa  mov	x20, x0
0xfffffff009877a2c: 700240f9  ldr	x16, [x19]
0xfffffff009877a30: f10313aa  mov	x17, x19
0xfffffff009877a34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009877a38: 301ac1da  autda	x16, x17
0xfffffff009877a3c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009877a40: e90310aa  mov	x9, x16
0xfffffff009877a44: e00313aa  mov	x0, x19
0xfffffff009877a48: f10309aa  mov	x17, x9
0xfffffff009877a4c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009877a50: 11093fd7  blraa	x8, x17
0xfffffff009877a54: e00314aa  mov	x0, x20
0xfffffff009877a58: 03000014  b	#0xfffffff009877a64
0xfffffff009877a5c: 40588052  mov	w0, #0x2c2
0xfffffff009877a60: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009877a64: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009877a68: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009877a6c: ff0f5fd6  retab	
0xfffffff009877a70: 5f2403d5  bti	c
0xfffffff009877a74: 20b3a917  b	#0xfffffff0082e46f4
0xfffffff009877a78: 5f2403d5  bti	c
0xfffffff009877a7c: 1eb3a917  b	#0xfffffff0082e46f4
0xfffffff009877a80: 5f2403d5  bti	c
0xfffffff009877a84: 1cb3a917  b	#0xfffffff0082e46f4
0xfffffff009877a88: 7f2303d5  pacibsp	
0xfffffff009877a8c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009877a90: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009877a94: fd430091  add	x29, sp, #0x10
0xfffffff009877a98: e0580090  adrp	x0, #0xfffffff00a393000
0xfffffff009877a9c: 00203a91  add	x0, x0, #0xe88
0xfffffff009877aa0: 81eafef0  adrp	x1, #0xfffffff0075ca000
0xfffffff009877aa4: 21241291  add	x1, x1, #0x489
0xfffffff009877aa8: f3580090  adrp	x19, #0xfffffff00a393000
0xfffffff009877aac: 73423391  add	x19, x19, #0xcd0
0xfffffff009877ab0: e20313aa  mov	x2, x19
0xfffffff009877ab4: 030b8052  mov	w3, #0x58
0xfffffff009877ab8: 20b0a997  bl	#0xfffffff0082e3b38
0xfffffff009877abc: 501fffb0  adrp	x16, #0xfffffff007c60000
0xfffffff009877ac0: 10c21f91  add	x16, x16, #0x7f0
0xfffffff009877ac4: 10420091  add	x16, x16, #0x10
0xfffffff009877ac8: f10300aa  mov	x17, x0
0xfffffff009877acc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009877ad0: 300ac1da  pacda	x16, x17
0xfffffff009877ad4: 100000f9  str	x16, [x0]
0xfffffff009877ad8: e0580090  adrp	x0, #0xfffffff00a393000
0xfffffff009877adc: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009877ae0: 81eafef0  adrp	x1, #0xfffffff0075ca000
0xfffffff009877ae4: 21301391  add	x1, x1, #0x4cc
0xfffffff009877ae8: e20313aa  mov	x2, x19
0xfffffff009877aec: 030e8052  mov	w3, #0x70
0xfffffff009877af0: 12b0a997  bl	#0xfffffff0082e3b38
0xfffffff009877af4: 501fffb0  adrp	x16, #0xfffffff007c60000
0xfffffff009877af8: 10e22491  add	x16, x16, #0x938
0xfffffff009877afc: 10420091  add	x16, x16, #0x10
0xfffffff009877b00: f10300aa  mov	x17, x0
0xfffffff009877b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009877b08: 300ac1da  pacda	x16, x17
0xfffffff009877b0c: 100000f9  str	x16, [x0]
0xfffffff009877b10: e0580090  adrp	x0, #0xfffffff00a393000
0xfffffff009877b14: 00603b91  add	x0, x0, #0xed8
