; Candidate 7209
; ADRP+ADD at VM 0xfffffff00885f5c4 (fileoff 0x185b5c4): page=0x1fe9c8000 add_imm=0xebe

0xfffffff00885f544: 28008052  mov	w8, #1
0xfffffff00885f548: 28000014  b	#0xfffffff00885f5e8
0xfffffff00885f54c: 800c8052  mov	w0, #0x64
0xfffffff00885f550: 01018052  mov	w1, #8
0xfffffff00885f554: 9f700094  bl	#0xfffffff00887b7d0
0xfffffff00885f558: c0130034  cbz	w0, #0xfffffff00885f7d0
0xfffffff00885f55c: 800c8052  mov	w0, #0x64
0xfffffff00885f560: ae700094  bl	#0xfffffff00887b818
0xfffffff00885f564: f90300aa  mov	x25, x0
0xfffffff00885f568: 11530194  bl	#0xfffffff0088b41ac
0xfffffff00885f56c: e06300f9  str	x0, [sp, #0xc0]
0xfffffff00885f570: 00018052  mov	w0, #8
0xfffffff00885f574: b7700094  bl	#0xfffffff00887b850
0xfffffff00885f578: f90e0034  cbz	w25, #0xfffffff00885f754
0xfffffff00885f57c: ac0357f8  ldur	x12, [x29, #-0x90]
0xfffffff00885f580: 88c540b9  ldr	w8, [x12, #0xc4]
0xfffffff00885f584: 494340b9  ldr	w9, [x26, #0x40]
0xfffffff00885f588: aa8354f8  ldur	x10, [x29, #-0xb8]
0xfffffff00885f58c: 4a0d41b9  ldr	w10, [x10, #0x10c]
0xfffffff00885f590: 8ba943b9  ldr	w11, [x12, #0x3a8]
0xfffffff00885f594: fcaf05a9  stp	x28, x11, [sp, #0x58]
0xfffffff00885f598: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00885f59c: eca303a9  stp	x12, x8, [sp, #0x38]
0xfffffff00885f5a0: 685a8052  mov	w8, #0x2d3
0xfffffff00885f5a4: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885f5a8: 29792491  add	x9, x9, #0x91e
0xfffffff00885f5ac: e8eb02a9  stp	x8, x26, [sp, #0x28]
0xfffffff00885f5b0: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885f5b4: 08811191  add	x8, x8, #0x460
0xfffffff00885f5b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885f5bc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885f5c0: 890c8052  mov	w9, #0x64
0xfffffff00885f5c4: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885f5c8: 00f83a91  add	x0, x0, #0xebe
0xfffffff00885f5cc: e86340f9  ldr	x8, [sp, #0xc0]
0xfffffff00885f5d0: e82700a9  stp	x8, x9, [sp]
0xfffffff00885f5d4: a35fd597  bl	#0xfffffff007db7460
0xfffffff00885f5d8: 7e000014  b	#0xfffffff00885f7d0
0xfffffff00885f5dc: 08410291  add	x8, x8, #0x90
0xfffffff00885f5e0: 19008052  mov	w25, #0
0xfffffff00885f5e4: 080140b9  ldr	w8, [x8]
0xfffffff00885f5e8: 088300b9  str	w8, [x24, #0x80]
0xfffffff00885f5ec: 9f2403d5  bti	j
0xfffffff00885f5f0: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00885f5f4: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff00885f5f8: 7a0000b4  cbz	x26, #0xfffffff00885f604
0xfffffff00885f5fc: 449741a9  ldp	x4, x5, [x26, #0x18]
0xfffffff00885f600: 03000014  b	#0xfffffff00885f60c
0xfffffff00885f604: 040080d2  mov	x4, #0
0xfffffff00885f608: 050080d2  mov	x5, #0
0xfffffff00885f60c: ab8356f8  ldur	x11, [x29, #-0x98]
0xfffffff00885f610: b80315f8  stur	x24, [x29, #-0xb0]
0xfffffff00885f614: aa0000b4  cbz	x10, #0xfffffff00885f628
0xfffffff00885f618: 48c540b9  ldr	w8, [x10, #0xc4]
0xfffffff00885f61c: 89668b52  mov	w9, #0x5b34
0xfffffff00885f620: 496969b8  ldr	w9, [x10, x9]
0xfffffff00885f624: 03000014  b	#0xfffffff00885f630
0xfffffff00885f628: 08008012  mov	w8, #-1
0xfffffff00885f62c: 09008012  mov	w9, #-1
0xfffffff00885f630: fc030aaa  mov	x28, x10
0xfffffff00885f634: 4a4340b9  ldr	w10, [x26, #0x40]
0xfffffff00885f638: ab8316f8  stur	x11, [x29, #-0x98]
0xfffffff00885f63c: 6b0540b9  ldr	w11, [x11, #4]
0xfffffff00885f640: eb270229  stp	w11, w9, [sp, #0x10]
