; Candidate 11019
; ADRP+ADD at VM 0xfffffff008df1338 (fileoff 0x1ded338): page=0x1fe5d3000 add_imm=0xe15

0xfffffff008df12b8: 48018052  mov	w8, #0xa
0xfffffff008df12bc: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df12c0: 1f01096b  cmp	w8, w9
0xfffffff008df12c4: 83010054  b.lo	#0xfffffff008df12f4
0xfffffff008df12c8: e80313aa  mov	x8, x19
0xfffffff008df12cc: 087d4093  sxtw	x8, w8
0xfffffff008df12d0: a92eff90  adrp	x9, #0xfffffff0073c5000
0xfffffff008df12d4: 299d0391  add	x9, x9, #0xe7
0xfffffff008df12d8: 8a2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008df12dc: 4ac93491  add	x10, x10, #0xd32
0xfffffff008df12e0: ea2700a9  stp	x10, x9, [sp]
0xfffffff008df12e4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df12e8: 802efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008df12ec: 00503591  add	x0, x0, #0xd54
0xfffffff008df12f0: 4c97d597  bl	#0xfffffff008357020
0xfffffff008df12f4: e00313aa  mov	x0, x19
0xfffffff008df12f8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008df12fc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008df1300: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008df1304: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008df1308: ff030291  add	sp, sp, #0x80
0xfffffff008df130c: ff0f5fd6  retab	
0xfffffff008df1310: 48298052  mov	w8, #0x14a
0xfffffff008df1314: 892efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008df1318: 29593991  add	x9, x9, #0xe56
0xfffffff008df131c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008df1320: 882efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008df1324: 08493991  add	x8, x8, #0xe52
0xfffffff008df1328: aa2eff90  adrp	x10, #0xfffffff0073c5000
0xfffffff008df132c: 4af50391  add	x10, x10, #0xfd
0xfffffff008df1330: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008df1334: ea0300f9  str	x10, [sp]
0xfffffff008df1338: 802efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008df133c: 00543891  add	x0, x0, #0xe15
0xfffffff008df1340: 3897d597  bl	#0xfffffff008357020
0xfffffff008df1344: c8088052  mov	w8, #0x46
0xfffffff008df1348: 53008012  mov	w19, #-3
0xfffffff008df134c: dcffff17  b	#0xfffffff008df12bc
0xfffffff008df1350: 687e4093  sxtw	x8, w19
0xfffffff008df1354: 092a8052  mov	w9, #0x150
0xfffffff008df1358: 8a2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008df135c: 4a593991  add	x10, x10, #0xe56
0xfffffff008df1360: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008df1364: 892efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008df1368: 29493991  add	x9, x9, #0xe52
0xfffffff008df136c: 8b2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008df1370: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df1374: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008df1378: eb0300f9  str	x11, [sp]
0xfffffff008df137c: 802efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008df1380: 00543891  add	x0, x0, #0xe15
0xfffffff008df1384: 2797d597  bl	#0xfffffff008357020
0xfffffff008df1388: c8088052  mov	w8, #0x46
0xfffffff008df138c: ccffff17  b	#0xfffffff008df12bc
0xfffffff008df1390: 7f2303d5  pacibsp	
0xfffffff008df1394: ffc301d1  sub	sp, sp, #0x70
0xfffffff008df1398: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008df139c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008df13a0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008df13a4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008df13a8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008df13ac: fd830191  add	x29, sp, #0x60
0xfffffff008df13b0: f30304aa  mov	x19, x4
0xfffffff008df13b4: f40303aa  mov	x20, x3
