; Candidate 2964
; ADRP+ADD at VM 0xfffffff0086f8ce0 (fileoff 0x16f4ce0): page=0x1fea39000 add_imm=0xd90

0xfffffff0086f8c60: 08210051  sub	w8, w8, #8
0xfffffff0086f8c64: 28210429  stp	w8, w8, [x9, #0x20]
0xfffffff0086f8c68: 88d259f9  ldr	x8, [x20, #0x33a0]
0xfffffff0086f8c6c: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff0086f8c70: 280500b9  str	w8, [x9, #4]
0xfffffff0086f8c74: 288c47b9  ldr	w8, [x1, #0x78c]
0xfffffff0086f8c78: 1f010071  cmp	w8, #0
0xfffffff0086f8c7c: e8179f1a  cset	w8, eq
0xfffffff0086f8c80: 28a10139  strb	w8, [x9, #0x68]
0xfffffff0086f8c84: 28444239  ldrb	w8, [x1, #0x91]
0xfffffff0086f8c88: 1f010071  cmp	w8, #0
0xfffffff0086f8c8c: e8079f1a  cset	w8, ne
0xfffffff0086f8c90: 28a50139  strb	w8, [x9, #0x69]
0xfffffff0086f8c94: 1d000014  b	#0xfffffff0086f8d08
0xfffffff0086f8c98: e80318aa  mov	x8, x24
0xfffffff0086f8c9c: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f8ca0: d552ffb0  adrp	x21, #0xfffffff007151000
0xfffffff0086f8ca4: b54a1591  add	x21, x21, #0x552
0xfffffff0086f8ca8: f50300f9  str	x21, [sp]
0xfffffff0086f8cac: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8cb0: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8cb4: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8cb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8cbc: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f8cc0: 63203391  add	x3, x3, #0xcc8
0xfffffff0086f8cc4: 02008052  mov	w2, #0
0xfffffff0086f8cc8: 1ae9f097  bl	#0xfffffff008333130
0xfffffff0086f8ccc: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f8cd0: 28c043f9  ldr	x8, [x1, #0x780]
0xfffffff0086f8cd4: 880100b4  cbz	x8, #0xfffffff0086f8d04
0xfffffff0086f8cd8: 084947b9  ldr	w8, [x8, #0x748]
0xfffffff0086f8cdc: f52300a9  stp	x21, x8, [sp]
0xfffffff0086f8ce0: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8ce4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8ce8: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8cec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8cf0: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f8cf4: 63343491  add	x3, x3, #0xd0d
0xfffffff0086f8cf8: 02008052  mov	w2, #0
0xfffffff0086f8cfc: 0de9f097  bl	#0xfffffff008333130
0xfffffff0086f8d00: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f8d04: f56f40b9  ldr	w21, [sp, #0x6c]
0xfffffff0086f8d08: 88d259f9  ldr	x8, [x20, #0x33a0]
0xfffffff0086f8d0c: 170100f9  str	x23, [x8]
0xfffffff0086f8d10: 80da59f9  ldr	x0, [x20, #0x33b0]
0xfffffff0086f8d14: 88aa4df9  ldr	x8, [x20, #0x1b50]
0xfffffff0086f8d18: 890675b9  ldr	w9, [x20, #0x3504]
0xfffffff0086f8d1c: 13268052  mov	w19, #0x130
0xfffffff0086f8d20: 2221139b  madd	x2, x9, x19, x8
0xfffffff0086f8d24: a86b0094  bl	#0xfffffff008713bc4
0xfffffff0086f8d28: 88865af9  ldr	x8, [x20, #0x3508]
0xfffffff0086f8d2c: 89aa4df9  ldr	x9, [x20, #0x1b50]
0xfffffff0086f8d30: ec4340f9  ldr	x12, [sp, #0x80]
0xfffffff0086f8d34: 8a7d139b  mul	x10, x12, x19
0xfffffff0086f8d38: 29010a8b  add	x9, x9, x10
0xfffffff0086f8d3c: 280500f9  str	x8, [x9, #8]
0xfffffff0086f8d40: 888e5af9  ldr	x8, [x20, #0x3518]
0xfffffff0086f8d44: 280900f9  str	x8, [x9, #0x10]
0xfffffff0086f8d48: 08118052  mov	w8, #0x88
0xfffffff0086f8d4c: 8851089b  madd	x8, x12, x8, x20
0xfffffff0086f8d50: 001dc33d  ldr	q0, [x8, #0xc70]
0xfffffff0086f8d54: 2081813c  stur	q0, [x9, #0x18]
0xfffffff0086f8d58: 0025c33d  ldr	q0, [x8, #0xc90]
0xfffffff0086f8d5c: 0129c33d  ldr	q1, [x8, #0xca0]
