; Candidate 639
; ADRP+ADD at VM 0xfffffff007fc9a1c (fileoff 0xfc5a1c): page=0x1ff09d000 add_imm=0xd1a

0xfffffff007fc999c: ea2f00a9  stp	x10, x11, [sp]
0xfffffff007fc99a0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff007fc99a4: 0082fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc99a8: 00000091  add	x0, x0, #0
0xfffffff007fc99ac: 811201b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc99b0: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc99b4: 2387ffb0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fc99b8: 630c2991  add	x3, x3, #0xa43
0xfffffff007fc99bc: 02028052  mov	w2, #0x10
0xfffffff007fc99c0: dca50d94  bl	#0xfffffff008333130
0xfffffff007fc99c4: 00008052  mov	w0, #0
0xfffffff007fc99c8: 0e000014  b	#0xfffffff007fc9a00
0xfffffff007fc99cc: 080080d2  mov	x8, #0
0xfffffff007fc99d0: 09008012  mov	w9, #-1
0xfffffff007fc99d4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff007fc99d8: e00300f9  str	x0, [sp]
0xfffffff007fc99dc: 0082fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc99e0: 00000091  add	x0, x0, #0
0xfffffff007fc99e4: 811201b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc99e8: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc99ec: 2387ffb0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fc99f0: 63782891  add	x3, x3, #0xa1e
0xfffffff007fc99f4: 02028052  mov	w2, #0x10
0xfffffff007fc99f8: cea50d94  bl	#0xfffffff008333130
0xfffffff007fc99fc: 00008052  mov	w0, #0
0xfffffff007fc9a00: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007fc9a04: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007fc9a08: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007fc9a0c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007fc9a10: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007fc9a14: ffc30191  add	sp, sp, #0x70
0xfffffff007fc9a18: ff0f5fd6  retab	
0xfffffff007fc9a1c: e084ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fc9a20: 00683491  add	x0, x0, #0xd1a
0xfffffff007fc9a24: e184ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc9a28: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc9a2c: 62568152  mov	w2, #0xab3
0xfffffff007fc9a30: 79571394  bl	#0xfffffff00849f814
0xfffffff007fc9a34: 7f2303d5  pacibsp	
0xfffffff007fc9a38: ff0302d1  sub	sp, sp, #0x80
0xfffffff007fc9a3c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff007fc9a40: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff007fc9a44: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff007fc9a48: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff007fc9a4c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff007fc9a50: fdc30191  add	x29, sp, #0x70
0xfffffff007fc9a54: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff007fc9a58: e00d00b4  cbz	x0, #0xfffffff007fc9c14
0xfffffff007fc9a5c: f30300aa  mov	x19, x0
0xfffffff007fc9a60: 170840f9  ldr	x23, [x0, #0x10]
0xfffffff007fc9a64: 970d00b4  cbz	x23, #0xfffffff007fc9c14
0xfffffff007fc9a68: f4a20191  add	x20, x23, #0x68
0xfffffff007fc9a6c: e00314aa  mov	x0, x20
0xfffffff007fc9a70: 2690f797  bl	#0xfffffff007dadb08
0xfffffff007fc9a74: f51e41b9  ldr	w21, [x23, #0x11c]
0xfffffff007fc9a78: e00314aa  mov	x0, x20
0xfffffff007fc9a7c: eb92f797  bl	#0xfffffff007dae628
0xfffffff007fc9a80: 1f040071  cmp	w0, #1
0xfffffff007fc9a84: 41190054  b.ne	#0xfffffff007fc9dac
0xfffffff007fc9a88: 75040034  cbz	w21, #0xfffffff007fc9b14
0xfffffff007fc9a8c: 080080d2  mov	x8, #0
0xfffffff007fc9a90: f3820291  add	x19, x23, #0xa0
0xfffffff007fc9a94: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007fc9a98: 891a44b9  ldr	w9, [x20, #0x418]
