; Candidate 16571
; ADRP+ADD at VM 0xfffffff009eeda94 (fileoff 0x2ee9a94): page=0x1fd967000 add_imm=0xe2e

0xfffffff009eeda14: 282700f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eeda18: 08212a91  add	x8, x8, #0xa88
0xfffffff009eeda1c: 08013bf8  ldadd	x27, x8, [x8]
0xfffffff009eeda20: e00317aa  mov	x0, x23
0xfffffff009eeda24: e1031aaa  mov	x1, x26
0xfffffff009eeda28: 02238052  mov	w2, #0x118
0xfffffff009eeda2c: efa49197  bl	#0xfffffff008356de8
0xfffffff009eeda30: e00314aa  mov	x0, x20
0xfffffff009eeda34: e10319aa  mov	x1, x25
0xfffffff009eeda38: bff5ff97  bl	#0xfffffff009eeb134
0xfffffff009eeda3c: f81740f9  ldr	x24, [sp, #0x28]
0xfffffff009eeda40: e00314aa  mov	x0, x20
0xfffffff009eeda44: e10315aa  mov	x1, x21
0xfffffff009eeda48: e20318aa  mov	x2, x24
0xfffffff009eeda4c: 41f5ff97  bl	#0xfffffff009eeaf50
0xfffffff009eeda50: c00900b4  cbz	x0, #0xfffffff009eedb88
0xfffffff009eeda54: f90300aa  mov	x25, x0
0xfffffff009eeda58: e00313aa  mov	x0, x19
0xfffffff009eeda5c: 21008052  mov	w1, #1
0xfffffff009eeda60: e20319aa  mov	x2, x25
0xfffffff009eeda64: 4efd0094  bl	#0xfffffff009f2cf9c
0xfffffff009eeda68: e0010034  cbz	w0, #0xfffffff009eedaa4
0xfffffff009eeda6c: e10319aa  mov	x1, x25
0xfffffff009eeda70: 1af80094  bl	#0xfffffff009f2bad8
0xfffffff009eeda74: 9c070071  subs	w28, w28, #1
0xfffffff009eeda78: 01f9ff54  b.ne	#0xfffffff009eed998
0xfffffff009eeda7c: a88d8f52  mov	w8, #0x7c6d
0xfffffff009eeda80: e9cafeb0  adrp	x9, #0xfffffff00784a000
0xfffffff009eeda84: 29b11c91  add	x9, x9, #0x72c
0xfffffff009eeda88: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009eeda8c: 48018052  mov	w8, #0xa
0xfffffff009eeda90: f52300a9  stp	x21, x8, [sp]
0xfffffff009eeda94: 20cbfef0  adrp	x0, #0xfffffff007854000
0xfffffff009eeda98: 00b83891  add	x0, x0, #0xe2e
0xfffffff009eeda9c: 9c9a9697  bl	#0xfffffff00849450c
0xfffffff009eedaa0: f90300aa  mov	x25, x0
0xfffffff009eedaa4: 18008052  mov	w24, #0
0xfffffff009eedaa8: d90200f9  str	x25, [x22]
0xfffffff009eedaac: 3a000014  b	#0xfffffff009eedb94
0xfffffff009eedab0: f80300aa  mov	x24, x0
0xfffffff009eedab4: 880640f9  ldr	x8, [x20, #8]
0xfffffff009eedab8: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009eedabc: 28cbfef0  adrp	x8, #0xfffffff007854000
0xfffffff009eedac0: 08f93991  add	x8, x8, #0xe7e
0xfffffff009eedac4: a9928f52  mov	w9, #0x7c95
0xfffffff009eedac8: e82700a9  stp	x8, x9, [sp]
0xfffffff009eedacc: 20cbfef0  adrp	x0, #0xfffffff007854000
0xfffffff009eedad0: 00683991  add	x0, x0, #0xe5a
0xfffffff009eedad4: 5b47fe97  bl	#0xfffffff009e7f840
0xfffffff009eedad8: 2f000014  b	#0xfffffff009eedb94
0xfffffff009eedadc: f80300aa  mov	x24, x0
0xfffffff009eedae0: 8a0640f9  ldr	x10, [x20, #8]
0xfffffff009eedae4: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff009eedae8: 28cbfef0  adrp	x8, #0xfffffff007854000
0xfffffff009eedaec: 08f93991  add	x8, x8, #0xe7e
0xfffffff009eedaf0: a9938f52  mov	w9, #0x7c9d
0xfffffff009eedaf4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009eedaf8: e80300f9  str	x8, [sp]
0xfffffff009eedafc: 20cbfef0  adrp	x0, #0xfffffff007854000
0xfffffff009eedb00: 00603a91  add	x0, x0, #0xe98
0xfffffff009eedb04: 4f47fe97  bl	#0xfffffff009e7f840
0xfffffff009eedb08: f91f40f9  ldr	x25, [sp, #0x38]
0xfffffff009eedb0c: 16000014  b	#0xfffffff009eedb64
0xfffffff009eedb10: f80300aa  mov	x24, x0
