; Candidate 4411
; ADRP+ADD at VM 0xfffffff0087afc0c (fileoff 0x17abc0c): page=0x1fe982000 add_imm=0xd90

0xfffffff0087afb8c: e10310aa  mov	x1, x16
0xfffffff0087afb90: f00308aa  mov	x16, x8
0xfffffff0087afb94: e00313aa  mov	x0, x19
0xfffffff0087afb98: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087afb9c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087afba0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087afba4: ff030191  add	sp, sp, #0x40
0xfffffff0087afba8: ff2303d5  autibsp	
0xfffffff0087afbac: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0087afbb0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0087afbb8
0xfffffff0087afbb4: 208e38d4  brk	#0xc471
0xfffffff0087afbb8: f10301aa  mov	x17, x1
0xfffffff0087afbbc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087afbc0: 110a1fd7  braa	x16, x17
0xfffffff0087afbc4: 7f2303d5  pacibsp	
0xfffffff0087afbc8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0087afbcc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0087afbd0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0087afbd4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0087afbd8: fd030191  add	x29, sp, #0x40
0xfffffff0087afbdc: f40302aa  mov	x20, x2
0xfffffff0087afbe0: f50301aa  mov	x21, x1
0xfffffff0087afbe4: f30300aa  mov	x19, x0
0xfffffff0087afbe8: 000040f9  ldr	x0, [x0]
0xfffffff0087afbec: b8efd797  bl	#0xfffffff007dabacc
0xfffffff0087afbf0: bf820071  cmp	w21, #0x20
0xfffffff0087afbf4: e3010054  b.lo	#0xfffffff0087afc30
0xfffffff0087afbf8: 08048052  mov	w8, #0x20
0xfffffff0087afbfc: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff0087afc00: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087afc04: 08992491  add	x8, x8, #0x926
0xfffffff0087afc08: e80300f9  str	x8, [sp]
0xfffffff0087afc0c: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087afc10: 00403691  add	x0, x0, #0xd90
0xfffffff0087afc14: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087afc18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087afc1c: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087afc20: 63fc1091  add	x3, x3, #0x43f
0xfffffff0087afc24: 02008052  mov	w2, #0
0xfffffff0087afc28: 420dee97  bl	#0xfffffff008333130
0xfffffff0087afc2c: 77000014  b	#0xfffffff0087afe08
0xfffffff0087afc30: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087afc34: 085975f8  ldr	x8, [x8, w21, uxtw #3]
0xfffffff0087afc38: 880200b4  cbz	x8, #0xfffffff0087afc88
0xfffffff0087afc3c: f503152a  mov	w21, w21
0xfffffff0087afc40: 96024039  ldrb	w22, [x20]
0xfffffff0087afc44: df160071  cmp	w22, #5
0xfffffff0087afc48: 83030054  b.lo	#0xfffffff0087afcb8
0xfffffff0087afc4c: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087afc50: 08712691  add	x8, x8, #0x99c
0xfffffff0087afc54: e85b00a9  stp	x8, x22, [sp]
0xfffffff0087afc58: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087afc5c: 00403691  add	x0, x0, #0xd90
0xfffffff0087afc60: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087afc64: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087afc68: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087afc6c: 637c1c91  add	x3, x3, #0x71f
0xfffffff0087afc70: 02008052  mov	w2, #0
0xfffffff0087afc74: 2f0dee97  bl	#0xfffffff008333130
0xfffffff0087afc78: 89024039  ldrb	w9, [x20]
0xfffffff0087afc7c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087afc80: 087975f8  ldr	x8, [x8, x21, lsl #3]
0xfffffff0087afc84: 0e000014  b	#0xfffffff0087afcbc
0xfffffff0087afc88: 684dffd0  adrp	x8, #0xfffffff00715d000
