; Candidate 2696
; ADRP+ADD at VM 0xfffffff0086e28bc (fileoff 0x16de8bc): page=0x1fea4f000 add_imm=0xd90

0xfffffff0086e283c: ffc30691  add	sp, sp, #0x1b0
0xfffffff0086e2840: ff0f5fd6  retab	
0xfffffff0086e2844: 68323091  add	x8, x19, #0xc0c
0xfffffff0086e2848: 0001c03d  ldr	q0, [x8]
0xfffffff0086e284c: a0ea823d  str	q0, [x21, #0xba0]
0xfffffff0086e2850: 7f320cb9  str	wzr, [x19, #0xc30]
0xfffffff0086e2854: 68364cb9  ldr	w8, [x19, #0xc34]
0xfffffff0086e2858: 890240f9  ldr	x9, [x20]
0xfffffff0086e285c: 2a1543b9  ldr	w10, [x9, #0x314]
0xfffffff0086e2860: 0a011a33  bfi	w10, w8, #6, #1
0xfffffff0086e2864: 2a1503b9  str	w10, [x9, #0x314]
0xfffffff0086e2868: 68364cb9  ldr	w8, [x19, #0xc34]
0xfffffff0086e286c: e8010034  cbz	w8, #0xfffffff0086e28a8
0xfffffff0086e2870: 00008052  mov	w0, #0
0xfffffff0086e2874: 68d23091  add	x8, x19, #0xc34
0xfffffff0086e2878: 0900b252  mov	w9, #-0x70000000
0xfffffff0086e287c: a9b20bb9  str	w9, [x21, #0xbb0]
0xfffffff0086e2880: 6a1e4cb9  ldr	w10, [x19, #0xc1c]
0xfffffff0086e2884: 49010933  bfi	w9, w10, #0x17, #1
0xfffffff0086e2888: a9b20bb9  str	w9, [x21, #0xbb0]
0xfffffff0086e288c: a9d22e91  add	x9, x21, #0xbb4
0xfffffff0086e2890: 600ac33d  ldr	q0, [x19, #0xc20]
0xfffffff0086e2894: 2001803d  str	q0, [x9]
0xfffffff0086e2898: 2954ffb0  adrp	x9, #0xfffffff007167000
0xfffffff0086e289c: 205141fd  ldr	d0, [x9, #0x2a0]
0xfffffff0086e28a0: 000100fd  str	d0, [x8]
0xfffffff0086e28a4: daffff17  b	#0xfffffff0086e280c
0xfffffff0086e28a8: 00008052  mov	w0, #0
0xfffffff0086e28ac: d8ffff17  b	#0xfffffff0086e280c
0xfffffff0086e28b0: 6853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086e28b4: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086e28b8: e80300f9  str	x8, [sp]
0xfffffff0086e28bc: 6052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e28c0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e28c4: c198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e28c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e28cc: 8352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e28d0: 63ec2191  add	x3, x3, #0x87b
0xfffffff0086e28d4: 02008052  mov	w2, #0
0xfffffff0086e28d8: 1642f197  bl	#0xfffffff008333130
0xfffffff0086e28dc: cbffff17  b	#0xfffffff0086e2808
0xfffffff0086e28e0: 08434179  ldrh	w8, [x24, #0xa0]
0xfffffff0086e28e4: 093b4179  ldrh	w9, [x24, #0x9c]
0xfffffff0086e28e8: 0801094b  sub	w8, w8, w9
0xfffffff0086e28ec: 01050011  add	w1, w8, #1
0xfffffff0086e28f0: 08518b52  mov	w8, #0x5a88
0xfffffff0086e28f4: c83e089b  madd	x8, x22, x8, x15
0xfffffff0086e28f8: 02354eb9  ldr	w2, [x8, #0xe34]
0xfffffff0086e28fc: 03394eb9  ldr	w3, [x8, #0xe38]
0xfffffff0086e2900: 89288b52  mov	w9, #0x5944
0xfffffff0086e2904: 046969b8  ldr	w4, [x8, x9]
0xfffffff0086e2908: e00313aa  mov	x0, x19
0xfffffff0086e290c: 15000094  bl	#0xfffffff0086e2960
0xfffffff0086e2910: c0f7ff35  cbnz	w0, #0xfffffff0086e2808
0xfffffff0086e2914: 682263b9  ldr	w8, [x19, #0x2320]
0xfffffff0086e2918: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0086e291c: 2ac941b9  ldr	w10, [x9, #0x1c8]
0xfffffff0086e2920: 087d0653  lsr	w8, w8, #6
0xfffffff0086e2924: 0a2d1a33  bfi	w10, w8, #6, #0xc
0xfffffff0086e2928: 2ac901b9  str	w10, [x9, #0x1c8]
0xfffffff0086e292c: 88648452  mov	w8, #0x2324
0xfffffff0086e2930: 6802088b  add	x8, x19, x8
0xfffffff0086e2934: 1fffff17  b	#0xfffffff0086e25b0
0xfffffff0086e2938: 6052fff0  adrp	x0, #0xfffffff007131000
