; Candidate 3873
; ADRP+ADD at VM 0xfffffff00876bc44 (fileoff 0x1767c44): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876bbc4: e3feff54  b.lo	#0xfffffff00876bba0
0xfffffff00876bbc8: e00314aa  mov	x0, x20
0xfffffff00876bbcc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00876bbd0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00876bbd4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00876bbd8: ff0f5fd6  retab	
0xfffffff00876bbdc: 7f2303d5  pacibsp	
0xfffffff00876bbe0: ff4301d1  sub	sp, sp, #0x50
0xfffffff00876bbe4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00876bbe8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00876bbec: fd030191  add	x29, sp, #0x40
0xfffffff00876bbf0: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff00876bbf4: 1f01016b  cmp	w8, w1
0xfffffff00876bbf8: 89030054  b.ls	#0xfffffff00876bc68
0xfffffff00876bbfc: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff00876bc00: 09038052  mov	w9, #0x18
0xfffffff00876bc04: 2820a99b  umaddl	x8, w1, w9, x8
0xfffffff00876bc08: 092140a9  ldp	x9, x8, [x8]
0xfffffff00876bc0c: 2001639e  ucvtf	d0, x9
0xfffffff00876bc10: 0101639e  ucvtf	d1, x8
0xfffffff00876bc14: 2a51ffb0  adrp	x10, #0xfffffff007190000
0xfffffff00876bc18: 429145fd  ldr	d2, [x10, #0xb20]
0xfffffff00876bc1c: 2108621e  fmul	d1, d1, d2
0xfffffff00876bc20: 2a51ffb0  adrp	x10, #0xfffffff007190000
0xfffffff00876bc24: 429545fd  ldr	d2, [x10, #0xb28]
0xfffffff00876bc28: 0004421f  fmadd	d0, d0, d2, d1
0xfffffff00876bc2c: 1300799e  fcvtzu	x19, d0
0xfffffff00876bc30: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00876bc34: 684ffff0  adrp	x8, #0xfffffff00715a000
0xfffffff00876bc38: 08690291  add	x8, x8, #0x9a
0xfffffff00876bc3c: e80700a9  stp	x8, x1, [sp]
0xfffffff00876bc40: f30b00f9  str	x19, [sp, #0x10]
0xfffffff00876bc44: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876bc48: 00403691  add	x0, x0, #0xd90
0xfffffff00876bc4c: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876bc50: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876bc54: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876bc58: 63201a91  add	x3, x3, #0x688
0xfffffff00876bc5c: 02008052  mov	w2, #0
0xfffffff00876bc60: 341def97  bl	#0xfffffff008333130
0xfffffff00876bc64: 0e000014  b	#0xfffffff00876bc9c
0xfffffff00876bc68: e1a300a9  stp	x1, x8, [sp, #8]
0xfffffff00876bc6c: 684ffff0  adrp	x8, #0xfffffff00715a000
0xfffffff00876bc70: 08690291  add	x8, x8, #0x9a
0xfffffff00876bc74: e80300f9  str	x8, [sp]
0xfffffff00876bc78: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876bc7c: 00403691  add	x0, x0, #0xd90
0xfffffff00876bc80: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876bc84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876bc88: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876bc8c: 63201991  add	x3, x3, #0x648
0xfffffff00876bc90: 02008052  mov	w2, #0
0xfffffff00876bc94: 271def97  bl	#0xfffffff008333130
0xfffffff00876bc98: 130080d2  mov	x19, #0
0xfffffff00876bc9c: e00313aa  mov	x0, x19
0xfffffff00876bca0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00876bca4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00876bca8: ff430191  add	sp, sp, #0x50
0xfffffff00876bcac: ff0f5fd6  retab	
0xfffffff00876bcb0: 7f2303d5  pacibsp	
0xfffffff00876bcb4: ffc301d1  sub	sp, sp, #0x70
0xfffffff00876bcb8: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00876bcbc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00876bcc0: f65704a9  stp	x22, x21, [sp, #0x40]
