; Candidate 9226
; ADRP+ADD at VM 0xfffffff008a0f930 (fileoff 0x1a0b930): page=0x1fe88a000 add_imm=0xe40

0xfffffff008a0f8b0: 40000054  b.eq	#0xfffffff008a0f8b8
0xfffffff008a0f8b4: 408e38d4  brk	#0xc472
0xfffffff008a0f8b8: 08022a91  add	x8, x16, #0xa80
0xfffffff008a0f8bc: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a0f8c0: e00313aa  mov	x0, x19
0xfffffff008a0f8c4: f10308aa  mov	x17, x8
0xfffffff008a0f8c8: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a0f8cc: 31093fd7  blraa	x9, x17
0xfffffff008a0f8d0: f60300aa  mov	x22, x0
0xfffffff008a0f8d4: 700240f9  ldr	x16, [x19]
0xfffffff008a0f8d8: f10313aa  mov	x17, x19
0xfffffff008a0f8dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0f8e0: 301ac1da  autda	x16, x17
0xfffffff008a0f8e4: f10310aa  mov	x17, x16
0xfffffff008a0f8e8: f147c1da  xpacd	x17
0xfffffff008a0f8ec: 1f0211eb  cmp	x16, x17
0xfffffff008a0f8f0: 40000054  b.eq	#0xfffffff008a0f8f8
0xfffffff008a0f8f4: 408e38d4  brk	#0xc472
0xfffffff008a0f8f8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a0f8fc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a0f900: e00313aa  mov	x0, x19
0xfffffff008a0f904: 010080d2  mov	x1, #0
0xfffffff008a0f908: f10308aa  mov	x17, x8
0xfffffff008a0f90c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a0f910: 31093fd7  blraa	x9, x17
0xfffffff008a0f914: f70314aa  mov	x23, x20
0xfffffff008a0f918: b80f8052  mov	w24, #0x7d
0xfffffff008a0f91c: 7944ff90  adrp	x25, #0xfffffff00729b000
0xfffffff008a0f920: 390f2091  add	x25, x25, #0x803
0xfffffff008a0f924: f8df01a9  stp	x24, x23, [sp, #0x18]
0xfffffff008a0f928: e0e700a9  stp	x0, x25, [sp, #8]
0xfffffff008a0f92c: f60300f9  str	x22, [sp]
0xfffffff008a0f930: 4044ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a0f934: 00003991  add	x0, x0, #0xe40
0xfffffff008a0f938: e181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0f93c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0f940: 8344ff90  adrp	x3, #0xfffffff00729f000
0xfffffff008a0f944: 63280f91  add	x3, x3, #0x3ca
0xfffffff008a0f948: 02028052  mov	w2, #0x10
0xfffffff008a0f94c: f98de497  bl	#0xfffffff008333130
0xfffffff008a0f950: 700240f9  ldr	x16, [x19]
0xfffffff008a0f954: f10313aa  mov	x17, x19
0xfffffff008a0f958: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0f95c: 301ac1da  autda	x16, x17
0xfffffff008a0f960: f10310aa  mov	x17, x16
0xfffffff008a0f964: f147c1da  xpacd	x17
0xfffffff008a0f968: 1f0211eb  cmp	x16, x17
0xfffffff008a0f96c: 40000054  b.eq	#0xfffffff008a0f974
0xfffffff008a0f970: 408e38d4  brk	#0xc472
0xfffffff008a0f974: 08022a91  add	x8, x16, #0xa80
0xfffffff008a0f978: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a0f97c: e00313aa  mov	x0, x19
0xfffffff008a0f980: f10308aa  mov	x17, x8
0xfffffff008a0f984: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a0f988: 31093fd7  blraa	x9, x17
0xfffffff008a0f98c: f60300aa  mov	x22, x0
0xfffffff008a0f990: 700240f9  ldr	x16, [x19]
0xfffffff008a0f994: f10313aa  mov	x17, x19
0xfffffff008a0f998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0f99c: 301ac1da  autda	x16, x17
0xfffffff008a0f9a0: f10310aa  mov	x17, x16
0xfffffff008a0f9a4: f147c1da  xpacd	x17
0xfffffff008a0f9a8: 1f0211eb  cmp	x16, x17
0xfffffff008a0f9ac: 40000054  b.eq	#0xfffffff008a0f9b4
