; Candidate 7474
; ADRP+ADD at VM 0xfffffff00886f4ec (fileoff 0x186b4ec): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886f46c: e00314aa  mov	x0, x20
0xfffffff00886f470: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00886f474: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00886f478: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00886f47c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00886f480: ff030291  add	sp, sp, #0x80
0xfffffff00886f484: ff0f5fd6  retab	
0xfffffff00886f488: 7f2303d5  pacibsp	
0xfffffff00886f48c: ff8301d1  sub	sp, sp, #0x60
0xfffffff00886f490: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00886f494: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00886f498: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00886f49c: fd430191  add	x29, sp, #0x50
0xfffffff00886f4a0: f30300aa  mov	x19, x0
0xfffffff00886f4a4: 600b8052  mov	w0, #0x5b
0xfffffff00886f4a8: 01018052  mov	w1, #8
0xfffffff00886f4ac: c9300094  bl	#0xfffffff00887b7d0
0xfffffff00886f4b0: a0040034  cbz	w0, #0xfffffff00886f544
0xfffffff00886f4b4: 600b8052  mov	w0, #0x5b
0xfffffff00886f4b8: d8300094  bl	#0xfffffff00887b818
0xfffffff00886f4bc: f50300aa  mov	x21, x0
0xfffffff00886f4c0: 3b130194  bl	#0xfffffff0088b41ac
0xfffffff00886f4c4: f40300aa  mov	x20, x0
0xfffffff00886f4c8: 00018052  mov	w0, #8
0xfffffff00886f4cc: e1300094  bl	#0xfffffff00887b850
0xfffffff00886f4d0: 75010034  cbz	w21, #0xfffffff00886f4fc
0xfffffff00886f4d4: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f4d8: 08f12091  add	x8, x8, #0x83c
0xfffffff00886f4dc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f4e0: 680b8052  mov	w8, #0x5b
0xfffffff00886f4e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f4e8: f40300f9  str	x20, [sp]
0xfffffff00886f4ec: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886f4f0: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886f4f4: db1fd597  bl	#0xfffffff007db7460
0xfffffff00886f4f8: 13000014  b	#0xfffffff00886f544
0xfffffff00886f4fc: 2c130194  bl	#0xfffffff0088b41ac
0xfffffff00886f500: f40300aa  mov	x20, x0
0xfffffff00886f504: 00018052  mov	w0, #8
0xfffffff00886f508: d2300094  bl	#0xfffffff00887b850
0xfffffff00886f50c: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f510: 08f12091  add	x8, x8, #0x83c
0xfffffff00886f514: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f518: 680b8052  mov	w8, #0x5b
0xfffffff00886f51c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f520: f40300f9  str	x20, [sp]
0xfffffff00886f524: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886f528: 00003a91  add	x0, x0, #0xe80
0xfffffff00886f52c: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886f530: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886f534: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886f538: 63882991  add	x3, x3, #0xa62
0xfffffff00886f53c: 02008052  mov	w2, #0
0xfffffff00886f540: fc0eeb97  bl	#0xfffffff008333130
0xfffffff00886f544: e00313aa  mov	x0, x19
0xfffffff00886f548: 01009052  mov	w1, #0x8000
0xfffffff00886f54c: e102a072  movk	w1, #0x17, lsl #16
0xfffffff00886f550: 02048052  mov	w2, #0x20
0xfffffff00886f554: c202a072  movk	w2, #0x16, lsl #16
0xfffffff00886f558: 23008052  mov	w3, #1
0xfffffff00886f55c: 41190094  bl	#0xfffffff008875a60
0xfffffff00886f560: f40300aa  mov	x20, x0
0xfffffff00886f564: 600b8052  mov	w0, #0x5b
0xfffffff00886f568: 01018052  mov	w1, #8
