; Candidate 10759
; ADRP+ADD at VM 0xfffffff008de5ad8 (fileoff 0x1de1ad8): page=0x1fe5df000 add_imm=0xd21

0xfffffff008de5a58: b1ffff17  b	#0xfffffff008de591c
0xfffffff008de5a5c: 7f2303d5  pacibsp	
0xfffffff008de5a60: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de5a64: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de5a68: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de5a6c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de5a70: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de5a74: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de5a78: fd430191  add	x29, sp, #0x50
0xfffffff008de5a7c: ff4300d1  sub	sp, sp, #0x10
0xfffffff008de5a80: f70307aa  mov	x23, x7
0xfffffff008de5a84: f90305aa  mov	x25, x5
0xfffffff008de5a88: f60304aa  mov	x22, x4
0xfffffff008de5a8c: f80303aa  mov	x24, x3
0xfffffff008de5a90: f50302aa  mov	x21, x2
0xfffffff008de5a94: f40301aa  mov	x20, x1
0xfffffff008de5a98: f30300aa  mov	x19, x0
0xfffffff008de5a9c: 4868fff0  adrp	x8, #0xfffffff007af0000
0xfffffff008de5aa0: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de5aa4: 080140f9  ldr	x8, [x8]
0xfffffff008de5aa8: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de5aac: a6431ab8  stur	w6, [x29, #-0x5c]
0xfffffff008de5ab0: dca800d0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de5ab4: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de5ab8: 88034039  ldrb	w8, [x28]
0xfffffff008de5abc: fa2effb0  adrp	x26, #0xfffffff0073c2000
0xfffffff008de5ac0: 5ae71591  add	x26, x26, #0x579
0xfffffff008de5ac4: fb2eff90  adrp	x27, #0xfffffff0073c1000
0xfffffff008de5ac8: 7b9f0c91  add	x27, x27, #0x327
0xfffffff008de5acc: 1f290071  cmp	w8, #0xa
0xfffffff008de5ad0: c8000054  b.hi	#0xfffffff008de5ae8
0xfffffff008de5ad4: fb6bbfa9  stp	x27, x26, [sp, #-0x10]!
0xfffffff008de5ad8: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5adc: 00843491  add	x0, x0, #0xd21
0xfffffff008de5ae0: 50c5d597  bl	#0xfffffff008357020
0xfffffff008de5ae4: ff430091  add	sp, sp, #0x10
0xfffffff008de5ae8: bf0200f1  cmp	x21, #0
0xfffffff008de5aec: e8079f1a  cset	w8, ne
0xfffffff008de5af0: 09070071  subs	w9, w24, #1
0xfffffff008de5af4: ea379f1a  cset	w10, hs
0xfffffff008de5af8: 3fc10171  cmp	w9, #0x70
0xfffffff008de5afc: e9279f1a  cset	w9, lo
0xfffffff008de5b00: 0901090a  and	w9, w8, w9
0xfffffff008de5b04: 08010a2a  orr	w8, w8, w10
0xfffffff008de5b08: 1f01096b  cmp	w8, w9
0xfffffff008de5b0c: e10f0054  b.ne	#0xfffffff008de5d08
0xfffffff008de5b10: f70a00b4  cbz	x23, #0xfffffff008de5c6c
0xfffffff008de5b14: a80b40f9  ldr	x8, [x29, #0x10]
0xfffffff008de5b18: 1f4100f1  cmp	x8, #0x10
0xfffffff008de5b1c: 810a0054  b.ne	#0xfffffff008de5c6c
0xfffffff008de5b20: b60b00b4  cbz	x22, #0xfffffff008de5c94
0xfffffff008de5b24: 3f4300f1  cmp	x25, #0x10
0xfffffff008de5b28: 610b0054  b.ne	#0xfffffff008de5c94
0xfffffff008de5b2c: fb031aaa  mov	x27, x26
0xfffffff008de5b30: fc030091  mov	x28, sp
0xfffffff008de5b34: fa03182a  mov	w26, w24
0xfffffff008de5b38: 58930091  add	x24, x26, #0x24
0xfffffff008de5b3c: e90318aa  mov	x9, x24
0xfffffff008de5b40: 5068fff0  adrp	x16, #0xfffffff007af0000
0xfffffff008de5b44: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de5b48: 1f0a3fd6  blraaz	x16
0xfffffff008de5b4c: e8030091  mov	x8, sp
0xfffffff008de5b50: 49cf0091  add	x9, x26, #0x33
0xfffffff008de5b54: 29717c92  and	x9, x9, #0x1fffffff0
