; Candidate 4265
; ADRP+ADD at VM 0xfffffff00879abac (fileoff 0x1796bac): page=0x1fe997000 add_imm=0xd90

0xfffffff00879ab2c: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff00879ab30: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff00879ab34: bf031cf8  stur	xzr, [x29, #-0x40]
0xfffffff00879ab38: ff7f06a9  stp	xzr, xzr, [sp, #0x60]
0xfffffff00879ab3c: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00879ab40: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff00879ab44: b64301d1  sub	x22, x29, #0x50
0xfffffff00879ab48: 8802150b  add	w8, w20, w21
0xfffffff00879ab4c: 012d4011  add	w1, w8, #0xb, lsl #12
0xfffffff00879ab50: 700240f9  ldr	x16, [x19]
0xfffffff00879ab54: f10313aa  mov	x17, x19
0xfffffff00879ab58: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00879ab5c: 301ac1da  autda	x16, x17
0xfffffff00879ab60: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00879ab64: e90310aa  mov	x9, x16
0xfffffff00879ab68: e00313aa  mov	x0, x19
0xfffffff00879ab6c: f10309aa  mov	x17, x9
0xfffffff00879ab70: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00879ab74: 11093fd7  blraa	x8, x17
0xfffffff00879ab78: c06a35b8  str	w0, [x22, x21]
0xfffffff00879ab7c: b5120091  add	x21, x21, #4
0xfffffff00879ab80: bf620071  cmp	w21, #0x18
0xfffffff00879ab84: 21feff54  b.ne	#0xfffffff00879ab48
0xfffffff00879ab88: a8277629  ldp	w8, w9, [x29, #-0x50]
0xfffffff00879ab8c: aa2f7729  ldp	w10, w11, [x29, #-0x48]
0xfffffff00879ab90: ac377829  ldp	w12, w13, [x29, #-0x40]
0xfffffff00879ab94: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff00879ab98: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00879ab9c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00879aba0: b64dffd0  adrp	x22, #0xfffffff007150000
0xfffffff00879aba4: d6e62b91  add	x22, x22, #0xaf9
0xfffffff00879aba8: f60300f9  str	x22, [sp]
0xfffffff00879abac: a04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879abb0: 00403691  add	x0, x0, #0xd90
0xfffffff00879abb4: 0193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879abb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879abbc: 634dfff0  adrp	x3, #0xfffffff007149000
0xfffffff00879abc0: 63f01091  add	x3, x3, #0x43c
0xfffffff00879abc4: 02008052  mov	w2, #0
0xfffffff00879abc8: 5a61ee97  bl	#0xfffffff008333130
0xfffffff00879abcc: 150080d2  mov	x21, #0
0xfffffff00879abd0: f7830191  add	x23, sp, #0x60
0xfffffff00879abd4: 8802150b  add	w8, w20, w21
0xfffffff00879abd8: 01111011  add	w1, w8, #0x404
0xfffffff00879abdc: 700240f9  ldr	x16, [x19]
0xfffffff00879abe0: f10313aa  mov	x17, x19
0xfffffff00879abe4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00879abe8: 301ac1da  autda	x16, x17
0xfffffff00879abec: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00879abf0: e90310aa  mov	x9, x16
0xfffffff00879abf4: e00313aa  mov	x0, x19
0xfffffff00879abf8: f10309aa  mov	x17, x9
0xfffffff00879abfc: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00879ac00: 11093fd7  blraa	x8, x17
0xfffffff00879ac04: e06a35b8  str	w0, [x23, x21]
0xfffffff00879ac08: b5120091  add	x21, x21, #4
0xfffffff00879ac0c: bf420071  cmp	w21, #0x10
0xfffffff00879ac10: 21feff54  b.ne	#0xfffffff00879abd4
0xfffffff00879ac14: e8274c29  ldp	w8, w9, [sp, #0x60]
0xfffffff00879ac18: ea2f4d29  ldp	w10, w11, [sp, #0x68]
0xfffffff00879ac1c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00879ac20: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00879ac24: f60300f9  str	x22, [sp]
0xfffffff00879ac28: a04cfff0  adrp	x0, #0xfffffff007131000
