; Candidate 15969
; ADRP+ADD at VM 0xfffffff009df2ee8 (fileoff 0x2deeee8): page=0x5cc000 add_imm=0xe70

0xfffffff009df2e68: ffc300d1  sub	sp, sp, #0x30
0xfffffff009df2e6c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009df2e70: fd830091  add	x29, sp, #0x20
0xfffffff009df2e74: a8068052  mov	w8, #0x35
0xfffffff009df2e78: 49c5feb0  adrp	x9, #0xfffffff00769b000
0xfffffff009df2e7c: 29110691  add	x9, x9, #0x184
0xfffffff009df2e80: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009df2e84: e00300f9  str	x0, [sp]
0xfffffff009df2e88: 40c5feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009df2e8c: 00e00591  add	x0, x0, #0x178
0xfffffff009df2e90: 9f859a97  bl	#0xfffffff00849450c
0xfffffff009df2e94: 7f2303d5  pacibsp	
0xfffffff009df2e98: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df2e9c: fd030091  mov	x29, sp
0xfffffff009df2ea0: 602e0090  adrp	x0, #0xfffffff00a3be000
0xfffffff009df2ea4: 00c03991  add	x0, x0, #0xe70
0xfffffff009df2ea8: 81c5fe90  adrp	x1, #0xfffffff0076a2000
0xfffffff009df2eac: 21581191  add	x1, x1, #0x456
0xfffffff009df2eb0: 622e0090  adrp	x2, #0xfffffff00a3be000
0xfffffff009df2eb4: 42e03091  add	x2, x2, #0xc38
0xfffffff009df2eb8: 03338052  mov	w3, #0x198
0xfffffff009df2ebc: 1fc39397  bl	#0xfffffff0082e3b38
0xfffffff009df2ec0: b0f9fe90  adrp	x16, #0xfffffff007d26000
0xfffffff009df2ec4: 10021e91  add	x16, x16, #0x780
0xfffffff009df2ec8: 10420091  add	x16, x16, #0x10
0xfffffff009df2ecc: f10300aa  mov	x17, x0
0xfffffff009df2ed0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df2ed4: 300ac1da  pacda	x16, x17
0xfffffff009df2ed8: 100000f9  str	x16, [x0]
0xfffffff009df2edc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df2ee0: ff0f5fd6  retab	
0xfffffff009df2ee4: 5f2403d5  bti	c
0xfffffff009df2ee8: 602e0090  adrp	x0, #0xfffffff00a3be000
0xfffffff009df2eec: 00c03991  add	x0, x0, #0xe70
0xfffffff009df2ef0: 01c69317  b	#0xfffffff0082e46f4
0xfffffff009df2ef4: e00300f9  str	x0, [sp]
0xfffffff009df2ef8: e00308aa  mov	x0, x8
0xfffffff009df2efc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009df2f00: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009df2f08
0xfffffff009df2f04: 208e38d4  brk	#0xc471
0xfffffff009df2f08: 81859a17  b	#0xfffffff00849450c
0xfffffff009df2f0c: 7f2303d5  pacibsp	
0xfffffff009df2f10: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df2f14: fd030091  mov	x29, sp
0xfffffff009df2f18: 81c5fe90  adrp	x1, #0xfffffff0076a2000
0xfffffff009df2f1c: 21101d91  add	x1, x1, #0x744
0xfffffff009df2f20: 42f9fef0  adrp	x2, #0xfffffff007d1d000
0xfffffff009df2f24: 424043f9  ldr	x2, [x2, #0x680]
0xfffffff009df2f28: 030a8052  mov	w3, #0x50
0xfffffff009df2f2c: 03c39397  bl	#0xfffffff0082e3b38
0xfffffff009df2f30: b0f9fe90  adrp	x16, #0xfffffff007d26000
0xfffffff009df2f34: 10622691  add	x16, x16, #0x998
0xfffffff009df2f38: 10420091  add	x16, x16, #0x10
0xfffffff009df2f3c: f10300aa  mov	x17, x0
0xfffffff009df2f40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df2f44: 300ac1da  pacda	x16, x17
0xfffffff009df2f48: 100000f9  str	x16, [x0]
0xfffffff009df2f4c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df2f50: ff0f5fd6  retab	
0xfffffff009df2f54: 5f2403d5  bti	c
0xfffffff009df2f58: e7c59317  b	#0xfffffff0082e46f4
0xfffffff009df2f5c: 7f2303d5  pacibsp	
0xfffffff009df2f60: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df2f64: fd030091  mov	x29, sp
