; Candidate 4169
; ADRP+ADD at VM 0xfffffff008794e48 (fileoff 0x1790e48): page=0x1fe99d000 add_imm=0xd90

0xfffffff008794dc8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008794dcc: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794dd0: 29d90c91  add	x9, x9, #0x336
0xfffffff008794dd4: e90300f9  str	x9, [sp]
0xfffffff008794dd8: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794ddc: 00403691  add	x0, x0, #0xd90
0xfffffff008794de0: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794de4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794de8: a34dff90  adrp	x3, #0xfffffff007148000
0xfffffff008794dec: 63481391  add	x3, x3, #0x4d2
0xfffffff008794df0: 02008052  mov	w2, #0
0xfffffff008794df4: cf78ee97  bl	#0xfffffff008333130
0xfffffff008794df8: 95578052  mov	w21, #0x2bc
0xfffffff008794dfc: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008794e00: dcffff17  b	#0xfffffff008794d70
0xfffffff008794e04: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008794e08: 100040f9  ldr	x16, [x0]
0xfffffff008794e0c: f10300aa  mov	x17, x0
0xfffffff008794e10: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008794e14: 301ac1da  autda	x16, x17
0xfffffff008794e18: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008794e1c: e90310aa  mov	x9, x16
0xfffffff008794e20: e2630091  add	x2, sp, #0x18
0xfffffff008794e24: e1018052  mov	w1, #0xf
0xfffffff008794e28: f10309aa  mov	x17, x9
0xfffffff008794e2c: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008794e30: 11093fd7  blraa	x8, x17
0xfffffff008794e34: c0010034  cbz	w0, #0xfffffff008794e6c
0xfffffff008794e38: f50300aa  mov	x21, x0
0xfffffff008794e3c: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794e40: 08d90c91  add	x8, x8, #0x336
0xfffffff008794e44: e85700a9  stp	x8, x21, [sp]
0xfffffff008794e48: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794e4c: 00403691  add	x0, x0, #0xd90
0xfffffff008794e50: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794e54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794e58: a34dff90  adrp	x3, #0xfffffff007148000
0xfffffff008794e5c: 63301491  add	x3, x3, #0x50c
0xfffffff008794e60: 02008052  mov	w2, #0
0xfffffff008794e64: b378ee97  bl	#0xfffffff008333130
0xfffffff008794e68: c2ffff17  b	#0xfffffff008794d70
0xfffffff008794e6c: 88626139  ldrb	w8, [x20, #0x858]
0xfffffff008794e70: a8040034  cbz	w8, #0xfffffff008794f04
0xfffffff008794e74: ffff01a9  stp	xzr, xzr, [sp, #0x18]
0xfffffff008794e78: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff008794e7c: e8630039  strb	w8, [sp, #0x18]
0xfffffff008794e80: 88722191  add	x8, x20, #0x85c
0xfffffff008794e84: 000140fd  ldr	d0, [x8]
0xfffffff008794e88: a8828552  mov	w8, #0x2c15
0xfffffff008794e8c: 29008052  mov	w9, #1
0xfffffff008794e90: 696a2838  strb	w9, [x19, x8]
0xfffffff008794e94: e0c301fc  stur	d0, [sp, #0x1c]
0xfffffff008794e98: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008794e9c: 100040f9  ldr	x16, [x0]
0xfffffff008794ea0: f10300aa  mov	x17, x0
0xfffffff008794ea4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008794ea8: 301ac1da  autda	x16, x17
0xfffffff008794eac: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008794eb0: e90310aa  mov	x9, x16
0xfffffff008794eb4: e2630091  add	x2, sp, #0x18
0xfffffff008794eb8: 81028052  mov	w1, #0x14
0xfffffff008794ebc: f10309aa  mov	x17, x9
0xfffffff008794ec0: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008794ec4: 11093fd7  blraa	x8, x17
