; Candidate 10940
; ADRP+ADD at VM 0xfffffff008deda10 (fileoff 0x1de9a10): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008ded990: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ded994: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ded998: ff430191  add	sp, sp, #0x50
0xfffffff008ded99c: ff0f5fd6  retab	
0xfffffff008ded9a0: a8588152  mov	w8, #0xac5
0xfffffff008ded9a4: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded9a8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded9ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded9b0: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded9b4: 08493991  add	x8, x8, #0xe52
0xfffffff008ded9b8: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded9bc: 4aad3291  add	x10, x10, #0xcab
0xfffffff008ded9c0: 12000014  b	#0xfffffff008deda08
0xfffffff008ded9c4: c8588152  mov	w8, #0xac6
0xfffffff008ded9c8: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded9cc: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded9d0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded9d4: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded9d8: 08493991  add	x8, x8, #0xe52
0xfffffff008ded9dc: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008ded9e0: 4a713091  add	x10, x10, #0xc1c
0xfffffff008ded9e4: 09000014  b	#0xfffffff008deda08
0xfffffff008ded9e8: 68598152  mov	w8, #0xacb
0xfffffff008ded9ec: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded9f0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded9f4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded9f8: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded9fc: 08493991  add	x8, x8, #0xe52
0xfffffff008deda00: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008deda04: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008deda08: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008deda0c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008deda10: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deda14: 00543891  add	x0, x0, #0xe15
0xfffffff008deda18: 82a5d597  bl	#0xfffffff008357020
0xfffffff008deda1c: 40008012  mov	w0, #-3
0xfffffff008deda20: dcffff17  b	#0xfffffff008ded990
0xfffffff008deda24: 7f2303d5  pacibsp	
0xfffffff008deda28: ff0301d1  sub	sp, sp, #0x40
0xfffffff008deda2c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008deda30: fdc30091  add	x29, sp, #0x30
0xfffffff008deda34: e00100b4  cbz	x0, #0xfffffff008deda70
0xfffffff008deda38: e20200b4  cbz	x2, #0xfffffff008deda94
0xfffffff008deda3c: c30200b4  cbz	x3, #0xfffffff008deda94
0xfffffff008deda40: 3f0c00f1  cmp	x1, #3
0xfffffff008deda44: a9030054  b.ls	#0xfffffff008dedab8
0xfffffff008deda48: e80300aa  mov	x8, x0
0xfffffff008deda4c: 00008052  mov	w0, #0
0xfffffff008deda50: 094540b8  ldr	w9, [x8], #4
0xfffffff008deda54: 690000f9  str	x9, [x3]
0xfffffff008deda58: 3f010071  cmp	w9, #0
0xfffffff008deda5c: e803889a  csel	x8, xzr, x8, eq
0xfffffff008deda60: 480000f9  str	x8, [x2]
0xfffffff008deda64: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008deda68: ff030191  add	sp, sp, #0x40
0xfffffff008deda6c: ff0f5fd6  retab	
0xfffffff008deda70: 685c8152  mov	w8, #0xae3
0xfffffff008deda74: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deda78: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deda7c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deda80: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deda84: 08493991  add	x8, x8, #0xe52
0xfffffff008deda88: aa2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008deda8c: 4a393391  add	x10, x10, #0xcce
