; Candidate 206
; ADRP+ADD at VM 0xfffffff007e325a0 (fileoff 0xe2e5a0): page=0x1ffb3e000 add_imm=0xe70

0xfffffff007e32520: 29050091  add	x9, x9, #1
0xfffffff007e32524: 090106f9  str	x9, [x8, #0xc00]
0xfffffff007e32528: a0008052  mov	w0, #5
0xfffffff007e3252c: 0d000014  b	#0xfffffff007e32560
0xfffffff007e32530: e01e01d0  adrp	x0, #0xfffffff00a210000
0xfffffff007e32534: 00603291  add	x0, x0, #0xc98
0xfffffff007e32538: e10315aa  mov	x1, x21
0xfffffff007e3253c: 02008052  mov	w2, #0
0xfffffff007e32540: 6ee5fd97  bl	#0xfffffff007dabaf8
0xfffffff007e32544: e1ffff17  b	#0xfffffff007e324c8
0xfffffff007e32548: e01e01d0  adrp	x0, #0xfffffff00a210000
0xfffffff007e3254c: 00603291  add	x0, x0, #0xc98
0xfffffff007e32550: e10315aa  mov	x1, x21
0xfffffff007e32554: 84e8fd97  bl	#0xfffffff007dac764
0xfffffff007e32558: d4fdff35  cbnz	w20, #0xfffffff007e32510
0xfffffff007e3255c: 00008052  mov	w0, #0
0xfffffff007e32560: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007e32564: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007e32568: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007e3256c: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff007e32570: ff0f5fd6  retab	
0xfffffff007e32574: 7f2303d5  pacibsp	
0xfffffff007e32578: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007e3257c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007e32580: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007e32584: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007e32588: fdc30091  add	x29, sp, #0x30
0xfffffff007e3258c: f50300aa  mov	x21, x0
0xfffffff007e32590: f71c01f0  adrp	x23, #0xfffffff00a1d1000
0xfffffff007e32594: e85e4cb9  ldr	w8, [x23, #0xc5c]
0xfffffff007e32598: 1f050071  cmp	w8, #1
0xfffffff007e3259c: e1000054  b.ne	#0xfffffff007e325b8
0xfffffff007e325a0: e0d9ffd0  adrp	x0, #0xfffffff007970000
0xfffffff007e325a4: 00c03991  add	x0, x0, #0xe70
0xfffffff007e325a8: 01008052  mov	w1, #0
0xfffffff007e325ac: 4ad2fd97  bl	#0xfffffff007da6ed4
0xfffffff007e325b0: f40300aa  mov	x20, x0
0xfffffff007e325b4: 02000014  b	#0xfffffff007e325bc
0xfffffff007e325b8: 140080d2  mov	x20, #0
0xfffffff007e325bc: 080080d2  mov	x8, #0
0xfffffff007e325c0: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e325c4: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e325c8: f61e01d0  adrp	x22, #0xfffffff00a210000
0xfffffff007e325cc: d6823291  add	x22, x22, #0xca0
0xfffffff007e325d0: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007e325d4: 1f0100f1  cmp	x8, #0
0xfffffff007e325d8: 41120054  b.ne	#0xfffffff007e32820
0xfffffff007e325dc: a9fe61d3  lsr	x9, x21, #0x21
0xfffffff007e325e0: ea1c01f0  adrp	x10, #0xfffffff00a1d1000
0xfffffff007e325e4: 4a213291  add	x10, x10, #0xc88
0xfffffff007e325e8: e8030aaa  mov	x8, x10
0xfffffff007e325ec: 080140f9  ldr	x8, [x8]
0xfffffff007e325f0: 1f010aeb  cmp	x8, x10
0xfffffff007e325f4: 200f0054  b.eq	#0xfffffff007e327d8
0xfffffff007e325f8: 0b3d40b9  ldr	w11, [x8, #0x3c]
0xfffffff007e325fc: 7f01096b  cmp	w11, w9
0xfffffff007e32600: 61ffff54  b.ne	#0xfffffff007e325ec
0xfffffff007e32604: a80e00b4  cbz	x8, #0xfffffff007e327d8
0xfffffff007e32608: 0a4140b9  ldr	w10, [x8, #0x40]
0xfffffff007e3260c: 5f050072  tst	w10, #3
0xfffffff007e32610: 400e0054  b.eq	#0xfffffff007e327d8
0xfffffff007e32614: eb5e4cb9  ldr	w11, [x23, #0xc5c]
0xfffffff007e32618: a9824092  and	x9, x21, #0x1ffffffff
0xfffffff007e3261c: ab070034  cbz	w11, #0xfffffff007e32710
