; Candidate 388
; ADRP+ADD at VM 0xfffffff007edbe84 (fileoff 0xed7e84): page=0x1ff17e000 add_imm=0xe96

0xfffffff007edbe04: 00010054  b.eq	#0xfffffff007edbe24
0xfffffff007edbe08: 14c103f9  str	x20, [x8, #0x780]
0xfffffff007edbe0c: 33c503f9  str	x19, [x9, #0x788]
0xfffffff007edbe10: e01a01f0  adrp	x0, #0xfffffff00a23a000
0xfffffff007edbe14: 00401a91  add	x0, x0, #0x690
0xfffffff007edbe18: 01008052  mov	w1, #0
0xfffffff007edbe1c: 02008052  mov	w2, #0
0xfffffff007edbe20: 46a1fb97  bl	#0xfffffff007dc4338
0xfffffff007edbe24: e01801b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007edbe28: 00c02991  add	x0, x0, #0xa70
0xfffffff007edbe2c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007edbe30: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007edbe34: ff030191  add	sp, sp, #0x40
0xfffffff007edbe38: ff2303d5  autibsp	
0xfffffff007edbe3c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007edbe40: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007edbe48
0xfffffff007edbe44: 208e38d4  brk	#0xc471
0xfffffff007edbe48: 4f4ffb17  b	#0xfffffff007dafb84
0xfffffff007edbe4c: 5f2003d5  wfe	
0xfffffff007edbe50: e01801b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007edbe54: 00c02991  add	x0, x0, #0xa70
0xfffffff007edbe58: c2cffff0  adrp	x2, #0xfffffff0078d6000
0xfffffff007edbe5c: 42403791  add	x2, x2, #0xdd0
0xfffffff007edbe60: b94efb97  bl	#0xfffffff007daf944
0xfffffff007edbe64: ddffff17  b	#0xfffffff007edbdd8
0xfffffff007edbe68: c8088052  mov	w8, #0x46
0xfffffff007edbe6c: e98bffd0  adrp	x9, #0xfffffff007059000
0xfffffff007edbe70: 29953b91  add	x9, x9, #0xee5
0xfffffff007edbe74: ea8bffd0  adrp	x10, #0xfffffff007059000
0xfffffff007edbe78: 4a253b91  add	x10, x10, #0xec9
0xfffffff007edbe7c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007edbe80: ea0300f9  str	x10, [sp]
0xfffffff007edbe84: e08bffd0  adrp	x0, #0xfffffff007059000
0xfffffff007edbe88: 00583a91  add	x0, x0, #0xe96
0xfffffff007edbe8c: a0e11694  bl	#0xfffffff00849450c
0xfffffff007edbe90: 7f2303d5  pacibsp	
0xfffffff007edbe94: ff8301d1  sub	sp, sp, #0x60
0xfffffff007edbe98: e923026d  stp	d9, d8, [sp, #0x20]
0xfffffff007edbe9c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007edbea0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff007edbea4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff007edbea8: fd430191  add	x29, sp, #0x50
0xfffffff007edbeac: e81801b0  adrp	x8, #0xfffffff00a1f8000
0xfffffff007edbeb0: 08a12991  add	x8, x8, #0xa68
0xfffffff007edbeb4: 08c1bfb8  ldapr	w8, [x8]
0xfffffff007edbeb8: c8060034  cbz	w8, #0xfffffff007edbf90
0xfffffff007edbebc: 0840601e  fmov	d8, d0
0xfffffff007edbec0: f30301aa  mov	x19, x1
0xfffffff007edbec4: f40300aa  mov	x20, x0
0xfffffff007edbec8: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007edbecc: 284841b9  ldr	w8, [x1, #0x148]
0xfffffff007edbed0: 08050011  add	w8, w8, #1
0xfffffff007edbed4: 284801b9  str	w8, [x1, #0x148]
0xfffffff007edbed8: e81801b0  adrp	x8, #0xfffffff00a1f8000
0xfffffff007edbedc: 08012a91  add	x8, x8, #0xa80
0xfffffff007edbee0: 097d5fc8  ldxr	x9, [x8]
0xfffffff007edbee4: 890400b5  cbnz	x9, #0xfffffff007edbf74
0xfffffff007edbee8: 017de9c8  casa	x9, x1, [x8]
0xfffffff007edbeec: 3f0100f1  cmp	x9, #0
0xfffffff007edbef0: 41040054  b.ne	#0xfffffff007edbf78
0xfffffff007edbef4: f51801b0  adrp	x21, #0xfffffff00a1f8000
0xfffffff007edbef8: b5022a91  add	x21, x21, #0xa80
0xfffffff007edbefc: e00315aa  mov	x0, x21
0xfffffff007edbf00: 21008052  mov	w1, #1
