; Candidate 15752
; ADRP+ADD at VM 0xfffffff009cf9238 (fileoff 0x2cf5238): page=0x6c2000 add_imm=0xda8

0xfffffff009cf91b8: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009cf91bc: f90300f9  str	x25, [sp]
0xfffffff009cf91c0: 20cbfeb0  adrp	x0, #0xfffffff00765e000
0xfffffff009cf91c4: 00403191  add	x0, x0, #0xc50
0xfffffff009cf91c8: 83cbfe90  adrp	x3, #0xfffffff007669000
0xfffffff009cf91cc: 63681591  add	x3, x3, #0x55a
0xfffffff009cf91d0: e10318aa  mov	x1, x24
0xfffffff009cf91d4: e20317aa  mov	x2, x23
0xfffffff009cf91d8: d6e79897  bl	#0xfffffff008333130
0xfffffff009cf91dc: f70314aa  mov	x23, x20
0xfffffff009cf91e0: e00317aa  mov	x0, x23
0xfffffff009cf91e4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009cf91e8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009cf91ec: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009cf91f0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009cf91f4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009cf91f8: ff430291  add	sp, sp, #0x90
0xfffffff009cf91fc: ff0f5fd6  retab	
0xfffffff009cf9200: 0c000000  udf	#0xc
0xfffffff009cf9204: 5c000000  udf	#0x5c
0xfffffff009cf9208: 9c000000  udf	#0x9c
0xfffffff009cf920c: e0000000  udf	#0xe0
0xfffffff009cf9210: 00010000  udf	#0x100
0xfffffff009cf9214: 28010000  udf	#0x128
0xfffffff009cf9218: 5f2403d5  bti	c
0xfffffff009cf921c: 36ad9717  b	#0xfffffff0082e46f4
0xfffffff009cf9220: 5f2403d5  bti	c
0xfffffff009cf9224: 00304e39  ldrb	w0, [x0, #0x38c]
0xfffffff009cf9228: c0035fd6  ret	
0xfffffff009cf922c: 7f2303d5  pacibsp	
0xfffffff009cf9230: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf9234: fd030091  mov	x29, sp
0xfffffff009cf9238: 003600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf923c: 00a03691  add	x0, x0, #0xda8
0xfffffff009cf9240: 41cbfed0  adrp	x1, #0xfffffff007663000
0xfffffff009cf9244: 217c3491  add	x1, x1, #0xd1f
0xfffffff009cf9248: 023600d0  adrp	x2, #0xfffffff00a3bb000
0xfffffff009cf924c: 42003691  add	x2, x2, #0xd80
0xfffffff009cf9250: 03798052  mov	w3, #0x3c8
0xfffffff009cf9254: 39aa9797  bl	#0xfffffff0082e3b38
0xfffffff009cf9258: 5000ff90  adrp	x16, #0xfffffff007d01000
0xfffffff009cf925c: 10623891  add	x16, x16, #0xe18
0xfffffff009cf9260: 10420091  add	x16, x16, #0x10
0xfffffff009cf9264: f10300aa  mov	x17, x0
0xfffffff009cf9268: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cf926c: 300ac1da  pacda	x16, x17
0xfffffff009cf9270: 100000f9  str	x16, [x0]
0xfffffff009cf9274: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009cf9278: ff0f5fd6  retab	
0xfffffff009cf927c: 5f2403d5  bti	c
0xfffffff009cf9280: 003600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cf9284: 00a03691  add	x0, x0, #0xda8
0xfffffff009cf9288: 1bad9717  b	#0xfffffff0082e46f4
0xfffffff009cf928c: 7f2303d5  pacibsp	
0xfffffff009cf9290: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cf9294: fd030091  mov	x29, sp
0xfffffff009cf9298: 41cbfef0  adrp	x1, #0xfffffff007664000
0xfffffff009cf929c: 21900591  add	x1, x1, #0x164
0xfffffff009cf92a0: 2200ffb0  adrp	x2, #0xfffffff007cfe000
0xfffffff009cf92a4: 423044f9  ldr	x2, [x2, #0x860]
0xfffffff009cf92a8: 03088052  mov	w3, #0x40
0xfffffff009cf92ac: 23aa9797  bl	#0xfffffff0082e3b38
0xfffffff009cf92b0: 5000ff90  adrp	x16, #0xfffffff007d01000
0xfffffff009cf92b4: 10223d91  add	x16, x16, #0xf48
