; Candidate 8265
; ADRP+ADD at VM 0xfffffff00889fac8 (fileoff 0x189bac8): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889fa48: 684342b9  ldr	w8, [x27, #0x240]
0xfffffff00889fa4c: 13000014  b	#0xfffffff00889fa98
0xfffffff00889fa50: 08008012  mov	w8, #-1
0xfffffff00889fa54: 690240b9  ldr	w9, [x19]
0xfffffff00889fa58: aa0240f9  ldr	x10, [x21]
0xfffffff00889fa5c: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff00889fa60: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00889fa64: f9cf02a9  stp	x25, x19, [sp, #0x28]
0xfffffff00889fa68: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fa6c: 0b910491  add	x11, x8, #0x124
0xfffffff00889fa70: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fa74: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fa78: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff00889fa7c: f88300a9  stp	x24, x0, [sp, #8]
0xfffffff00889fa80: fc0300f9  str	x28, [sp]
0xfffffff00889fa84: 804cffd0  adrp	x0, #0xfffffff007231000
0xfffffff00889fa88: 00f80591  add	x0, x0, #0x17e
0xfffffff00889fa8c: 755ed497  bl	#0xfffffff007db7460
0xfffffff00889fa90: 16000014  b	#0xfffffff00889fae8
0xfffffff00889fa94: 08008012  mov	w8, #-1
0xfffffff00889fa98: 690240b9  ldr	w9, [x19]
0xfffffff00889fa9c: aa0240f9  ldr	x10, [x21]
0xfffffff00889faa0: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff00889faa4: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00889faa8: f9cf02a9  stp	x25, x19, [sp, #0x28]
0xfffffff00889faac: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fab0: 0b910491  add	x11, x8, #0x124
0xfffffff00889fab4: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fab8: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fabc: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff00889fac0: f88300a9  stp	x24, x0, [sp, #8]
0xfffffff00889fac4: fc0300f9  str	x28, [sp]
0xfffffff00889fac8: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889facc: 00003a91  add	x0, x0, #0xe80
0xfffffff00889fad0: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889fad4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889fad8: 02008052  mov	w2, #0
0xfffffff00889fadc: 034effd0  adrp	x3, #0xfffffff007261000
0xfffffff00889fae0: 63980791  add	x3, x3, #0x1e6
0xfffffff00889fae4: 934dea97  bl	#0xfffffff008333130
0xfffffff00889fae8: 37008052  mov	w23, #1
0xfffffff00889faec: 5a070091  add	x26, x26, #1
0xfffffff00889faf0: c83a80b9  ldrsw	x8, [x22, #0x38]
0xfffffff00889faf4: b5820091  add	x21, x21, #0x20
0xfffffff00889faf8: 5f0308eb  cmp	x26, x8
0xfffffff00889fafc: 8bf6ff54  b.lt	#0xfffffff00889f9cc
0xfffffff00889fb00: 57000014  b	#0xfffffff00889fc5c
0xfffffff00889fb04: aa510094  bl	#0xfffffff0088b41ac
0xfffffff00889fb08: f60300aa  mov	x22, x0
0xfffffff00889fb0c: e0008052  mov	w0, #7
0xfffffff00889fb10: 506fff97  bl	#0xfffffff00887b850
0xfffffff00889fb14: 680240b9  ldr	w8, [x19]
0xfffffff00889fb18: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889fb1c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889fb20: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fb24: 09910491  add	x9, x8, #0x124
0xfffffff00889fb28: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889fb2c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889fb30: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889fb34: a80f8052  mov	w8, #0x7d
0xfffffff00889fb38: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889fb3c: f60300f9  str	x22, [sp]
0xfffffff00889fb40: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889fb44: 00003a91  add	x0, x0, #0xe80
