; Candidate 8401
; ADRP+ADD at VM 0xfffffff0088a8b64 (fileoff 0x18a4b64): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a8ae4: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a8ae8: 88138052  mov	w8, #0x9c
0xfffffff0088a8aec: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a8af0: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8af4: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8af8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a8afc: c80f8052  mov	w8, #0x7e
0xfffffff0088a8b00: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8b04: 63243b91  add	x3, x3, #0xec9
0xfffffff0088a8b08: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a8b0c: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8b10: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8b14: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8b18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8b1c: 02008052  mov	w2, #0
0xfffffff0088a8b20: 8429ea97  bl	#0xfffffff008333130
0xfffffff0088a8b24: 14008052  mov	w20, #0
0xfffffff0088a8b28: 18000014  b	#0xfffffff0088a8b88
0xfffffff0088a8b2c: a02d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8b30: f40300aa  mov	x20, x0
0xfffffff0088a8b34: 80008052  mov	w0, #4
0xfffffff0088a8b38: 464bff97  bl	#0xfffffff00887b850
0xfffffff0088a8b3c: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8b40: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0088a8b44: 69078052  mov	w9, #0x3b
0xfffffff0088a8b48: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088a8b4c: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8b50: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8b54: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a8b58: c80f8052  mov	w8, #0x7e
0xfffffff0088a8b5c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a8b60: f40300f9  str	x20, [sp]
0xfffffff0088a8b64: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8b68: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8b6c: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8b70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8b74: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8b78: 63b43991  add	x3, x3, #0xe6d
0xfffffff0088a8b7c: 02008052  mov	w2, #0
0xfffffff0088a8b80: 6c29ea97  bl	#0xfffffff008333130
0xfffffff0088a8b84: 147d8012  mov	w20, #-0x3e9
0xfffffff0088a8b88: c00f8052  mov	w0, #0x7e
0xfffffff0088a8b8c: e1008052  mov	w1, #7
0xfffffff0088a8b90: 104bff97  bl	#0xfffffff00887b7d0
0xfffffff0088a8b94: c0040034  cbz	w0, #0xfffffff0088a8c2c
0xfffffff0088a8b98: c00f8052  mov	w0, #0x7e
0xfffffff0088a8b9c: 1f4bff97  bl	#0xfffffff00887b818
0xfffffff0088a8ba0: f60300aa  mov	x22, x0
0xfffffff0088a8ba4: 822d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8ba8: f50300aa  mov	x21, x0
0xfffffff0088a8bac: e0008052  mov	w0, #7
0xfffffff0088a8bb0: 284bff97  bl	#0xfffffff00887b850
0xfffffff0088a8bb4: 76010034  cbz	w22, #0xfffffff0088a8be0
0xfffffff0088a8bb8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088a8bbc: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8bc0: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8bc4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a8bc8: c80f8052  mov	w8, #0x7e
0xfffffff0088a8bcc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a8bd0: 604bffb0  adrp	x0, #0xfffffff007215000
0xfffffff0088a8bd4: 00a81591  add	x0, x0, #0x56a
0xfffffff0088a8bd8: 223ad497  bl	#0xfffffff007db7460
0xfffffff0088a8bdc: 14000014  b	#0xfffffff0088a8c2c
0xfffffff0088a8be0: 732d0094  bl	#0xfffffff0088b41ac
