; Candidate 15905
; ADRP+ADD at VM 0xfffffff009dc6a64 (fileoff 0x2dc2a64): page=0x1fd8d6000 add_imm=0xe2d

0xfffffff009dc69e4: c9224fa9  ldp	x9, x8, [x22, #0xf0]
0xfffffff009dc69e8: ca8240f9  ldr	x10, [x22, #0x100]
0xfffffff009dc69ec: cb0a41b9  ldr	w11, [x22, #0x108]
0xfffffff009dc69f0: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff009dc69f4: e82700a9  stp	x8, x9, [sp]
0xfffffff009dc69f8: a1c6feb0  adrp	x1, #0xfffffff00769b000
0xfffffff009dc69fc: 21181a91  add	x1, x1, #0x686
0xfffffff009dc6a00: e00313aa  mov	x0, x19
0xfffffff009dc6a04: 623f0094  bl	#0xfffffff009dd678c
0xfffffff009dc6a08: c80a41b9  ldr	w8, [x22, #0x108]
0xfffffff009dc6a0c: c91241b9  ldr	w9, [x22, #0x110]
0xfffffff009dc6a10: ca1a41b9  ldr	w10, [x22, #0x118]
0xfffffff009dc6a14: cb2241b9  ldr	w11, [x22, #0x120]
0xfffffff009dc6a18: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff009dc6a1c: e82700a9  stp	x8, x9, [sp]
0xfffffff009dc6a20: a1c6feb0  adrp	x1, #0xfffffff00769b000
0xfffffff009dc6a24: 21f81a91  add	x1, x1, #0x6be
0xfffffff009dc6a28: e00313aa  mov	x0, x19
0xfffffff009dc6a2c: 583f0094  bl	#0xfffffff009dd678c
0xfffffff009dc6a30: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009dc6a34: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009dc6a38: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009dc6a3c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009dc6a40: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009dc6a44: ffc30191  add	sp, sp, #0x70
0xfffffff009dc6a48: ff0f5fd6  retab	
0xfffffff009dc6a4c: a0c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dc6a50: 008c0d91  add	x0, x0, #0x363
0xfffffff009dc6a54: 71180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a58: a0c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dc6a5c: 004c0691  add	x0, x0, #0x193
0xfffffff009dc6a60: 6e180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a64: a0c6fed0  adrp	x0, #0xfffffff00769c000
0xfffffff009dc6a68: 00b43891  add	x0, x0, #0xe2d
0xfffffff009dc6a6c: 6b180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a70: a0c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dc6a74: 00c00991  add	x0, x0, #0x270
0xfffffff009dc6a78: 68180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a7c: a0c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dc6a80: 00ac0291  add	x0, x0, #0xab
0xfffffff009dc6a84: 65180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a88: a0c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dc6a8c: 00740491  add	x0, x0, #0x11d
0xfffffff009dc6a90: 62180094  bl	#0xfffffff009dccc18
0xfffffff009dc6a94: 7f2303d5  pacibsp	
0xfffffff009dc6a98: ff8303d1  sub	sp, sp, #0xe0
0xfffffff009dc6a9c: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff009dc6aa0: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff009dc6aa4: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff009dc6aa8: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff009dc6aac: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff009dc6ab0: fd430391  add	x29, sp, #0xd0
0xfffffff009dc6ab4: e21df8b7  tbnz	x2, #0x3f, #0xfffffff009dc6e70
0xfffffff009dc6ab8: f70302aa  mov	x23, x2
0xfffffff009dc6abc: 59fc60d3  lsr	x25, x2, #0x20
0xfffffff009dc6ac0: 28230011  add	w8, w25, #8
0xfffffff009dc6ac4: 1f01176b  cmp	w8, w23
0xfffffff009dc6ac8: 481d0054  b.hi	#0xfffffff009dc6e70
0xfffffff009dc6acc: f40301aa  mov	x20, x1
0xfffffff009dc6ad0: 380019ab  adds	x24, x1, x25
0xfffffff009dc6ad4: e9379f1a  cset	w9, hs
0xfffffff009dc6ad8: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009dc6adc: 090109ca  eor	x9, x8, x9
0xfffffff009dc6ae0: e91c00b5  cbnz	x9, #0xfffffff009dc6e7c
