; Candidate 487
; ADRP+ADD at VM 0xfffffff007f405b0 (fileoff 0xf3c5b0): page=0x22fd000 add_imm=0xe00

0xfffffff007f40530: 40000054  b.eq	#0xfffffff007f40538
0xfffffff007f40534: 201f0035  cbnz	w0, #0xfffffff007f40918
0xfffffff007f40538: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f4053c: 68080034  cbz	w8, #0xfffffff007f40648
0xfffffff007f40540: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f40544: 00003891  add	x0, x0, #0xe00
0xfffffff007f40548: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f4054c: 21a02491  add	x1, x1, #0x928
0xfffffff007f40550: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f40554: 63541291  add	x3, x3, #0x495
0xfffffff007f40558: e4830091  add	x4, sp, #0x20
0xfffffff007f4055c: 02028052  mov	w2, #0x10
0xfffffff007f40560: 9f580a94  bl	#0xfffffff0081d67dc
0xfffffff007f40564: 1f8c0071  cmp	w0, #0x23
0xfffffff007f40568: 40000054  b.eq	#0xfffffff007f40570
0xfffffff007f4056c: 601d0035  cbnz	w0, #0xfffffff007f40918
0xfffffff007f40570: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f40574: a8060034  cbz	w8, #0xfffffff007f40648
0xfffffff007f40578: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f4057c: 00003891  add	x0, x0, #0xe00
0xfffffff007f40580: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f40584: 21a02491  add	x1, x1, #0x928
0xfffffff007f40588: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f4058c: 63541291  add	x3, x3, #0x495
0xfffffff007f40590: e4830091  add	x4, sp, #0x20
0xfffffff007f40594: 02028052  mov	w2, #0x10
0xfffffff007f40598: 91580a94  bl	#0xfffffff0081d67dc
0xfffffff007f4059c: 1f8c0071  cmp	w0, #0x23
0xfffffff007f405a0: 40000054  b.eq	#0xfffffff007f405a8
0xfffffff007f405a4: a01b0035  cbnz	w0, #0xfffffff007f40918
0xfffffff007f405a8: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f405ac: e8040034  cbz	w8, #0xfffffff007f40648
0xfffffff007f405b0: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f405b4: 00003891  add	x0, x0, #0xe00
0xfffffff007f405b8: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f405bc: 21a02491  add	x1, x1, #0x928
0xfffffff007f405c0: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f405c4: 63541291  add	x3, x3, #0x495
0xfffffff007f405c8: e4830091  add	x4, sp, #0x20
0xfffffff007f405cc: 02028052  mov	w2, #0x10
0xfffffff007f405d0: 83580a94  bl	#0xfffffff0081d67dc
0xfffffff007f405d4: 1f8c0071  cmp	w0, #0x23
0xfffffff007f405d8: 40000054  b.eq	#0xfffffff007f405e0
0xfffffff007f405dc: e0190035  cbnz	w0, #0xfffffff007f40918
0xfffffff007f405e0: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f405e4: 28030034  cbz	w8, #0xfffffff007f40648
0xfffffff007f405e8: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f405ec: 00003891  add	x0, x0, #0xe00
0xfffffff007f405f0: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f405f4: 21a02491  add	x1, x1, #0x928
0xfffffff007f405f8: e388fff0  adrp	x3, #0xfffffff00705f000
0xfffffff007f405fc: 63541291  add	x3, x3, #0x495
0xfffffff007f40600: e4830091  add	x4, sp, #0x20
0xfffffff007f40604: 02028052  mov	w2, #0x10
0xfffffff007f40608: 75580a94  bl	#0xfffffff0081d67dc
0xfffffff007f4060c: 1f8c0071  cmp	w0, #0x23
0xfffffff007f40610: 40000054  b.eq	#0xfffffff007f40618
0xfffffff007f40614: 20180035  cbnz	w0, #0xfffffff007f40918
0xfffffff007f40618: e8024eb9  ldr	w8, [x23, #0xe00]
0xfffffff007f4061c: 68010034  cbz	w8, #0xfffffff007f40648
0xfffffff007f40620: e01701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f40624: 00003891  add	x0, x0, #0xe00
0xfffffff007f40628: e11701b0  adrp	x1, #0xfffffff00a23d000
0xfffffff007f4062c: 21a02491  add	x1, x1, #0x928
