; Candidate 8614
; ADRP+ADD at VM 0xfffffff0088b799c (fileoff 0x18b399c): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b791c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088b7920: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088b7924: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0088b7928: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0088b792c: ff830291  add	sp, sp, #0xa0
0xfffffff0088b7930: ff0f5fd6  retab	
0xfffffff0088b7934: 1ef2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7938: f40300aa  mov	x20, x0
0xfffffff0088b793c: e0008052  mov	w0, #7
0xfffffff0088b7940: c40fff97  bl	#0xfffffff00887b850
0xfffffff0088b7944: 68f64139  ldrb	w8, [x19, #0x7d]
0xfffffff0088b7948: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b794c: a8088052  mov	w8, #0x45
0xfffffff0088b7950: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7954: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7958: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b795c: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7960: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7964: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7968: 636c0e91  add	x3, x3, #0x39b
0xfffffff0088b796c: 02008052  mov	w2, #0
0xfffffff0088b7970: f0ede997  bl	#0xfffffff008333130
0xfffffff0088b7974: 1a008052  mov	w26, #0
0xfffffff0088b7978: e6ffff17  b	#0xfffffff0088b7910
0xfffffff0088b797c: 0cf2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7980: f60300aa  mov	x22, x0
0xfffffff0088b7984: e0008052  mov	w0, #7
0xfffffff0088b7988: b20fff97  bl	#0xfffffff00887b850
0xfffffff0088b798c: 68fa4139  ldrb	w8, [x19, #0x7e]
0xfffffff0088b7990: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7994: a8088052  mov	w8, #0x45
0xfffffff0088b7998: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b799c: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b79a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b79a4: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b79a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b79ac: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b79b0: 63380f91  add	x3, x3, #0x3ce
0xfffffff0088b79b4: 02008052  mov	w2, #0
0xfffffff0088b79b8: deede997  bl	#0xfffffff008333130
0xfffffff0088b79bc: 5c200034  cbz	w28, #0xfffffff0088b7dc4
0xfffffff0088b79c0: 160080d2  mov	x22, #0
0xfffffff0088b79c4: 79420291  add	x25, x19, #0x90
0xfffffff0088b79c8: b7088052  mov	w23, #0x45
0xfffffff0088b79cc: 3800c0d2  mov	x24, #0x100000000
0xfffffff0088b79d0: 811f0012  and	w1, w28, #0xff
0xfffffff0088b79d4: 21031fb8  stur	w1, [x25, #-0x10]
0xfffffff0088b79d8: e00314aa  mov	x0, x20
0xfffffff0088b79dc: 05edff97  bl	#0xfffffff0088b2df0
0xfffffff0088b79e0: e01e0035  cbnz	w0, #0xfffffff0088b7dbc
0xfffffff0088b79e4: a0088052  mov	w0, #0x45
0xfffffff0088b79e8: e1008052  mov	w1, #7
0xfffffff0088b79ec: 790fff97  bl	#0xfffffff00887b7d0
0xfffffff0088b79f0: e0030034  cbz	w0, #0xfffffff0088b7a6c
0xfffffff0088b79f4: a0088052  mov	w0, #0x45
0xfffffff0088b79f8: 880fff97  bl	#0xfffffff00887b818
0xfffffff0088b79fc: fb0300aa  mov	x27, x0
0xfffffff0088b7a00: ebf1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7a04: fa0300aa  mov	x26, x0
0xfffffff0088b7a08: e0008052  mov	w0, #7
0xfffffff0088b7a0c: 910fff97  bl	#0xfffffff00887b850
0xfffffff0088b7a10: 1b010034  cbz	w27, #0xfffffff0088b7a30
0xfffffff0088b7a14: 28035fb8  ldur	w8, [x25, #-0x10]
0xfffffff0088b7a18: e02301a9  stp	x0, x8, [sp, #0x10]
