; Candidate 6841
; ADRP+ADD at VM 0xfffffff0088456ec (fileoff 0x18416ec): page=0x1a95000 add_imm=0xd58

0xfffffff00884566c: f5db03a9  stp	x21, x22, [sp, #0x38]
0xfffffff008845670: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008845674: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff008845678: 09992691  add	x9, x8, #0x9a6
0xfffffff00884567c: e84effd0  adrp	x8, #0xfffffff007223000
0xfffffff008845680: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008845684: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008845688: 480a8052  mov	w8, #0x52
0xfffffff00884568c: 4350fff0  adrp	x3, #0xfffffff007250000
0xfffffff008845690: 633c1d91  add	x3, x3, #0x74f
0xfffffff008845694: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008845698: f90300f9  str	x25, [sp]
0xfffffff00884569c: 204dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088456a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088456a4: 018efff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088456a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088456ac: 02008052  mov	w2, #0
0xfffffff0088456b0: a0b6eb97  bl	#0xfffffff008333130
0xfffffff0088456b4: e00318aa  mov	x0, x24
0xfffffff0088456b8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088456bc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088456c0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088456c4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088456c8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088456cc: ffc30291  add	sp, sp, #0xb0
0xfffffff0088456d0: ff0f5fd6  retab	
0xfffffff0088456d4: 32040294  bl	#0xfffffff0088c679c
0xfffffff0088456d8: 5f2403d5  bti	c
0xfffffff0088456dc: 067cea17  b	#0xfffffff0082e46f4
0xfffffff0088456e0: 7f2303d5  pacibsp	
0xfffffff0088456e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088456e8: fd030091  mov	x29, sp
0xfffffff0088456ec: a0d400b0  adrp	x0, #0xfffffff00a2da000
0xfffffff0088456f0: 00603591  add	x0, x0, #0xd58
0xfffffff0088456f4: e14effd0  adrp	x1, #0xfffffff007223000
0xfffffff0088456f8: 21d82b91  add	x1, x1, #0xaf6
0xfffffff0088456fc: 028efff0  adrp	x2, #0xfffffff007a08000
0xfffffff008845700: 421442f9  ldr	x2, [x2, #0x428]
0xfffffff008845704: 03568052  mov	w3, #0x2b0
0xfffffff008845708: 0c79ea97  bl	#0xfffffff0082e3b38
0xfffffff00884570c: 308efff0  adrp	x16, #0xfffffff007a0c000
0xfffffff008845710: 10c20991  add	x16, x16, #0x270
0xfffffff008845714: 10420091  add	x16, x16, #0x10
0xfffffff008845718: f10300aa  mov	x17, x0
0xfffffff00884571c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008845720: 300ac1da  pacda	x16, x17
0xfffffff008845724: 100000f9  str	x16, [x0]
0xfffffff008845728: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00884572c: ff0f5fd6  retab	
0xfffffff008845730: 5f2403d5  bti	c
0xfffffff008845734: a0d400b0  adrp	x0, #0xfffffff00a2da000
0xfffffff008845738: 00603591  add	x0, x0, #0xd58
0xfffffff00884573c: ee7bea17  b	#0xfffffff0082e46f4
0xfffffff008845740: f30300aa  mov	x19, x0
0xfffffff008845744: 74008052  mov	w20, #3
0xfffffff008845748: 60008052  mov	w0, #3
0xfffffff00884574c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008845750: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008845758
0xfffffff008845754: 208e38d4  brk	#0xc471
0xfffffff008845758: 3ed80014  b	#0xfffffff00887b850
0xfffffff00884575c: 60008052  mov	w0, #3
0xfffffff008845760: 61008052  mov	w1, #3
0xfffffff008845764: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008845768: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008845770
