; Candidate 3043
; ADRP+ADD at VM 0xfffffff00870e3ec (fileoff 0x170a3ec): page=0x1fea23000 add_imm=0xd90

0xfffffff00870e36c: 88480014  b	#0xfffffff00872058c
0xfffffff00870e370: c0035fd6  ret	
0xfffffff00870e374: 7f2303d5  pacibsp	
0xfffffff00870e378: ff0306d1  sub	sp, sp, #0x180
0xfffffff00870e37c: fc6f13a9  stp	x28, x27, [sp, #0x130]
0xfffffff00870e380: f85f14a9  stp	x24, x23, [sp, #0x140]
0xfffffff00870e384: f65715a9  stp	x22, x21, [sp, #0x150]
0xfffffff00870e388: f44f16a9  stp	x20, x19, [sp, #0x160]
0xfffffff00870e38c: fd7b17a9  stp	x29, x30, [sp, #0x170]
0xfffffff00870e390: fdc30591  add	x29, sp, #0x170
0xfffffff00870e394: 6897fff0  adrp	x8, #0xfffffff0079fd000
0xfffffff00870e398: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff00870e39c: 080140f9  ldr	x8, [x8]
0xfffffff00870e3a0: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff00870e3a4: 08a47239  ldrb	w8, [x0, #0xca9]
0xfffffff00870e3a8: c8010034  cbz	w8, #0xfffffff00870e3e0
0xfffffff00870e3ac: f30300aa  mov	x19, x0
0xfffffff00870e3b0: 081a8452  mov	w8, #0x20d0
0xfffffff00870e3b4: 08686838  ldrb	w8, [x0, x8]
0xfffffff00870e3b8: e8020034  cbz	w8, #0xfffffff00870e414
0xfffffff00870e3bc: 14008052  mov	w20, #0
0xfffffff00870e3c0: e00313aa  mov	x0, x19
0xfffffff00870e3c4: 1e010094  bl	#0xfffffff00870e83c
0xfffffff00870e3c8: 40070034  cbz	w0, #0xfffffff00870e4b0
0xfffffff00870e3cc: 88060011  add	w8, w20, #1
0xfffffff00870e3d0: 9f420071  cmp	w20, #0x10
0xfffffff00870e3d4: f40308aa  mov	x20, x8
0xfffffff00870e3d8: 43ffff54  b.lo	#0xfffffff00870e3c0
0xfffffff00870e3dc: 35000014  b	#0xfffffff00870e4b0
0xfffffff00870e3e0: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870e3e4: 08151591  add	x8, x8, #0x545
0xfffffff00870e3e8: e80300f9  str	x8, [sp]
0xfffffff00870e3ec: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870e3f0: 00403691  add	x0, x0, #0xd90
0xfffffff00870e3f4: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870e3f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870e3fc: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870e400: 63c40891  add	x3, x3, #0x231
0xfffffff00870e404: 02008052  mov	w2, #0
0xfffffff00870e408: 4a93f097  bl	#0xfffffff008333130
0xfffffff00870e40c: 34268052  mov	w20, #0x131
0xfffffff00870e410: fc000014  b	#0xfffffff00870e800
0xfffffff00870e414: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00870e418: e00308ad  stp	q0, q0, [sp, #0x100]
0xfffffff00870e41c: e00307ad  stp	q0, q0, [sp, #0xe0]
0xfffffff00870e420: e00306ad  stp	q0, q0, [sp, #0xc0]
0xfffffff00870e424: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff00870e428: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00870e42c: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00870e430: 605a46f9  ldr	x0, [x19, #0xcb0]
0xfffffff00870e434: e1830191  add	x1, sp, #0x60
0xfffffff00870e438: bf2d0294  bl	#0xfffffff008799b34
0xfffffff00870e43c: a0030034  cbz	w0, #0xfffffff00870e4b0
0xfffffff00870e440: e8834139  ldrb	w8, [sp, #0x60]
0xfffffff00870e444: 68030034  cbz	w8, #0xfffffff00870e4b0
0xfffffff00870e448: 34008052  mov	w20, #1
0xfffffff00870e44c: e88b4139  ldrb	w8, [sp, #0x62]
0xfffffff00870e450: c8010034  cbz	w8, #0xfffffff00870e488
0xfffffff00870e454: 700240f9  ldr	x16, [x19]
0xfffffff00870e458: f10313aa  mov	x17, x19
0xfffffff00870e45c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00870e460: 301ac1da  autda	x16, x17
0xfffffff00870e464: 112a80d2  mov	x17, #0x150
0xfffffff00870e468: 1002118b  add	x16, x16, x17
