; Candidate 6283
; ADRP+ADD at VM 0xfffffff00881f3f4 (fileoff 0x181b3f4): page=0x1fe9f4000 add_imm=0xded

0xfffffff00881f374: 02000014  b	#0xfffffff00881f37c
0xfffffff00881f378: 08008012  mov	w8, #-1
0xfffffff00881f37c: 894240b9  ldr	w9, [x20, #0x40]
0xfffffff00881f380: ca0240b9  ldr	w10, [x22]
0xfffffff00881f384: ea230229  stp	w10, w8, [sp, #0x10]
0xfffffff00881f388: f7270129  stp	w23, w9, [sp, #8]
0xfffffff00881f38c: f30300f9  str	x19, [sp]
0xfffffff00881f390: 01008012  mov	w1, #-1
0xfffffff00881f394: 42008052  mov	w2, #2
0xfffffff00881f398: 07008052  mov	w7, #0
0xfffffff00881f39c: 48b20094  bl	#0xfffffff00884bcbc
0xfffffff00881f3a0: e00313aa  mov	x0, x19
0xfffffff00881f3a4: e10314aa  mov	x1, x20
0xfffffff00881f3a8: 56fbff97  bl	#0xfffffff00881e100
0xfffffff00881f3ac: a00e8052  mov	w0, #0x75
0xfffffff00881f3b0: e1008052  mov	w1, #7
0xfffffff00881f3b4: 07710194  bl	#0xfffffff00887b7d0
0xfffffff00881f3b8: e0040034  cbz	w0, #0xfffffff00881f454
0xfffffff00881f3bc: a00e8052  mov	w0, #0x75
0xfffffff00881f3c0: 16710194  bl	#0xfffffff00887b818
0xfffffff00881f3c4: f60300aa  mov	x22, x0
0xfffffff00881f3c8: 79530294  bl	#0xfffffff0088b41ac
0xfffffff00881f3cc: f50300aa  mov	x21, x0
0xfffffff00881f3d0: e0008052  mov	w0, #7
0xfffffff00881f3d4: 1f710194  bl	#0xfffffff00887b850
0xfffffff00881f3d8: 96010034  cbz	w22, #0xfffffff00881f408
0xfffffff00881f3dc: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00881f3e0: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f3e4: 08950491  add	x8, x8, #0x125
0xfffffff00881f3e8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881f3ec: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881f3f0: a80e8052  mov	w8, #0x75
0xfffffff00881f3f4: a04fff90  adrp	x0, #0xfffffff007213000
0xfffffff00881f3f8: 00b43791  add	x0, x0, #0xded
0xfffffff00881f3fc: f52300a9  stp	x21, x8, [sp]
0xfffffff00881f400: 1860d697  bl	#0xfffffff007db7460
0xfffffff00881f404: 14000014  b	#0xfffffff00881f454
0xfffffff00881f408: 69530294  bl	#0xfffffff0088b41ac
0xfffffff00881f40c: f50300aa  mov	x21, x0
0xfffffff00881f410: e0008052  mov	w0, #7
0xfffffff00881f414: 0f710194  bl	#0xfffffff00887b850
0xfffffff00881f418: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00881f41c: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f420: 08950491  add	x8, x8, #0x125
0xfffffff00881f424: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881f428: a80e8052  mov	w8, #0x75
0xfffffff00881f42c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881f430: f50300f9  str	x21, [sp]
0xfffffff00881f434: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f438: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f43c: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f440: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f444: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f448: 63081991  add	x3, x3, #0x642
0xfffffff00881f44c: 02008052  mov	w2, #0
0xfffffff00881f450: 384fec97  bl	#0xfffffff008333130
0xfffffff00881f454: 00008052  mov	w0, #0
0xfffffff00881f458: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00881f45c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00881f460: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00881f464: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00881f468: ff030291  add	sp, sp, #0x80
0xfffffff00881f46c: ff0f5fd6  retab	
0xfffffff00881f470: 7f2303d5  pacibsp	
