; Candidate 9134
; ADRP+ADD at VM 0xfffffff0089fbaf4 (fileoff 0x19f7af4): page=0x1ff04e000 add_imm=0xe00

0xfffffff0089fba74: f30300aa  mov	x19, x0
0xfffffff0089fba78: 12010094  bl	#0xfffffff0089fbec0
0xfffffff0089fba7c: 1f0014eb  cmp	x0, x20
0xfffffff0089fba80: c1080054  b.ne	#0xfffffff0089fbb98
0xfffffff0089fba84: e00313aa  mov	x0, x19
0xfffffff0089fba88: e10318aa  mov	x1, x24
0xfffffff0089fba8c: e20315aa  mov	x2, x21
0xfffffff0089fba90: e30317aa  mov	x3, x23
0xfffffff0089fba94: e6000094  bl	#0xfffffff0089fbe2c
0xfffffff0089fba98: 1f0015eb  cmp	x0, x21
0xfffffff0089fba9c: 610a0054  b.ne	#0xfffffff0089fbbe8
0xfffffff0089fbaa0: 88fe7dd3  lsr	x8, x20, #0x3d
0xfffffff0089fbaa4: 680f00b5  cbnz	x8, #0xfffffff0089fbc90
0xfffffff0089fbaa8: 81f27dd3  lsl	x1, x20, #3
0xfffffff0089fbaac: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fbab0: 00003891  add	x0, x0, #0xe00
0xfffffff0089fbab4: c76ce597  bl	#0xfffffff008356dd0
0xfffffff0089fbab8: 897e40f2  ands	x9, x20, #0xffffffff
0xfffffff0089fbabc: e0000054  b.eq	#0xfffffff0089fbad8
0xfffffff0089fbac0: 080080d2  mov	x8, #0
0xfffffff0089fbac4: 29f17dd3  lsl	x9, x9, #3
0xfffffff0089fbac8: 1f6828f8  str	xzr, [x0, x8]
0xfffffff0089fbacc: 08210091  add	x8, x8, #8
0xfffffff0089fbad0: 3f0108eb  cmp	x9, x8
0xfffffff0089fbad4: a1ffff54  b.ne	#0xfffffff0089fbac8
0xfffffff0089fbad8: e80314aa  mov	x8, x20
0xfffffff0089fbadc: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0089fbae0: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff0089fbae4: 600e00f9  str	x0, [x19, #0x18]
0xfffffff0089fbae8: 682200b9  str	w8, [x19, #0x20]
0xfffffff0089fbaec: c10000b4  cbz	x1, #0xfffffff0089fbb04
0xfffffff0089fbaf0: 22f17dd3  lsl	x2, x9, #3
0xfffffff0089fbaf4: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fbaf8: 00003891  add	x0, x0, #0xe00
0xfffffff0089fbafc: bb6ce597  bl	#0xfffffff008356de8
0xfffffff0089fbb00: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0089fbb04: 800900b4  cbz	x0, #0xfffffff0089fbc34
0xfffffff0089fbb08: 540400b4  cbz	x20, #0xfffffff0089fbb90
0xfffffff0089fbb0c: 150080d2  mov	x21, #0
0xfffffff0089fbb10: 1600a252  mov	w22, #0x10000000
0xfffffff0089fbb14: 1701c0d2  mov	x23, #0x800000000
0xfffffff0089fbb18: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0089fbb1c: 280100b4  cbz	x8, #0xfffffff0089fbb40
0xfffffff0089fbb20: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff0089fbb24: 090d098b  add	x9, x8, x9, lsl #3
0xfffffff0089fbb28: 290108eb  subs	x9, x9, x8
0xfffffff0089fbb2c: c30a0054  b.lo	#0xfffffff0089fbc84
0xfffffff0089fbb30: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0089fbb34: 8a0a00b5  cbnz	x10, #0xfffffff0089fbc84
0xfffffff0089fbb38: 960000b5  cbnz	x22, #0xfffffff0089fbb48
0xfffffff0089fbb3c: 4c000014  b	#0xfffffff0089fbc6c
0xfffffff0089fbb40: 090080d2  mov	x9, #0
0xfffffff0089fbb44: 560900b4  cbz	x22, #0xfffffff0089fbc6c
0xfffffff0089fbb48: d508f8b7  tbnz	x21, #0x3f, #0xfffffff0089fbc60
0xfffffff0089fbb4c: aafe60d3  lsr	x10, x21, #0x20
0xfffffff0089fbb50: 4b210011  add	w11, w10, #8
0xfffffff0089fbb54: 7f01096b  cmp	w11, w9
0xfffffff0089fbb58: 48080054  b.hi	#0xfffffff0089fbc60
0xfffffff0089fbb5c: 00010aab  adds	x0, x8, x10
0xfffffff0089fbb60: e9379f1a  cset	w9, hs
0xfffffff0089fbb64: 28014093  sbfx	x8, x9, #0, #1
0xfffffff0089fbb68: 090109ca  eor	x9, x8, x9
0xfffffff0089fbb6c: 690800b5  cbnz	x9, #0xfffffff0089fbc78
0xfffffff0089fbb70: 4808f8b7  tbnz	x8, #0x3f, #0xfffffff0089fbc78
