; Candidate 9864
; ADRP+ADD at VM 0xfffffff008b65d08 (fileoff 0x1b61d08): page=0x1fef2e000 add_imm=0xd70

0xfffffff008b65c88: 63403f91  add	x3, x3, #0xfd0
0xfffffff008b65c8c: 02008052  mov	w2, #0
0xfffffff008b65c90: 2835df97  bl	#0xfffffff008333130
0xfffffff008b65c94: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff008b65c98: 100040f9  ldr	x16, [x0]
0xfffffff008b65c9c: f10300aa  mov	x17, x0
0xfffffff008b65ca0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65ca4: 301ac1da  autda	x16, x17
0xfffffff008b65ca8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65cac: e90310aa  mov	x9, x16
0xfffffff008b65cb0: f10309aa  mov	x17, x9
0xfffffff008b65cb4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65cb8: 11093fd7  blraa	x8, x17
0xfffffff008b65cbc: bf2600f9  str	xzr, [x21, #0x48]
0xfffffff008b65cc0: 16000014  b	#0xfffffff008b65d18
0xfffffff008b65cc4: b3578052  mov	w19, #0x2bd
0xfffffff008b65cc8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65ccc: a80240b9  ldr	w8, [x21]
0xfffffff008b65cd0: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65cd4: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65cd8: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65cdc: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65ce0: 00400c91  add	x0, x0, #0x310
0xfffffff008b65ce4: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65ce8: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65cec: 033eff90  adrp	x3, #0xfffffff007325000
0xfffffff008b65cf0: 634c0091  add	x3, x3, #0x13
0xfffffff008b65cf4: 02008052  mov	w2, #0
0xfffffff008b65cf8: 0e35df97  bl	#0xfffffff008333130
0xfffffff008b65cfc: 07000014  b	#0xfffffff008b65d18
0xfffffff008b65d00: b3578052  mov	w19, #0x2bd
0xfffffff008b65d04: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65d08: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65d0c: 00c03591  add	x0, x0, #0xd70
0xfffffff008b65d10: e10314aa  mov	x1, x20
0xfffffff008b65d14: 7ec2df97  bl	#0xfffffff00835670c
0xfffffff008b65d18: e00313aa  mov	x0, x19
0xfffffff008b65d1c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008b65d20: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008b65d24: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008b65d28: ff830191  add	sp, sp, #0x60
0xfffffff008b65d2c: ff0f5fd6  retab	
0xfffffff008b65d30: 48008052  mov	w8, #2
0xfffffff008b65d34: 880200b9  str	w8, [x20]
0xfffffff008b65d38: 9f2a01b9  str	wzr, [x20, #0x128]
0xfffffff008b65d3c: e0a30091  add	x0, sp, #0x28
0xfffffff008b65d40: 24810094  bl	#0xfffffff008b861d0
0xfffffff008b65d44: 800900b4  cbz	x0, #0xfffffff008b65e74
0xfffffff008b65d48: f40300aa  mov	x20, x0
0xfffffff008b65d4c: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff008b65d50: 100040f9  ldr	x16, [x0]
0xfffffff008b65d54: f10300aa  mov	x17, x0
0xfffffff008b65d58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65d5c: 301ac1da  autda	x16, x17
0xfffffff008b65d60: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008b65d64: e90310aa  mov	x9, x16
0xfffffff008b65d68: e10314aa  mov	x1, x20
0xfffffff008b65d6c: f10309aa  mov	x17, x9
0xfffffff008b65d70: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff008b65d74: 11093fd7  blraa	x8, x17
0xfffffff008b65d78: 900240f9  ldr	x16, [x20]
0xfffffff008b65d7c: f10314aa  mov	x17, x20
0xfffffff008b65d80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65d84: 301ac1da  autda	x16, x17
