; Candidate 10600
; ADRP+ADD at VM 0xfffffff008ddf34c (fileoff 0x1ddb34c): page=0x1fe5e5000 add_imm=0xd21

0xfffffff008ddf2cc: 4a211791  add	x10, x10, #0x5c8
0xfffffff008ddf2d0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf2d4: ea0300f9  str	x10, [sp]
0xfffffff008ddf2d8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf2dc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf2e0: 50dfd597  bl	#0xfffffff008357020
0xfffffff008ddf2e4: 96008012  mov	w22, #-5
0xfffffff008ddf2e8: 150080d2  mov	x21, #0
0xfffffff008ddf2ec: c8088052  mov	w8, #0x46
0xfffffff008ddf2f0: 9effff17  b	#0xfffffff008ddf168
0xfffffff008ddf2f4: 7f2303d5  pacibsp	
0xfffffff008ddf2f8: ff0302d1  sub	sp, sp, #0x80
0xfffffff008ddf2fc: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008ddf300: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008ddf304: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008ddf308: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008ddf30c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008ddf310: fdc30191  add	x29, sp, #0x70
0xfffffff008ddf314: f60303aa  mov	x22, x3
0xfffffff008ddf318: f30302aa  mov	x19, x2
0xfffffff008ddf31c: f50301aa  mov	x21, x1
0xfffffff008ddf320: f40300aa  mov	x20, x0
0xfffffff008ddf324: 19a90090  adrp	x25, #0xfffffff00a2ff000
0xfffffff008ddf328: 39432c91  add	x25, x25, #0xb10
0xfffffff008ddf32c: 28034039  ldrb	w8, [x25]
0xfffffff008ddf330: 172fffd0  adrp	x23, #0xfffffff0073c1000
0xfffffff008ddf334: f7aa1991  add	x23, x23, #0x66a
0xfffffff008ddf338: 182fffd0  adrp	x24, #0xfffffff0073c1000
0xfffffff008ddf33c: 189f0c91  add	x24, x24, #0x327
0xfffffff008ddf340: 1f290071  cmp	w8, #0xa
0xfffffff008ddf344: a8000054  b.hi	#0xfffffff008ddf358
0xfffffff008ddf348: f85f00a9  stp	x24, x23, [sp]
0xfffffff008ddf34c: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf350: 00843491  add	x0, x0, #0xd21
0xfffffff008ddf354: 33dfd597  bl	#0xfffffff008357020
0xfffffff008ddf358: d40500b4  cbz	x20, #0xfffffff008ddf410
0xfffffff008ddf35c: 930700b4  cbz	x19, #0xfffffff008ddf44c
0xfffffff008ddf360: 76010034  cbz	w22, #0xfffffff008ddf38c
0xfffffff008ddf364: e00315aa  mov	x0, x21
0xfffffff008ddf368: 41008052  mov	w1, #2
0xfffffff008ddf36c: 02008052  mov	w2, #0
0xfffffff008ddf370: e30313aa  mov	x3, x19
0xfffffff008ddf374: 04028052  mov	w4, #0x10
0xfffffff008ddf378: 050080d2  mov	x5, #0
0xfffffff008ddf37c: 060080d2  mov	x6, #0
0xfffffff008ddf380: 519081d2  mov	x17, #0xc82
0xfffffff008ddf384: 910a3fd7  blraa	x20, x17
0xfffffff008ddf388: 20080035  cbnz	w0, #0xfffffff008ddf48c
0xfffffff008ddf38c: 002fffd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008ddf390: 00681591  add	x0, x0, #0x55a
0xfffffff008ddf394: 032fffd0  adrp	x3, #0xfffffff0073c1000
0xfffffff008ddf398: 63480d91  add	x3, x3, #0x352
0xfffffff008ddf39c: 052fffd0  adrp	x5, #0xfffffff0073c1000
0xfffffff008ddf3a0: a5a81991  add	x5, x5, #0x66a
0xfffffff008ddf3a4: e10313aa  mov	x1, x19
0xfffffff008ddf3a8: 82028052  mov	w2, #0x14
0xfffffff008ddf3ac: 84158052  mov	w4, #0xac
0xfffffff008ddf3b0: 461e0094  bl	#0xfffffff008de6cc8
0xfffffff008ddf3b4: 8068ffd0  adrp	x0, #0xfffffff007af1000
0xfffffff008ddf3b8: 00002d91  add	x0, x0, #0xb40
0xfffffff008ddf3bc: e10313aa  mov	x1, x19
0xfffffff008ddf3c0: d3dcd597  bl	#0xfffffff00835670c
0xfffffff008ddf3c4: 13008052  mov	w19, #0
0xfffffff008ddf3c8: 48018052  mov	w8, #0xa
