; Candidate 8691
; ADRP+ADD at VM 0xfffffff0088be1f4 (fileoff 0x18ba1f4): page=0x1fe92b000 add_imm=0xe80

0xfffffff0088be174: 700240f9  ldr	x16, [x19]
0xfffffff0088be178: f10313aa  mov	x17, x19
0xfffffff0088be17c: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088be180: 301ac1da  autda	x16, x17
0xfffffff0088be184: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088be188: e90310aa  mov	x9, x16
0xfffffff0088be18c: e00313aa  mov	x0, x19
0xfffffff0088be190: f10309aa  mov	x17, x9
0xfffffff0088be194: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088be198: 11093fd7  blraa	x8, x17
0xfffffff0088be19c: e00316aa  mov	x0, x22
0xfffffff0088be1a0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088be1a4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088be1a8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088be1ac: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088be1b0: ff030291  add	sp, sp, #0x80
0xfffffff0088be1b4: ff0f5fd6  retab	
0xfffffff0088be1b8: fdd7ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be1bc: f50300aa  mov	x21, x0
0xfffffff0088be1c0: 80008052  mov	w0, #4
0xfffffff0088be1c4: a3f5fe97  bl	#0xfffffff00887b850
0xfffffff0088be1c8: e80316aa  mov	x8, x22
0xfffffff0088be1cc: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0088be1d0: 48d08052  mov	w8, #0x682
0xfffffff0088be1d4: a94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088be1d8: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088be1dc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088be1e0: c84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088be1e4: 08ed3691  add	x8, x8, #0xdbb
0xfffffff0088be1e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088be1ec: c8088052  mov	w8, #0x46
0xfffffff0088be1f0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088be1f4: 4049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088be1f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088be1fc: 418affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088be200: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088be204: 434dff90  adrp	x3, #0xfffffff007266000
0xfffffff0088be208: 63980991  add	x3, x3, #0x266
0xfffffff0088be20c: 02008052  mov	w2, #0
0xfffffff0088be210: c8d3e997  bl	#0xfffffff008333130
0xfffffff0088be214: 13fbffb5  cbnz	x19, #0xfffffff0088be174
0xfffffff0088be218: e1ffff17  b	#0xfffffff0088be19c
0xfffffff0088be21c: 69224129  ldp	w9, w8, [x19, #8]
0xfffffff0088be220: 280d080b  add	w8, w9, w8, lsl #3
0xfffffff0088be224: a89e21b9  str	w8, [x21, #0x219c]
0xfffffff0088be228: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088be22c: a8a225b9  str	w8, [x21, #0x25a0]
0xfffffff0088be230: c0088052  mov	w0, #0x46
0xfffffff0088be234: e1008052  mov	w1, #7
0xfffffff0088be238: 66f5fe97  bl	#0xfffffff00887b7d0
0xfffffff0088be23c: 40020034  cbz	w0, #0xfffffff0088be284
0xfffffff0088be240: c0088052  mov	w0, #0x46
0xfffffff0088be244: 75f5fe97  bl	#0xfffffff00887b818
0xfffffff0088be248: f60300aa  mov	x22, x0
0xfffffff0088be24c: d8d7ff97  bl	#0xfffffff0088b41ac
0xfffffff0088be250: f40300aa  mov	x20, x0
0xfffffff0088be254: e0008052  mov	w0, #7
0xfffffff0088be258: 7ef5fe97  bl	#0xfffffff00887b850
0xfffffff0088be25c: 96010034  cbz	w22, #0xfffffff0088be28c
0xfffffff0088be260: a89e61b9  ldr	w8, [x21, #0x219c]
0xfffffff0088be264: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088be268: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088be26c: c8088052  mov	w8, #0x46
0xfffffff0088be270: f42300a9  stp	x20, x8, [sp]
