; Candidate 12847
; ADRP+ADD at VM 0xfffffff009169dec (fileoff 0x2165dec): page=0x1fe323000 add_imm=0xd34

0xfffffff009169d6c: 1f500071  cmp	w0, #0x14
0xfffffff009169d70: 81010054  b.ne	#0xfffffff009169da0
0xfffffff009169d74: d91600f9  str	x25, [x22, #0x28]
0xfffffff009169d78: 300340f9  ldr	x16, [x25]
0xfffffff009169d7c: f10319aa  mov	x17, x25
0xfffffff009169d80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009169d84: 301ac1da  autda	x16, x17
0xfffffff009169d88: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009169d8c: e90310aa  mov	x9, x16
0xfffffff009169d90: e00319aa  mov	x0, x25
0xfffffff009169d94: f10309aa  mov	x17, x9
0xfffffff009169d98: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009169d9c: 11093fd7  blraa	x8, x17
0xfffffff009169da0: c81640f9  ldr	x8, [x22, #0x28]
0xfffffff009169da4: 880000b4  cbz	x8, #0xfffffff009169db4
0xfffffff009169da8: 28008052  mov	w8, #1
0xfffffff009169dac: c8060039  strb	w8, [x22, #1]
0xfffffff009169db0: 06000014  b	#0xfffffff009169dc8
0xfffffff009169db4: c81a40f9  ldr	x8, [x22, #0x30]
0xfffffff009169db8: 1f0100f1  cmp	x8, #0
0xfffffff009169dbc: e9079f1a  cset	w9, ne
0xfffffff009169dc0: c9060039  strb	w9, [x22, #1]
0xfffffff009169dc4: c80200b4  cbz	x8, #0xfffffff009169e1c
0xfffffff009169dc8: c8024039  ldrb	w8, [x22]
0xfffffff009169dcc: 88010034  cbz	w8, #0xfffffff009169dfc
0xfffffff009169dd0: c8064039  ldrb	w8, [x22, #1]
0xfffffff009169dd4: caa642a9  ldp	x10, x9, [x22, #0x28]
0xfffffff009169dd8: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff009169ddc: f3a301a9  stp	x19, x8, [sp, #0x18]
0xfffffff009169de0: 0819fff0  adrp	x8, #0xfffffff00748c000
0xfffffff009169de4: 08e53591  add	x8, x8, #0xd79
0xfffffff009169de8: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff009169dec: 0019fff0  adrp	x0, #0xfffffff00748c000
0xfffffff009169df0: 00d03491  add	x0, x0, #0xd34
0xfffffff009169df4: e80300f9  str	x8, [sp]
0xfffffff009169df8: 8ab4c797  bl	#0xfffffff008357020
0xfffffff009169dfc: e00316aa  mov	x0, x22
0xfffffff009169e00: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009169e04: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009169e08: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009169e0c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009169e10: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009169e14: ff430291  add	sp, sp, #0x90
0xfffffff009169e18: ff0f5fd6  retab	
0xfffffff009169e1c: f00240f9  ldr	x16, [x23]
0xfffffff009169e20: f10317aa  mov	x17, x23
0xfffffff009169e24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009169e28: 301ac1da  autda	x16, x17
0xfffffff009169e2c: 112380d2  mov	x17, #0x118
0xfffffff009169e30: 1002118b  add	x16, x16, x17
0xfffffff009169e34: 080240f9  ldr	x8, [x16]
0xfffffff009169e38: e90310aa  mov	x9, x16
0xfffffff009169e3c: 0119fff0  adrp	x1, #0xfffffff00748c000
0xfffffff009169e40: 21943491  add	x1, x1, #0xd25
0xfffffff009169e44: e00317aa  mov	x0, x23
0xfffffff009169e48: f10309aa  mov	x17, x9
0xfffffff009169e4c: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff009169e50: 11093fd7  blraa	x8, x17
0xfffffff009169e54: e10318aa  mov	x1, x24
0xfffffff009169e58: a7e7c597  bl	#0xfffffff0082e3cf4
0xfffffff009169e5c: 60fbffb4  cbz	x0, #0xfffffff009169dc8
0xfffffff009169e60: f70300aa  mov	x23, x0
0xfffffff009169e64: 100040f9  ldr	x16, [x0]
0xfffffff009169e68: f10300aa  mov	x17, x0
