; Candidate 11442
; ADRP+ADD at VM 0xfffffff008f4bd9c (fileoff 0x1f47d9c): page=0x1fe4d1000 add_imm=0xe69

0xfffffff008f4bd1c: 42d83f91  add	x2, x2, #0xff6
0xfffffff008f4bd20: e00314aa  mov	x0, x20
0xfffffff008f4bd24: 21008052  mov	w1, #1
0xfffffff008f4bd28: 47e24094  bl	#0xfffffff009f84644
0xfffffff008f4bd2c: b7fbff17  b	#0xfffffff008f4ac08
0xfffffff008f4bd30: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4bd34: 8026ffb0  adrp	x0, #0xfffffff00741c000
0xfffffff008f4bd38: 00d83f91  add	x0, x0, #0xff6
0xfffffff008f4bd3c: b92cd097  bl	#0xfffffff008357020
0xfffffff008f4bd40: b2fbff17  b	#0xfffffff008f4ac08
0xfffffff008f4bd44: 88524039  ldrb	w8, [x20, #0x14]
0xfffffff008f4bd48: 28170034  cbz	w8, #0xfffffff008f4c02c
0xfffffff008f4bd4c: 28008052  mov	w8, #1
0xfffffff008f4bd50: 68ae0a38  strb	w8, [x19, #0xaa]!
0xfffffff008f4bd54: 60e240f8  ldur	x0, [x19, #0xe]
0xfffffff008f4bd58: 100040f9  ldr	x16, [x0]
0xfffffff008f4bd5c: f10300aa  mov	x17, x0
0xfffffff008f4bd60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4bd64: 301ac1da  autda	x16, x17
0xfffffff008f4bd68: 112080d2  mov	x17, #0x100
0xfffffff008f4bd6c: 1002118b  add	x16, x16, x17
0xfffffff008f4bd70: 080240f9  ldr	x8, [x16]
0xfffffff008f4bd74: e90310aa  mov	x9, x16
0xfffffff008f4bd78: e10313aa  mov	x1, x19
0xfffffff008f4bd7c: 42008052  mov	w2, #2
0xfffffff008f4bd80: f10309aa  mov	x17, x9
0xfffffff008f4bd84: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff008f4bd88: 11093fd7  blraa	x8, x17
0xfffffff008f4bd8c: 68024039  ldrb	w8, [x19]
0xfffffff008f4bd90: c873ff34  cbz	w8, #0xfffffff008f4ac08
0xfffffff008f4bd94: 15560094  bl	#0xfffffff008f615e8
0xfffffff008f4bd98: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4bd9c: 8026ffb0  adrp	x0, #0xfffffff00741c000
0xfffffff008f4bda0: 00a43991  add	x0, x0, #0xe69
0xfffffff008f4bda4: 9f2cd097  bl	#0xfffffff008357020
0xfffffff008f4bda8: 741240f9  ldr	x20, [x19, #0x20]
0xfffffff008f4bdac: 97030034  cbz	w23, #0xfffffff008f4be1c
0xfffffff008f4bdb0: 940200b4  cbz	x20, #0xfffffff008f4be00
0xfffffff008f4bdb4: 700240f9  ldr	x16, [x19]
0xfffffff008f4bdb8: f10313aa  mov	x17, x19
0xfffffff008f4bdbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4bdc0: 301ac1da  autda	x16, x17
0xfffffff008f4bdc4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f4bdc8: e90310aa  mov	x9, x16
0xfffffff008f4bdcc: e00313aa  mov	x0, x19
0xfffffff008f4bdd0: f10309aa  mov	x17, x9
0xfffffff008f4bdd4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f4bdd8: 11093fd7  blraa	x8, x17
0xfffffff008f4bddc: df62ce97  bl	#0xfffffff0082e4958
0xfffffff008f4bde0: 8826ffb0  adrp	x8, #0xfffffff00741c000
0xfffffff008f4bde4: 08212891  add	x8, x8, #0xa08
0xfffffff008f4bde8: e02300a9  stp	x0, x8, [sp]
0xfffffff008f4bdec: 8226ffb0  adrp	x2, #0xfffffff00741c000
0xfffffff008f4bdf0: 425c3a91  add	x2, x2, #0xe97
0xfffffff008f4bdf4: e00314aa  mov	x0, x20
0xfffffff008f4bdf8: a1008052  mov	w1, #5
0xfffffff008f4bdfc: 12e24094  bl	#0xfffffff009f84644
0xfffffff008f4be00: 28008052  mov	w8, #1
0xfffffff008f4be04: 689a0239  strb	w8, [x19, #0xa6]
0xfffffff008f4be08: 684a0179  strh	w8, [x19, #0xa4]
0xfffffff008f4be0c: 687a40b9  ldr	w8, [x19, #0x78]
0xfffffff008f4be10: 1f090071  cmp	w8, #2
0xfffffff008f4be14: a06fff54  b.eq	#0xfffffff008f4ac08
0xfffffff008f4be18: ae550094  bl	#0xfffffff008f614d0
