; Candidate 5536
; ADRP+ADD at VM 0xfffffff0087f6d18 (fileoff 0x17f2d18): page=0x1fe9f3000 add_imm=0xe80

0xfffffff0087f6c98: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f6c9c: e80e8052  mov	w8, #0x77
0xfffffff0087f6ca0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f6ca4: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f6ca8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f6cac: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f6cb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f6cb4: 4352fff0  adrp	x3, #0xfffffff007241000
0xfffffff0087f6cb8: 63040291  add	x3, x3, #0x81
0xfffffff0087f6cbc: 02008052  mov	w2, #0
0xfffffff0087f6cc0: 1cf1ec97  bl	#0xfffffff008333130
0xfffffff0087f6cc4: 84faff17  b	#0xfffffff0087f56d4
0xfffffff0087f6cc8: 39f50294  bl	#0xfffffff0088b41ac
0xfffffff0087f6ccc: f40300aa  mov	x20, x0
0xfffffff0087f6cd0: 80008052  mov	w0, #4
0xfffffff0087f6cd4: df120294  bl	#0xfffffff00887b850
0xfffffff0087f6cd8: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6cdc: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6ce0: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087f6ce4: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f6ce8: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6cec: 08f51291  add	x8, x8, #0x4bd
0xfffffff0087f6cf0: 29808052  mov	w9, #0x401
0xfffffff0087f6cf4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f6cf8: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6cfc: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6d00: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6d04: e80e8052  mov	w8, #0x77
0xfffffff0087f6d08: 4352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f6d0c: 63e43991  add	x3, x3, #0xe79
0xfffffff0087f6d10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f6d14: f40300f9  str	x20, [sp]
0xfffffff0087f6d18: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f6d1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f6d20: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f6d24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f6d28: 02008052  mov	w2, #0
0xfffffff0087f6d2c: 01f1ec97  bl	#0xfffffff008333130
0xfffffff0087f6d30: 69faff17  b	#0xfffffff0087f56d4
0xfffffff0087f6d34: 1ef50294  bl	#0xfffffff0088b41ac
0xfffffff0087f6d38: f40300aa  mov	x20, x0
0xfffffff0087f6d3c: 80008052  mov	w0, #4
0xfffffff0087f6d40: c4120294  bl	#0xfffffff00887b850
0xfffffff0087f6d44: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f6d48: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f6d4c: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087f6d50: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f6d54: 0851ff90  adrp	x8, #0xfffffff007216000
0xfffffff0087f6d58: 080d1591  add	x8, x8, #0x543
0xfffffff0087f6d5c: 49828052  mov	w9, #0x412
0xfffffff0087f6d60: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f6d64: e850fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f6d68: 08213591  add	x8, x8, #0xd48
0xfffffff0087f6d6c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f6d70: e80e8052  mov	w8, #0x77
0xfffffff0087f6d74: 4352ffd0  adrp	x3, #0xfffffff007240000
0xfffffff0087f6d78: 63403b91  add	x3, x3, #0xed0
0xfffffff0087f6d7c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f6d80: f40300f9  str	x20, [sp]
0xfffffff0087f6d84: 804ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f6d88: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f6d8c: 8190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f6d90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f6d94: 02008052  mov	w2, #0
