; Candidate 3422
; ADRP+ADD at VM 0xfffffff00873d864 (fileoff 0x1739864): page=0x1fe9f4000 add_imm=0xd90

0xfffffff00873d7e4: 68d601b9  str	w8, [x19, #0x1d4]
0xfffffff00873d7e8: 0007030f  movi	v0.2s, #0x78
0xfffffff00873d7ec: 800700fd  str	d0, [x28, #8]
0xfffffff00873d7f0: f00240f9  ldr	x16, [x23]
0xfffffff00873d7f4: f10317aa  mov	x17, x23
0xfffffff00873d7f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873d7fc: 301ac1da  autda	x16, x17
0xfffffff00873d800: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00873d804: e90310aa  mov	x9, x16
0xfffffff00873d808: e00317aa  mov	x0, x23
0xfffffff00873d80c: f10309aa  mov	x17, x9
0xfffffff00873d810: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00873d814: 11093fd7  blraa	x8, x17
0xfffffff00873d818: 2004000f  movi	v0.2s, #1
0xfffffff00873d81c: 800300fd  str	d0, [x28]
0xfffffff00873d820: 48008052  mov	w8, #2
0xfffffff00873d824: e9dc00b0  adrp	x9, #0xfffffff00a2da000
0xfffffff00873d828: 63000014  b	#0xfffffff00873d9b4
0xfffffff00873d82c: fb0300f9  str	x27, [sp]
0xfffffff00873d830: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d834: 00403691  add	x0, x0, #0xd90
0xfffffff00873d838: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d83c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d840: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d844: 63d01191  add	x3, x3, #0x474
0xfffffff00873d848: 02008052  mov	w2, #0
0xfffffff00873d84c: 39d6ef97  bl	#0xfffffff008333130
0xfffffff00873d850: ff2300b9  str	wzr, [sp, #0x20]
0xfffffff00873d854: 28008052  mov	w8, #1
0xfffffff00873d858: e84300b9  str	w8, [sp, #0x40]
0xfffffff00873d85c: 90010014  b	#0xfffffff00873de9c
0xfffffff00873d860: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873d864: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873d868: 00403691  add	x0, x0, #0xd90
0xfffffff00873d86c: 0196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00873d870: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873d874: e34ffff0  adrp	x3, #0xfffffff00713c000
0xfffffff00873d878: 631c1091  add	x3, x3, #0x407
0xfffffff00873d87c: 02008052  mov	w2, #0
0xfffffff00873d880: 2cd6ef97  bl	#0xfffffff008333130
0xfffffff00873d884: 4e010014  b	#0xfffffff00873ddbc
0xfffffff00873d888: 9f2403d5  bti	j
0xfffffff00873d88c: e10240f9  ldr	x1, [x23]
0xfffffff00873d890: c050ffd0  adrp	x0, #0xfffffff007157000
0xfffffff00873d894: 00c42491  add	x0, x0, #0x931
0xfffffff00873d898: 020080d2  mov	x2, #0
0xfffffff00873d89c: 030080d2  mov	x3, #0
0xfffffff00873d8a0: 040080d2  mov	x4, #0
0xfffffff00873d8a4: f885f097  bl	#0xfffffff00835f084
0xfffffff00873d8a8: e80317aa  mov	x8, x23
0xfffffff00873d8ac: f70300aa  mov	x23, x0
0xfffffff00873d8b0: 020140f9  ldr	x2, [x8]
0xfffffff00873d8b4: 100040f9  ldr	x16, [x0]
0xfffffff00873d8b8: f10300aa  mov	x17, x0
0xfffffff00873d8bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873d8c0: 301ac1da  autda	x16, x17
0xfffffff00873d8c4: f10310aa  mov	x17, x16
0xfffffff00873d8c8: f147c1da  xpacd	x17
0xfffffff00873d8cc: 1f0211eb  cmp	x16, x17
0xfffffff00873d8d0: 40000054  b.eq	#0xfffffff00873d8d8
0xfffffff00873d8d4: 408e38d4  brk	#0xc472
0xfffffff00873d8d8: 08c20491  add	x8, x16, #0x130
0xfffffff00873d8dc: 099a40f9  ldr	x9, [x16, #0x130]
0xfffffff00873d8e0: c150ffd0  adrp	x1, #0xfffffff007157000
