; Candidate 5659
; ADRP+ADD at VM 0xfffffff0087ff0e8 (fileoff 0x17fb0e8): page=0x1fe9ea000 add_imm=0xe80

0xfffffff0087ff068: 002c1191  add	x0, x0, #0x44b
0xfffffff0087ff06c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ff070: 0e000014  b	#0xfffffff0087ff0a8
0xfffffff0087ff074: c0040034  cbz	w0, #0xfffffff0087ff10c
0xfffffff0087ff078: e803154b  neg	w8, w21
0xfffffff0087ff07c: 88042837  tbnz	w8, #5, #0xfffffff0087ff10c
0xfffffff0087ff080: 08234b39  ldrb	w8, [x24, #0x2c8]
0xfffffff0087ff084: 29f74039  ldrb	w9, [x25, #0x3d]
0xfffffff0087ff088: 2a0b4139  ldrb	w10, [x25, #0x42]
0xfffffff0087ff08c: 8ba34039  ldrb	w11, [x28, #0x28]
0xfffffff0087ff090: 2c4740b9  ldr	w12, [x25, #0x44]
0xfffffff0087ff094: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087ff098: e9b300a9  stp	x9, x12, [sp, #8]
0xfffffff0087ff09c: e80300f9  str	x8, [sp]
0xfffffff0087ff0a0: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ff0a4: 00940f91  add	x0, x0, #0x3e5
0xfffffff0087ff0a8: eee0d697  bl	#0xfffffff007db7460
0xfffffff0087ff0ac: 28000014  b	#0xfffffff0087ff14c
0xfffffff0087ff0b0: 3fd40294  bl	#0xfffffff0088b41ac
0xfffffff0087ff0b4: f60300aa  mov	x22, x0
0xfffffff0087ff0b8: e00314aa  mov	x0, x20
0xfffffff0087ff0bc: e5f10194  bl	#0xfffffff00887b850
0xfffffff0087ff0c0: 08234b39  ldrb	w8, [x24, #0x2c8]
0xfffffff0087ff0c4: 29f74039  ldrb	w9, [x25, #0x3d]
0xfffffff0087ff0c8: 2a0b4139  ldrb	w10, [x25, #0x42]
0xfffffff0087ff0cc: 8ba34039  ldrb	w11, [x28, #0x28]
0xfffffff0087ff0d0: 2c4740b9  ldr	w12, [x25, #0x44]
0xfffffff0087ff0d4: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff0087ff0d8: e93302a9  stp	x9, x12, [sp, #0x20]
0xfffffff0087ff0dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ff0e0: e80313aa  mov	x8, x19
0xfffffff0087ff0e4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ff0e8: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff0ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff0f0: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff0f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff0f8: 0352fff0  adrp	x3, #0xfffffff007242000
0xfffffff0087ff0fc: 63c03291  add	x3, x3, #0xcb0
0xfffffff0087ff100: 02008052  mov	w2, #0
0xfffffff0087ff104: 0bd0ec97  bl	#0xfffffff008333130
0xfffffff0087ff108: 11000014  b	#0xfffffff0087ff14c
0xfffffff0087ff10c: 08234b39  ldrb	w8, [x24, #0x2c8]
0xfffffff0087ff110: 29f74039  ldrb	w9, [x25, #0x3d]
0xfffffff0087ff114: 2a0b4139  ldrb	w10, [x25, #0x42]
0xfffffff0087ff118: 8ba34039  ldrb	w11, [x28, #0x28]
0xfffffff0087ff11c: 2c4740b9  ldr	w12, [x25, #0x44]
0xfffffff0087ff120: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087ff124: e9b300a9  stp	x9, x12, [sp, #8]
0xfffffff0087ff128: e80300f9  str	x8, [sp]
0xfffffff0087ff12c: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff130: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff134: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff138: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff13c: 0352fff0  adrp	x3, #0xfffffff007242000
0xfffffff0087ff140: 632c3191  add	x3, x3, #0xc4b
0xfffffff0087ff144: 02008052  mov	w2, #0
0xfffffff0087ff148: facfec97  bl	#0xfffffff008333130
0xfffffff0087ff14c: e00313aa  mov	x0, x19
0xfffffff0087ff150: e10314aa  mov	x1, x20
0xfffffff0087ff154: 9ff10194  bl	#0xfffffff00887b7d0
0xfffffff0087ff158: 20090034  cbz	w0, #0xfffffff0087ff27c
0xfffffff0087ff15c: e00313aa  mov	x0, x19
0xfffffff0087ff160: aef10194  bl	#0xfffffff00887b818
0xfffffff0087ff164: b502f837  tbnz	w21, #0x1f, #0xfffffff0087ff1b8
