; Candidate 16726
; ADRP+ADD at VM 0xfffffff009f379f8 (fileoff 0x2f339f8): page=0x1fd927000 add_imm=0xeb3

0xfffffff009f37978: b7f6ff34  cbz	w23, #0xfffffff009f3784c
0xfffffff009f3797c: ff060071  cmp	w23, #1
0xfffffff009f37980: 81070054  b.ne	#0xfffffff009f37a70
0xfffffff009f37984: 1b008052  mov	w27, #0
0xfffffff009f37988: 6b2a47a9  ldp	x11, x10, [x19, #0x70]
0xfffffff009f3798c: 6c7d4092  and	x12, x11, #0xffffffff
0xfffffff009f37990: 8c814aca  eor	x12, x12, x10, lsr #32
0xfffffff009f37994: 6b7d6092  and	x11, x11, #0xffffffff00000000
0xfffffff009f37998: 6a810aca  eor	x10, x11, x10, lsl #32
0xfffffff009f3799c: 97010aaa  orr	x23, x12, x10
0xfffffff009f379a0: b8008052  mov	w24, #5
0xfffffff009f379a4: acffff17  b	#0xfffffff009f37854
0xfffffff009f379a8: 083e8452  mov	w8, #0x21f0
0xfffffff009f379ac: 6801088b  add	x8, x11, x8
0xfffffff009f379b0: 496740f9  ldr	x9, [x26, #0xc8]
0xfffffff009f379b4: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009f379b8: 4ab34439  ldrb	w10, [x26, #0x12c]
0xfffffff009f379bc: 6c6140f9  ldr	x12, [x11, #0xc0]
0xfffffff009f379c0: 8c8540f9  ldr	x12, [x12, #0x108]
0xfffffff009f379c4: 6b9140f9  ldr	x11, [x11, #0x120]
0xfffffff009f379c8: cd0240f9  ldr	x13, [x22]
0xfffffff009f379cc: 6e3a40f9  ldr	x14, [x19, #0x70]
0xfffffff009f379d0: 6f4a4079  ldrh	w15, [x19, #0x24]
0xfffffff009f379d4: 70524079  ldrh	w16, [x19, #0x28]
0xfffffff009f379d8: efc304a9  stp	x15, x16, [sp, #0x48]
0xfffffff009f379dc: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff009f379e0: ecaf02a9  stp	x12, x11, [sp, #0x28]
0xfffffff009f379e4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f379e8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f379ec: 28c9fef0  adrp	x8, #0xfffffff00785e000
0xfffffff009f379f0: 08e93c91  add	x8, x8, #0xf3a
0xfffffff009f379f4: 492a8352  mov	w9, #0x1952
0xfffffff009f379f8: 20c9fef0  adrp	x0, #0xfffffff00785e000
0xfffffff009f379fc: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff009f37a00: e82700a9  stp	x8, x9, [sp]
0xfffffff009f37a04: b01ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f37a08: b4008052  mov	w20, #5
0xfffffff009f37a0c: ccffff17  b	#0xfffffff009f3793c
0xfffffff009f37a10: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff009f37a14: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f37a18: 6a4240f9  ldr	x10, [x19, #0x80]
0xfffffff009f37a1c: 6b4e40f9  ldr	x11, [x19, #0x98]
0xfffffff009f37a20: 6c2240b9  ldr	w12, [x19, #0x20]
0xfffffff009f37a24: 2dc9fed0  adrp	x13, #0xfffffff00785d000
0xfffffff009f37a28: ad3d3f91  add	x13, x13, #0xfcf
0xfffffff009f37a2c: ce278352  mov	w14, #0x193e
0xfffffff009f37a30: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff009f37a34: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f37a38: e93301a9  stp	x9, x12, [sp, #0x10]
0xfffffff009f37a3c: 20c9fef0  adrp	x0, #0xfffffff00785e000
0xfffffff009f37a40: 006c3991  add	x0, x0, #0xe5b
0xfffffff009f37a44: f32300a9  stp	x19, x8, [sp]
0xfffffff009f37a48: b1729597  bl	#0xfffffff00849450c
0xfffffff009f37a4c: 483d0d53  ubfx	w8, w10, #0xd, #3
0xfffffff009f37a50: a9958052  mov	w9, #0x4ad
0xfffffff009f37a54: 4ac9fe90  adrp	x10, #0xfffffff00785f000
0xfffffff009f37a58: 4ac53791  add	x10, x10, #0xdf1
0xfffffff009f37a5c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009f37a60: e80300f9  str	x8, [sp]
0xfffffff009f37a64: 40c9fe90  adrp	x0, #0xfffffff00785f000
0xfffffff009f37a68: 00383791  add	x0, x0, #0xdce
0xfffffff009f37a6c: a8729597  bl	#0xfffffff00849450c
0xfffffff009f37a70: 48310a53  ubfx	w8, w10, #0xa, #3
0xfffffff009f37a74: 89928052  mov	w9, #0x494
